just	2495:20499:2124:537
that	26795:40867:1010:262
although	28012:40867:2207:340
china's	30426:40867:1918:262
radical	12665:41326:1815:262
social,	14707:41326:1608:301
political	16543:41326:2104:340
cultural	20009:41326:2021:262
upheavals	22236:41326:2619:327
have	25083:41313:1217:249
not	26506:41326:783:235
created	27476:41313:1959:249
new	29621:41391:1031:170
forms	25021:41745:1505:262 30859:41313:1485:262
mental	13305:41772:1794:275
illness	15264:41772:1608:275
in	17079:41772:453:262
china,	17719:41772:1629:301
they	19534:41758:1093:340
do	20813:41772:577:262
contribute	21535:41758:2681:275
to	24382:41758:453:262
depression,	27332:41745:2908:327
anxiety	30426:41745:1918:340
tension	13800:42217:1815:262
among	15842:42270:1753:262
the	17801:42217:783:262
chinese.	18812:42204:2145:275
commons	2557:49714:8581:878
caters	11922:49754:4806:825
meal	17492:49649:3919:878
service	2557:51064:5590:904
to	8911:51104:1608:825
vegetarians	11283:50999:9406:1127
by	2454:52585:660:288
rebecca	3362:52545:2826:262
weiner	6394:52559:2434:262
they	2949:52978:1299:340 7797:52978:1278:353 5631:55586:1443:353
eat	4558:52978:763:262
quiche.	5652:52978:1815:340
gather	9385:52978:1670:340
in	4125:58680:433:288 11366:52978:433:275
the	4641:62192:783:275 6105:56464:783:275 8560:59086:763:288 2434:53411:783:288
natural	3609:53397:1959:288
foods	5920:53411:1526:275
line	7817:53411:1113:288
(nfl)	9344:53411:1588:288
at	11324:53437:474:262 8127:62625:495:262
commons	2434:53856:2599:275
and	5590:53843:948:275 4682:59112:948:301 2351:60882:948:288
look	7116:53843:1031:288
forward	8704:53843:2104:288
to	11345:53856:453:275 10025:55180:433:262 2351:62677:453:249 11345:58234:453:249 10190:63031:474:262
cheese	2392:54276:1774:288
croquettes.	4311:54289:2826:340
some	7364:54276:1361:288 5363:54708:1402:288 4538:55154:1382:275
of	8911:54276:474:288 7797:59099:474:301 5507:60436:495:288 5775:61301:495:288 11345:57343:474:275 10313:56032:474:275
them	9530:54276:1278:288
are	10974:54354:825:209 8024:55665:928:209 7240:54787:845:209
religious.	2413:54721:2413:353
environmentalists.	8581:54721:2949:275 2413:55154:1732:288
simply	6291:55141:1753:366
want	8395:55180:1258:262
lose	10829:55154:969:288
weight.	2392:55599:2248:340
yale's	9922:55599:1877:275
vegetarians	4826:62612:3032:353 2392:56032:3073:353
—	5713:56176:474:39
10-15	6435:56058:1155:249
percent	7983:56058:1918:314
all	11180:56032:618:275
students,	2392:56478:2330:327
by	5115:56464:618:353
university's	7240:56464:3156:340
best	10767:56464:1031:275
estimate.	2392:56936:2413:275
"people	2949:57356:2104:353
do	5218:57343:598:288
it	6002:57369:330:249
for	6559:57343:701:275 2351:63542:721:262 7467:59990:742:275
a	7983:58299:288:196 8993:60934:268:209 3836:60082:268:209 7467:57421:268:196
wide	7941:57330:1196:288
variety	9323:57343:1835:340
reasons,"	2392:57788:2495:340
said	5301:57788:1052:275
peter	6765:57788:1402:275
neitlich	8003:63909:2021:288 8560:57775:2000:275
'86.	10994:57775:783:275
neitlich,	2392:58247:2207:327
who	5033:58234:1031:275
took	6497:58221:1052:288
year	8684:58299:1175:262
off	10272:58208:680:275
travel	2372:58693:1567:275
alaska	4744:58680:1753:275
"harassing	6745:58666:2846:327
oil	9777:58653:598:275
companies"	2372:59125:2000:366 10561:58732:928:196
is	5920:59112:412:262 8395:63031:412:288
one	6621:59191:866:196 10912:63097:887:196
new	9612:59178:1010:196
environmental	2351:59558:3279:288 10912:59099:598:275
studies	6167:59545:1897:288
major,	8622:59531:1732:353
has	10912:59545:866:275
been	2372:60003:1175:288
vegetarian	4414:59990:2784:366
seven	8478:60056:1443:209
years.	10190:60056:1567:262
"for	2392:60449:1278:275
most	3960:60462:1237:262
us,	6250:60501:721:262
moral,	7281:60436:1691:314
aesthetic,	9303:60423:2454:314
health	3527:60882:1588:275
reasons	5342:60934:1980:222
form	7549:60868:1217:275
wholistic	9509:60855:2289:262
combination	2351:61314:3217:301
factors."	6456:61301:2310:288
moral	2887:61747:1526:301
qualms	4847:61747:1897:353
with	7157:61733:1113:288
meat-eating	8704:61720:3094:340
focus	2351:62218:1361:262
on	3878:62271:577:196
environment,	5569:62179:3486:314
according	9241:62140:2557:353
many	3094:62703:1443:275
yale.	8870:62599:1340:275
"the	10540:62585:1258:275
grain	2351:63083:1361:353 5322:63490:1361:353
energy	4022:63110:1774:288
balance	6105:63044:2021:275
ten	9096:63044:763:275
eating	3382:63516:1608:340
directly	7013:63477:2000:353
as	9344:63542:536:209
secondary	2351:63962:1196:327 10190:63542:1340:196
consumers,"	4104:63922:3300:314
said.	10561:63896:1196:327
referring	12748:52572:2351:327
to	14852:53030:474:249 15470:52585:453:249 17203:58247:474:235 17678:59545:433:249 21700:53869:453:262
the	21432:62153:763:262 14955:59531:783:262 17946:53856:804:275 21411:60842:783:262 18400:60397:948:262 16275:52559:783:275
amounts	17409:52572:2207:262
of	20566:63437:453:288 18441:54289:495:275 21721:60383:474:275 19967:52545:474:275
grain	16007:59518:1382:353 20792:52545:1340:340 16502:60842:1340:340
needed	12768:53004:1794:275
raise	15594:52991:1299:275
beef	17162:52978:1072:288
cattle	21226:59112:721:235 18523:52978:1464:288 12830:59531:618:275
for	17265:61275:783:275 15574:60842:701:262 20256:52978:701:288 15945:56491:721:275
tertiary	21246:52991:680:275 12768:53450:1217:327
human	14563:53450:1732:262
consumption.	16873:53424:3403:353
"the	20875:53411:1278:275
world	12768:53869:1423:275
doesn't	14460:53869:1815:275
have	16502:53869:1217:275
resources	18977:53922:2475:209
sustain	12768:54315:1877:275
that	15388:63464:1010:262 15223:54315:990:275
kind	16791:54289:1134:288
inefficient	19493:54276:2661:288
eating.	12789:54761:1712:327
land	16007:55639:1608:249
use	17843:55626:1134:249 14522:60921:825:183
"now	13346:56058:1423:275
human-edible	14934:56032:3548:301
grains	18627:56032:1608:340
are	21349:59584:825:209 20421:56111:825:196
being	21411:56032:515:275 12809:56504:763:393
wasted	13861:56491:1794:275
cattle,	16956:56464:1608:340
while	18874:56464:1361:275
people	20524:56464:1650:340
starve,"	12789:56923:2124:327
added	15120:56923:1547:275
jeff	16853:56910:990:288
hirsch,	18049:56910:1835:314
a	15594:61786:268:196 20091:56976:247:196
trumbull	12830:57356:907:288 20566:56910:1299:262
college	14315:57356:1877:340
graduate	16749:57343:2330:353
fellow	19637:57330:1505:275
in	18523:59086:453:262 21721:57343:453:262 20751:60842:433:262
physics.	12809:57801:2145:327
going	15244:57788:1505:340
on	17018:57867:577:196
10	17905:57801:474:249
years,	18606:57841:1588:275
hirsch	20483:57775:1691:275
proudly	12809:58221:1959:353
claims	15120:58221:1712:275
be	18028:58208:577:262
"trumbull's	18977:58195:3197:288
senior	12809:58666:1567:262
veggie."	14583:58653:2186:353
land-use	13346:59086:2330:288
problems	15904:59086:2392:353
raising	19225:59073:1774:353
and	20153:62140:907:275 13738:59531:928:275
feed	18400:59505:1072:275
them	19782:59505:1258:288
destroying	12830:59964:2908:340
several	16275:59964:2000:262
ecosystems,	18833:59964:3321:327
neitlich	12830:60410:2000:262
continued.	15285:60397:2640:275
strain	19782:60397:1485:262
water	12830:60868:1464:249
irrigation	18090:60829:2434:340
us	12851:61288:742:275
midwest,	14171:61275:2495:314
example,	18627:61275:2537:340
is	19885:63018:371:262 12851:62166:371:262 21783:61275:412:262
"reaching	12871:61720:2578:340
critical	16007:61707:1835:275
point.	18049:61707:1382:340
california	19658:61694:2516:288
rationing	13614:62166:2330:327
now	16316:62218:990:196
all	17678:62140:618:262
over	18647:62205:1134:209
aquifer	12830:62599:1856:340
running	15058:62585:1980:327
under	17389:62572:1464:275
our	19204:62651:825:196
central	20380:62572:1815:275
states	12830:63044:1505:262
from	14645:63031:1196:262
oklahoma	16131:63005:2619:288
up	19018:63083:598:262 12830:63542:618:275
drying	20524:63005:1670:340
so	13614:63542:536:196
fast	14295:63464:928:275
if	16584:63450:350:262
current	17059:63464:1897:249
rates	19122:63464:1278:249
con-	21164:63516:1052:196
inside	24567:54053:6910:930
students	23495:55979:4290:576
learn	28260:55993:2475:589
nuclear	23495:56805:3651:563
policy	27600:56831:3032:707
page	29023:62782:2413:655 29064:57697:2413:668 29044:60187:2392:668
3	31952:57723:433:537
sushi	23474:58470:2661:563
fad	26651:58444:1608:589
sweeps	28734:58680:3362:524
campus,	23474:59479:4104:511
nation	28136:59335:3197:563
4	31890:60213:536:511
morse	23453:61091:3135:537
senior	27063:61078:3011:563
tries	23474:61904:2042:563
teaching	25991:61917:4208:694
5	31911:62782:453:524
forum	33458:8073:6807:1087
studies	41173:8100:6786:1087
alcohol	48867:8126:7219:1100
abuse	56995:8191:5610:1048
three	33169:9450:2764:550
women	36449:9620:3465:380
discuss	40410:9463:3486:537
their	44370:9463:2289:537
experiences	47031:9489:5693:616
fighting	52931:9476:4125:694
alcoholism	57469:9515:5363:563
by	33211:10288:680:327
rodger	34118:10315:2495:275
citron	36841:10328:2207:262
"l	33747:10721:474:275
suppose	34551:10800:2021:301
my	36841:10826:804:262 33190:19922:804:275
drinking	37934:10734:2165:327 40080:24654:2454:353
problem	40410:10721:2083:340
kicked	33190:11127:1670:301
in	41627:17261:453:275 39915:27288:453:262 35088:11180:453:262 40080:24221:495:288
during	35768:11180:1650:340
ninth	37646:11167:1320:275
grade.	39172:11140:1629:353
there	41049:11167:1485:301 36263:19857:1340:288
was	33190:11639:969:209 33169:22530:990:222 35645:15125:969:209 37769:19935:990:209 38759:18205:969:196
a	35480:13421:247:183 40740:12110:268:196 34923:24287:288:209 42225:17340:288:196 34386:11678:288:183 35170:16436:288:196 40059:18205:288:209 38512:20813:268:196 38698:12556:268:196 40451:11665:268:196 34345:22544:268:209
guy	34902:11665:907:275
i	33974:12451:144:262 38326:12032:144:275 42369:22059:165:262 36078:11612:185:249 42349:20302:185:288
really	36511:11599:1485:340
liked	38244:11586:1237:275
at	34716:13356:495:249 39729:11612:495:262 35583:15505:515:262 33169:13762:474:249 40575:26856:577:262
party,	40967:11639:1526:327
and	33190:12019:928:262 36305:14627:928:275 41585:21180:948:275 36965:13775:928:275
he	34304:12019:598:275
asked	35088:12019:1464:288
me	36759:12110:783:196 34778:26030:783:209 40451:26043:783:196
if	37749:12032:350:275
wanted	38698:12019:1856:288
beer.	41235:12045:1237:275
so	33190:12438:577:275
had	33190:20709:928:288 34345:12451:907:288
seventeen,"	35438:12477:3052:327
woman	40698:18205:1835:209 39172:12556:1856:196
named	41214:12556:990:183 33190:18546:1712:275 33169:12857:598:288
kathy	33706:15046:1547:340 34304:12897:1567:353
recounted	36387:12923:2619:275
wednesday	39543:12884:2970:340
night	33190:13303:1278:353
student	35995:13342:1918:275
life	38202:13342:990:275 34242:26397:825:275
forum	37212:15492:1547:275 39461:13356:1712:275
held	41441:13316:1093:301
ezra	33891:13762:1237:275 38347:14653:1237:262
stiles	35356:13775:1382:275 39750:14640:1382:262
sponsored	38120:13775:2578:353
by	40925:13788:577:353 33190:18965:577:353 37976:21167:598:353
the	33190:26397:804:275 38429:20302:1093:275 33912:22911:783:275 36263:15492:783:275 33706:18113:948:262 35913:25086:763:288 41750:13762:783:301 40616:15951:969:275 36037:26410:783:275 37398:14640:783:275
yale	33190:14168:1155:288
college	40760:24221:1794:353 34531:14194:1856:340
council	36552:14207:1877:288
(ycc),	38656:14221:1774:314
walden	40616:14207:1897:288
counseling,	33190:14601:2949:366
sac.	41276:14640:1196:275
one	36965:15138:907:196
of	35315:26397:474:288 38223:15059:474:275 33169:22897:474:288 37295:16357:495:288 39420:22911:474:288
three	39069:15073:1320:262
female	40760:15059:1753:301
speakers	33169:15479:2289:340
who	37336:18559:1010:275 38904:15505:1010:275
discussed	40059:15492:2475:301
her	40430:18572:845:275 36862:18992:866:275 33169:15911:825:275
experience	34201:15925:2805:340 37914:19005:2805:340
with	38698:26410:1113:275 37171:15925:1093:275
alcohol.	38450:15938:1959:288
audience,	33169:16331:1815:353 41750:16029:536:196
group	33190:17720:1464:288 35645:16423:1485:288
about	37955:16357:1423:288 33169:20276:1650:288
25	39543:16396:495:249
students,	40224:16370:2269:340
listened	33169:16776:2413:288
attentively	36160:16803:3341:353
to	40100:16829:495:262 41400:25991:453:249
each	41173:16829:1340:275
