fall	1821:49456:954:301
h.	5751:57337:621:286 5774:59236:599:286
e.	6640:57322:532:286 6706:59236:532:286
faust,	7461:57322:1776:331
beta	9660:57789:1132:301
theta	11126:57789:1487:301
pi	12969:57774:532:316
hamilton	5751:58271:2731:301
wright,	8883:58271:2265:346
chi	11436:58693:866:346 11103:62536:866:316
psi	10371:60637:799:301 12725:58738:755:286
manville,	7572:59221:2731:346
kappa	9571:59688:1643:361
epsilon	11614:59688:1887:361
s.	5774:60185:466:301
brady,	7417:60185:1776:331
upsilon	11570:60637:1954:376
'"■	5396:61134:333:180
b.	6684:61134:532:301
roby,	7572:61119:1465:361
zeta.-fsi	11170:61586:2354:316
m.	5774:62084:666:286
maclntyre,	7750:62069:3153:361
rho.	12347:62551:1132:301
chichester	40728:2516:5640:663
&	44637:6841:1043:647 50100:20388:1354:919 46725:2516:1088:663
co.	48146:2516:1732:663
enjoyg	54009:2832:4508:1084
qm	59161:2878:2509:783
new	41484:33679:1177:286 41439:4475:1177:286 59139:30800:1177:286 49323:26626:1177:361 46303:4475:1154:271 49434:23598:1199:361
haven	42927:4475:1709:271 60604:30800:1732:286
and	47613:57473:1288:437 51499:44302:1354:286 44992:4460:954:286 60627:11603:932:301 61848:8996:954:286 52854:10427:932:286 44148:9056:1332:271 49301:60878:1288:421 44215:7911:954:286 45103:15038:1865:421
york	47813:4445:1310:301 51077:23582:1376:376 50900:26626:1354:361 42994:33664:1354:286
ox	54053:4249:1310:497
1	56274:4249:555:497 62781:36979:866:1009
odfiu'co	57140:4294:4530:497
tailors	43216:5002:5196:452
16	53453:5093:1532:768
years	55585:5093:3642:798 54275:11271:1354:271
old	59872:5123:2420:798
waxahachie,	57673:6328:3331:376
texas	61315:6359:1554:316
george	40284:6856:3864:798
harry's	46192:6826:4019:798
nx^'va	52854:7052:3775:693
00	56651:7052:555:316
'	57207:6826:155:919
restaurant	39596:7911:4241:301
soda	45548:7896:1732:286
fountain	47657:7866:3242:301
gentlemen:	52854:7790:3064:301
90	41106:8438:666:241 41106:8408:666:241
wall	42083:8393:1221:256 42105:8438:1221:271
st	43660:8393:488:256
onn	44837:8378:1132:271
van	46458:8378:1110:271 46502:8438:1065:226
sheff	47857:8363:1376:286
,	52809:12657:111:105 50633:8182:1421:467 54186:8559:111:90
th	53453:12311:732:271 53453:8182:732:286
e	54231:8257:266:210
agent	54764:8212:1421:331
whlle	56407:8182:1421:316
%	59228:8303:266:271 58095:8287:266:286
om	58406:8287:755:210
through	59738:8227:2087:361
his	55608:9312:710:301 53165:44302:999:286 62115:8242:732:301
m.,	43660:8438:843:286
opp.	44837:8438:1288:301
smelt.	47857:8438:1532:226
plunder	52854:8544:1998:361
stored	55163:8574:1598:286
in	59583:10834:488:301 60715:11226:488:286 57073:8574:488:286 62292:12356:510:301 62292:12733:488:301
our	57895:8664:843:210
baggage	59072:8574:2109:391
room	61470:8694:1354:210
save	39440:9071:1643:301
money	41484:9056:2242:316
buy	45903:9041:1221:286
a	57984:57653:377:256 56052:9011:288:210 53787:9764:288:210 50966:56508:399:241 59005:9418:288:210 47546:9041:466:286
coupon	48435:9011:2620:316
came	52854:9011:1332:210
across	54320:9011:1576:226
can	56518:9026:866:210
of	45725:59733:732:421 54742:25104:555:361 48124:58588:710:421 49278:39857:799:271 55008:9312:466:286 57540:8950:466:286 49589:29655:732:452 54719:11557:488:286 55763:13064:488:286 56363:9689:488:301
your	54075:10518:1221:271 56429:12778:1199:271 58162:9041:1199:271
tobacco,	59516:8981:2154:346
nri/mr	42172:9538:1776:180
tin	44704:9523:977:195
cng	46058:9523:1177:195
«a	47679:9508:621:210
account	52854:9327:2020:271
not	56429:9342:866:271
using	57518:9327:1376:361
pipe	59405:9342:1088:361
he	60715:9342:599:316
made	52965:56342:1887:406 61426:9357:1399:301 43460:59748:1887:421
book—sio	42172:9538:3508:331
for	46036:9538:1265:271 42239:53766:3308:1235 50811:58588:1021:406 58717:56342:999:421
$9	47657:9538:644:316
me	52854:9764:755:210
present	54253:9704:1909:331
this	43838:37491:2487:482 57007:9689:999:301
tobacc	58184:9719:1665:286
£	59916:9538:399:467
you	53453:10051:1088:286 55896:12401:932:256
will	54875:10066:910:286
note	56163:10081:1132:286
the	57629:10081:843:301 52854:10804:999:286 46414:53675:3086:1326 52254:58588:1088:406 43438:56342:1376:437
revenue	58806:10171:2043:226
stamp	61182:10126:1621:346
■	49456:10427:1709:361
memo	55585:10533:1576:210
which	57473:10457:1510:286
was	59294:10563:977:210 59427:11316:977:195 61826:11708:977:195 56341:10909:954:210
inclosed.	60560:10472:2220:316
__________^_______-	39507:11000:9904:241
_——-	49412:10970:1687:105
tobacco	57828:12703:1998:301 58139:16606:4397:617 54098:10804:1998:301
put	57562:10849:888:331
up	58695:10925:644:271
1910,	60338:10849:1310:361
sixteen	61892:10864:688:286 52832:11196:1088:286
ago.	55985:11271:1043:271
but	57384:11196:977:301
it	58695:11211:399:286 55030:57503:444:391
good	61559:11241:1243:346
notes	43238:11678:2020:316
from	45570:11693:1754:301 52121:39857:1754:286
shape,	52832:11542:1598:361
remarkable	55452:11572:2975:301
flavor,	58695:11588:1643:361
greatly	52832:11919:1843:361
enjoyed	54830:11919:2065:376
by	45037:44287:777:286 57096:11934:666:376
me.	57939:12055:910:180
tvi«»	40262:12371:1776:391
rnvir	42550:12371:2398:391
rnw	45481:12371:2020:391
rnnk	48057:12356:2242:406
°ught	54209:12311:1487:346
would	57029:12326:1554:301
be	56829:57473:799:437 58783:12326:577:301
interested	59538:12341:2598:316
hie	40462:12612:1576:256
drick	42505:12612:2487:256
*\.uw	45459:12612:1998:241
awia.	48013:12612:2331:226
knowing	52809:12657:2242:376
how	55186:12688:1088:301
held	59983:12718:1088:286
out	61293:12748:843:271
pi	44215:13155:777:210
these	52809:13049:1354:301
days	54364:13064:1177:346
fast	56429:13064:977:301
living.	57629:13064:1598:376
0110	44193:13366:1598:286
p	45881:13411:510:346
yours	55830:13426:1576:316
very	57562:13531:1177:286
truly,	58917:13471:1443:346
(signed)	55452:13818:2020:361
gordon	57784:13818:1954:316
mcdonald	60027:13833:2753:316
life	42905:15038:1798:421
i	62958:41876:843:994 62603:36029:1265:406 39485:41876:821:949 39463:44498:866:1702 47413:15038:199:421 62958:44498:910:1702
edgeworth	52809:14526:9993:1326
—by—	44237:15897:2043:331
extra	54453:15912:2020:406
high	51322:62656:2265:512 56785:15942:1821:542
grade	58939:15958:2220:391
gamaliel	41928:16560:3175:421
bradford	45459:16560:3175:421
smoking	53054:16575:4685:828
f	39463:18519:732:1130
prince	42949:20388:6173:904
whitely	52388:20312:8039:964
established	49034:22091:4175:301
1878	53609:22106:1332:286
members	46480:24366:2442:346 46480:25089:2442:391 46502:23598:2465:361 46458:25888:2465:346 46458:26626:2465:361
stock	52610:24351:1576:361 52921:23582:1532:376 52765:25873:1554:361
exchange	54919:25873:2620:421 54941:23582:2642:437 54919:24336:2620:452
chicago	48101:33633:2198:361 49589:25119:2198:437 49678:24351:2198:452
board	52454:25104:1621:361
trade	55941:25104:1598:361
cleveland	54098:33633:2664:301 49501:25858:2687:376
curb	52676:26626:1332:361
association	54431:26626:3109:361
investment	46325:27968:5862:632
securities	52476:27968:5085:632
chamber	46036:29655:3242:452
commerce	50633:29670:3819:437
building	54786:29655:3042:527
181	41550:30831:910:286
church	42816:30800:1998:316
street	45126:30800:1598:301 53875:62656:3286:512
;	47946:30800:1221:406
tel,	50389:30800:1043:406
pioneer	51677:30800:2109:316
3600	54075:30800:1354:286
john	43771:31795:2331:512
w.	46391:31840:1065:452
cutler,	47813:31795:3642:557
jr.,	51766:31840:1421:512
resident	53542:31825:3109:452
manager	56940:31840:3153:512
•	51744:32564:88:60
.	45947:32970:155:361
.direct	46236:32986:1865:301
private	48324:32986:1954:301
wires	50522:32970:1598:301
to	55808:57578:688:316 52365:33031:510:241 57406:49034:577:346
principal	53165:32970:2442:361
cities	55896:32970:1487:301
akron	60560:33649:1732:301
hartford	44970:34312:2354:301
meriden	50811:34297:2220:301
newport	56518:34312:2331:361
■;■'..'	55919:36195:2087:226
■■■...	59827:36286:1487:135
is	50189:56357:532:391 46591:37491:977:482
"show	47924:37476:3797:497
boat"	53875:40384:4108:678 51988:37476:3597:497
week	55963:37491:3197:497
special	42017:38817:5152:874
columbia	47968:38832:6862:693
release	55652:38817:5529:753
hits	50389:39857:1421:286
-i	62248:39556:1088:527
"the	45548:40369:3553:678
show	49589:40369:3819:693
now	48968:41530:1487:271
on	48745:43052:888:286 51122:41530:866:271
sale	52632:41530:1554:286
"oldlvlxnlilver"	46325:42117:10526:768
reverse	49967:43052:2753:301
side	53098:43037:1354:316
"can't	42372:43519:3864:512
help	46902:43519:2864:512
lovin'	50455:43519:3708:512
dat	54875:43519:2309:512
man"	57873:43519:3109:512
don	46103:44287:1354:286
voorhees	47768:44287:3419:301
orchestra	54497:44302:3797:301
whitlocks	44015:44860:15212:904
flationa!lnstitution	44237:49004:5640:391
feiv&sj	50566:48793:2731:678
jrom	53942:49004:1598:421
coast	55696:49004:1487:406
coast*}	58162:48838:2109:632
j	60604:52907:532:467
week-end	50367:53660:10482:1371
londoner	45103:56327:4796:437
hat	51610:56327:1088:421 49256:58588:1110:406
expressly	55030:56342:3397:512
dress	43460:57503:1754:406
wear	45548:57653:1732:256
we	49212:57638:1021:271
have	50566:57473:1665:421
found	52610:57473:2065:421
desirable	58672:57488:710:421 43460:58588:2265:437
type	46169:58693:1532:421
week-end,	53764:58573:3553:497
being	57784:58588:1932:527
alight	46813:59718:2331:527
weight	49723:59718:2398:527
texture	52476:59748:2576:406
and'	55630:59793:1376:361
giving	57518:59748:2220:497
unusual	43460:60863:2798:437
service	46591:60908:2398:391
comfort.	50900:60878:2975:421
chapel	46058:62596:3486:587
at	49789:62656:1243:482
,'"w	59383:62491:1487:708
series	1709:2245:2642:647
of	4730:2245:999:632
talks	6107:2245:2531:647
by	8994:2245:1065:647
dr.	10415:2260:1310:632
coffin,	2953:3089:3020:753
'97,	6306:3104:1376:738
is	7994:3119:710:632
arranged	9016:3104:4308:632
committee	1709:4430:3930:437
plans	6506:4445:1954:437
conference	9349:4445:4019:437
period	2131:5093:2287:452
march	4752:5108:2265:452
11-14	7372:5153:1998:391
with	9682:5108:1821:452
dr.	11792:5123:1088:421
henry	3553:5771:2265:512
sloane	6306:5786:2376:437
coffin.	9171:5786:2354:437
preliminary	2398:6901:4463:376
supper	7128:6916:2509:361
monday	9926:6916:2753:361
hundred	1709:7866:2354:301
undergraduates	4485:7896:4308:331
are	9193:7896:1021:286
invited	10615:7896:1865:286
to	12880:7941:488:226
attend	2420:8363:1821:286
supper	4685:8363:1909:361
in	7017:8378:510:271
woolsey	7972:8378:2287:346
at	10681:8438:532:226
which	11659:8378:1709:286
dr.	2398:8830:821:301
george	3531:8845:1909:346
stewart,	5707:8845:2198:346
m.	8194:8860:644:286
d.	9105:8860:577:286
keeler,	9971:8860:1909:346
s.	12902:8860:444:286 12147:8860:488:286
quarrier	2420:9327:2354:331
will	5129:9327:1088:286
give	6551:9327:1199:286
speeches.	8083:9327:2553:331
under	2309:10277:1554:286
the	6107:24080:755:301 3797:18369:732:286 6573:24562:755:301 4907:23613:732:271 1709:12642:732:301 1709:18836:755:301 8838:10774:755:286 5285:11708:777:286 2309:26461:977:286 12636:10774:732:286 12636:13155:732:286 2287:14556:977:286 6839:14089:755:301 5973:16470:977:301 6595:21714:755:286 4286:10277:732:286 12658:17434:732:286
auspices	5463:10277:2020:361
of	2931:18369:488:286 4485:11708:466:271 4730:26461:488:286 12924:18384:510:286 1709:13125:466:286 4530:19318:488:286 6129:17886:488:301 7905:10292:488:286 9371:12190:488:286 9060:16952:488:286
an	8794:10397:577:180
undergraduate	9793:10307:3597:346 6862:14556:3664:361
committee	10815:16470:2576:301 10837:14556:2531:301 1709:10744:2553:301
organized	4730:10744:2442:361 1709:16922:2442:361
for	7639:10759:732:301 12014:16967:732:271 5440:21699:732:286 12725:20765:710:286 4530:16937:710:286
occasion	10082:10774:2065:286
reverend	7706:24562:2354:301 1709:11226:2354:301
dr.	3264:25511:799:271 10704:17901:821:301 10437:24577:821:286 4774:11226:843:301
henry	6084:11226:1621:361
sloane	8172:11241:1643:301
coffin,	10282:11241:1554:346
'97,	12569:11241:777:361
president	1776:11693:2354:301
union	6395:11708:1554:286
theological	8305:11723:2953:346
seminary,	1709:12266:932:256 11659:11723:1443:286
will	3086:12175:932:301 11548:23628:932:286 3531:20267:932:286 8239:13140:954:301 11126:18851:910:301 6906:20749:932:301
conduct	4463:12190:1932:286
a	6617:17525:288:195 6839:12281:266:195 5640:13230:266:180 13146:17058:244:180
series	7550:12190:1399:286
meetings	8994:20282:2176:346 10304:12190:2176:361
at	1709:14134:466:241 12991:25104:421:241 12924:12251:444:226
university,	2864:12642:2798:361
march	5574:19800:1643:286 6129:12642:1665:316
11-14.	8261:12657:1421:301
in	6573:13607:444:286 9771:17901:532:286 10415:12657:532:301 1732:25963:444:301 11836:13140:421:286 12991:19333:444:301 4041:23598:421:286
advance	11392:12673:1976:301
this	2509:13125:866:286
period	3753:13125:1554:346
supper	7772:21804:1643:256 7239:24185:1621:256 6262:13230:1643:256
be	9549:13140:510:301 9393:20765:532:286 4774:20282:555:271 12902:23628:555:286
held	10415:13140:1043:301
president's	1754:13592:2731:301
room	4796:13607:1465:286
woolsey	7306:13622:2198:346
hall,	9815:13622:1221:346 4530:36466:1243:361
monday	9860:21714:2020:346 11370:13622:1976:346
6:30,	2442:14074:1243:346
to	7261:22708:466:241 3997:14134:466:241 10348:23206:466:226
discuss	4774:14074:1754:301
coming	7928:14089:1798:361 6084:23613:1821:346
conference.	10060:14089:2731:301
independent	7417:16470:2975:361 3575:14556:2975:346
is	1732:15023:355:301
headed	2531:15038:1687:286
by	8083:20282:599:346 4663:15038:577:346 9216:24095:599:346
s.	6151:35035:466:316 9082:45041:466:301 12014:29806:466:301 5796:44106:466:301 6706:15038:444:301 10171:35984:444:301 9749:40279:444:301 3753:36482:444:286 10215:24095:444:286 11414:29339:444:286 9305:34568:444:286 10415:45990:444:286 11081:24095:444:301 5751:15038:444:286 11969:40746:444:286 5729:37913:466:286
quarrier,	7639:15038:2354:346
19285,	10482:15053:1554:331 7772:15521:1554:346
and	5774:25044:888:286 10437:16003:888:301 12502:15053:866:286 9438:19815:888:286
include	1709:15505:1732:301
t.	2709:27410:532:286 1709:29324:532:286 3775:15505:510:286
l.	9282:38365:510:301 5685:40279:510:301 7395:47422:488:301 4819:44106:488:301 4663:15505:488:301 7750:28374:488:301 10659:47422:510:286 7639:33618:488:286 11015:35984:510:286 2576:47934:488:301 8239:45041:510:301
arnold,	5507:15505:1887:361
w.	2642:33618:755:286 6640:29806:755:301 8838:27907:755:301 12702:42645:755:286 7728:29806:755:301 7861:28857:755:286 7595:46472:755:301 4330:42675:755:301 4286:30288:755:286 9660:15536:755:286 12658:28374:755:301 5018:45071:755:286 7528:32654:777:286 10304:35035:755:301 9038:28857:755:286 10726:15536:732:271 6617:27425:755:271 1776:42208:732:301 4996:28857:755:286 12725:44543:755:301
brewster,	7883:27425:2442:361 11814:15536:1243:271 1709:16033:1021:286
1928,	3197:15973:1177:346
f.	9815:37416:488:286 9549:26958:510:286 7417:34086:488:286 7928:43624:466:286 8971:31705:488:301 7106:36466:488:301 4796:15988:488:301 8372:39330:488:286 1709:33618:466:301 11881:35517:488:286
a.	3619:39345:555:286 11836:42178:555:286 9860:41228:577:286 3908:47452:555:301 12880:41695:577:286 5574:45538:532:286 6595:46005:555:286 5729:15988:555:301 12858:39330:532:271 11170:36466:555:301 12836:29791:532:316 4552:34086:577:286 8572:37898:555:286 2953:47467:555:286 8838:42675:599:271
drake,	6706:15988:1687:361
1929,	8838:15988:1199:361
m.	1821:45568:621:286 7017:25044:666:286 11747:15988:644:316 6129:36466:644:301 2420:37913:644:286 12836:45026:644:286 1732:39827:644:286 6107:38380:666:286 12725:35517:644:286 1732:28374:710:286
d.	1709:38395:555:286 8039:25044:555:286 12813:16003:555:286 2664:30755:555:301 10482:29339:555:271 11325:39797:577:286 6773:37431:577:286 10815:27440:577:271 12014:46457:577:286 10282:45508:555:301 11281:45990:577:286 4130:34568:577:286 8016:35532:577:271
keeler,	1709:16455:1776:346
1928.	4019:16470:1177:286
he	5774:16952:599:286 5885:20749:732:301 10060:18866:732:286
purpose	6751:17058:1954:241
getting	9904:16952:1754:346
conference	1709:17404:2642:316
perisd	4708:17359:1554:406
capable	7239:17419:1843:361
lecturer	9438:17419:1932:301
on	11725:17540:577:180
modern	1709:17886:1865:286
aspects	3975:17947:1754:286
religion.	7017:17886:2065:361
coffin	11969:17901:1443:316
one	1709:18459:843:180
outstanding	4930:18384:2931:331
religious	8261:18384:2154:331
leaders	10815:18384:1732:286
country	2798:18896:1932:301
has	5041:18851:821:286
been	1732:22166:1088:301 6195:18851:1088:286
chosen.	7617:18866:1798:271
give	12391:18866:1043:346
addresses	1709:19303:2354:301
general	5440:19318:1843:346
religious,	7750:19318:2309:361
nature	10659:19378:1598:256
sprague	1732:19785:2087:346
hall	4130:19800:1110:271
12,	7528:19800:644:346
13,	8505:19800:621:346
14	10659:19800:510:301
at-	11436:19875:532:226
6:45,	12192:19800:1221:361
which	1732:20267:1465:286
followed	5640:20282:2154:286
ernity	1732:20734:1465:361
houses.	3486:20749:1776:286
also	8128:20765:954:286
available	10215:20765:2198:286
personal	1709:21217:2087:346
interviews.	4152:21217:2709:316
invitations	2331:21699:2687:286
have	12280:21714:1132:301
sent	3308:22211:999:256
"out""	4419:22211:1465:256
fa	6040:22211:510:256
'■"	6595:22211:244:90
over	6995:22271:1199:195
"u	8283:22226:555:241
""tftmcif®r	8971:22196:2442:286
"tritner-	11525:22241:1932:241
:	13457:22166:88:316
graduates	1732:22648:2442:346
according	4508:22648:2442:361
their	8083:22648:1154:316
respective	9571:22663:2487:361
dormitories.	12391:22678:799:286 1754:23115:2154:301
these	4530:23130:1487:301
men,	6373:23221:1132:256
who	7861:23130:1043:301
are	9216:23236:799:195
stimulate	11170:23145:2287:301
interest	1754:23598:1843:286
conference,	8305:23628:2798:331
addressed	1754:24080:2420:301
after	4530:24080:1199:301
quarrterv.toastmaster,	11947:24095:1199:361 1754:24607:4419:301
george	11659:24562:1776:361
stewart,	1754:25029:2109:346 11281:30288:2109:346
1915,	4263:25014:1177:361
keeler.	8949:25044:1821:301
while	11103:25044:1532:301
vale	1732:25511:1154:286
stewart	4508:25511:1976:286
was	6862:25617:932:180
unusually	8194:25526:2376:346
successful	10970:25526:2442:286
heading	2442:25978:1976:361
dwight	4708:25978:1909:361
hall.	6906:25993:1265:301
list	3619:26461:777:286
othose	5551:26461:1598:301
invited	7506:26461:1687:301
follows:	9571:26461:2020:301
ac.	2220:35050:843:301 2242:31705:821:316 2287:26943:799:286
1928—8.	3464:26943:2176:286
k.	1687:30770:599:286 5996:26943:577:286 1687:32202:599:271
anthony,	6884:26943:2309:346
c.	8061:27892:488:316 1709:37446:488:286 3642:32669:510:286 3775:29791:488:316 10326:36466:488:301 5241:27892:488:301 10371:26958:488:286 1754:27410:466:301 10792:41228:488:286 1798:43172:466:286 8705:43609:532:316 6995:46970:488:286 10726:44091:510:286 5285:38847:488:316 12014:41695:488:301
baldwin,	11214:26958:2198:346
bingham,	3730:27410:2398:361
p.	11903:27440:488:271 6195:47919:510:286 8661:32654:488:286 4197:45071:510:286 9016:43142:488:286 11436:27907:510:286 9193:30288:488:286 3220:36949:510:301
g.	11858:34086:532:286 8905:40279:510:301 5263:47919:510:301 11969:40264:532:301 4663:45538:488:301 9438:35035:510:301 6284:33136:532:301 11681:28374:510:301 4907:43624:555:301 12880:31705:488:301 1776:41726:510:301 12969:43594:488:301 12902:27425:510:316 9815:31705:510:301
cameron,	1709:27862:2398:376
e.	1754:40309:488:286 12902:40746:532:286 12924:42178:532:271 2953:48416:532:286 4419:27892:488:301 5196:35999:532:286 12880:32654:488:286 9460:37898:532:286 8705:46472:555:286 3553:34101:510:286 10704:37431:532:271 3864:48416:532:286 12858:33603:510:286
childs,	6040:27892:1687:361
cole,	9904:27907:1221:346
day,	12258:27907:1154:346
b.	12880:34086:488:286 7861:41710:510:301 5551:30288:510:286 2842:28374:510:286 2642:41726:510:286 10126:38365:510:286 2909:29791:532:301 6084:39812:510:286 5929:29324:510:286 10726:30770:510:271
eastwick,	3841:28374:2442:346
r.	12947:46457:532:286 4485:32669:532:286 6751:28374:532:286 4952:43157:532:271 4041:28857:532:271 10548:33136:532:286 9749:38847:555:286 1776:44121:555:301 2531:44604:532:286 5418:33136:577:301 8394:34568:555:286 10104:47904:555:286 10348:46939:555:301 5618:46020:532:286 11814:33618:555:271
gilpatric,,	8705:28374:2509:361
haight,	1709:28842:1932:361
holt,	6173:28857:1310:346
hoppin,	10193:28857:1998:346
jr.,	10659:40761:799:331 8594:38847:799:376 4263:38380:799:361 4930:46985:821:346 1821:48416:777:331 1821:47467:755:361 12591:37898:799:346 1687:35532:777:346 7861:36934:821:361 4263:40776:799:346 4663:37431:777:346 5885:41726:777:346 6862:35517:821:346 9371:39812:799:346 4308:33136:843:361 12613:28872:755:331 1687:36482:777:361 1709:39360:777:331 10859:29806:799:361 8727:30755:821:361 5263:44589:799:346 10526:42178:777:346 10659:41695:1021:361
n.	2820:36482:577:286 2576:29324:599:286
ingham,	3508:29324:2065:361
h.	9238:39330:621:286 5085:39812:621:286 5152:35035:621:301 8394:34086:621:286 10171:30288:621:286 12813:40264:599:286 6773:29324:621:286 8616:33618:621:271 12747:36934:621:301 10659:38847:621:286 11747:44558:621:286 11881:32654:621:286 9593:33136:621:286
larrabee,	7728:29324:2420:361
mallon,	1709:29791:866:361 12214:29339:910:286
miller,	7728:37416:1709:361 8838:29806:1709:346 2576:37431:1709:346 4641:29791:1687:361
scoville,	6573:30288:2109:346 1709:30288:2109:331
stone,'s..thome,	3619:30755:4752:406
j.	5018:40294:377:346 10948:44558:421:361 9860:44091:399:346 6151:42193:399:346 5085:31705:421:346 7084:42193:399:346 10548:39797:377:361 2842:39360:421:331 1709:37928:377:346 1776:44604:399:346 8261:43142:399:346 1821:47768:377:527 9482:45523:399:346 5374:38380:399:361 9926:30755:399:361 2731:46035:399:361
whitelaw.	1709:31237:999:286 11614:30755:1487:301
1929—	3442:31690:1643:316
h:	5840:31705:621:301
briggs;	6795:31705:1843:361
brown,	4708:35532:1843:331 10681:31705:1821:346
costileya'riv'-f".	2642:32112:3619:421
ardrake;	6684:32157:2731:376
tf	9793:32187:644:286
c:''partisworth,	1687:32669:1598:346 10770:32112:2376:361
hogen,	5396:32654:1798:361
jenkins,	9482:32639:2043:376
manville,	1687:33136:2354:346
masters,	7150:33136:2131:316
merrill/	11414:33121:2065:316
morris,	3886:33603:1865:346
3rd,	6218:33618:932:331 8816:35999:932:346
smith,	9726:33603:1621:346
spiel,	1709:34101:1354:346
steif,	5640:34086:1288:361
sturdy,	9527:34086:1843:361
tweedy,	1687:34583:2109:346
deß.	5018:34568:1110:286
wack,	6440:34568:1643:346
ward',	10060:34553:1621:346
1930—	3464:35050:1665:301
aldrich,	6995:35020:2043:346
brooks,	2775:39827:1909:346 11459:35035:1909:346
-trm.	2731:35532:1643:286
dominick,	8949:35517:2576:346
fleming,	1709:35999:2198:361
fr	4286:35999:710:286
tiighoux,	6040:35984:2376:376
gwin,	11903:35984:1465:361
hanson,	7950:36466:2065:316
janeway,	12036:36466:1065:346 1709:37054:1110:256
h-	4130:36949:621:331
jennings,	5152:36934:2331:376
s..	9082:36934:666:391
o.	9926:36934:555:316 6084:46970:555:301 5840:37431:555:286 7950:42675:555:286 3197:46502:599:316
jones,	10837:36934:1554:361
moore,	11614:37416:1754:361
musser,	3419:37913:1976:346
oviatt,	6529:37898:1709:346
palmer,	10326:37898:1954:346
sage,	2598:38395:1332:346
sprigg,	7128:38365:1821:361
ward.	10926:38365:1621:301
sheff.—o.	2287:38862:2620:301
billings,	6173:38847:2065:346
blythe,	11659:38847:1732:331
brandenburg,	4552:39330:3442:361
brennan,	10237:39330:2242:331
cannon,	6995:39812:1998:331
cox,	12280:39782:1132:361
deßuys,	2576:40294:2109:361
hedden,	6506:40279:2065:346
hill,	10526:40264:1132:361
hodges,	1754:40776:2043:346
.w.	5396:40761:910:331
h,	6773:40761:621:286
knowles,	7883:40761:2309:331
longmaid,	1776:41258:2642:346
s..p.	4774:41243:1332:346
mccalmont,	6462:41243:3086:346
mason,	11659:41228:1754:331
massey,	3531:41726:1998:346
z.	7017:41726:466:286
phelps,	8727:41695:1821:361
patterson,	3064:42208:2576:301
raskob,	8016:42178:1976:331
rodgers,	1798:42690:2198:346
rumsey,	5440:42675:2154:346
sawnders,	9815:42660:2553:346
sawyer,	2598:43172:2043:346
spencer,	5840:43142:2131:361
trommald.	9815:43127:2798:301
1931_d.	2354:43639:2242:286
austin,	5774:43609:1821:361
bassick,	9571:43594:2043:346
2d,	11925:43594:688:331
black,'	2798:44106:1754:361
bohlmann,	6728:44091:2687:346
cairns,	11725:44076:1754:346
hunt,	3442:44589:1465:346
d.-h.	6462:44574:1554:286
clement,	8416:44574:2176:346
conklin,	1798:45071:2065:361
cooley,	6107:45056:1821:346
goodbody,	9860:45026:2642:346
hare,	2842:45568:1421:331
holloway,	6506:45523:2598:346
hopkins,"	11148:45508:2398:346
e..	1798:46035:710:361
.kemp,	3242:46035:1954:346
lawndes,	7595:46005:2331:331
ludlurn,	1798:46502:1043:361 12303:45990:888:271
mcciintock,	4152:46352:3086:482
mckay,	9638:46472:2020:376
mclennan,	1843:47000:2753:331
pittman,	7839:46939:2176:346
stebbins,	11259:46924:2220:346
thomas,	4841:47452:2154:331
thorne,	8283:47422:1976:331
