''	33674:37799:354:558
peck	26793:60255:1991:446
peer	24935:54163:1725:398
peo	14580:24338:1216:398
people	51065:48565:2478:542
per	62149:18676:1128:414 17921:16252:1239:414
perfected	49339:46523:3606:558
petitor	17877:37384:2566:558
phony	17987:13189:2345:542 2168:16347:2389:542
photographs	35002:57002:4756:558
piano	29360:52967:2234:558
picture	19779:30191:2721:558
pieces	11969:30877:2345:542
place	42723:44274:2057:542 8872:21323:1947:558
placed	5464:51451:2455:558
ple	2079:24976:1128:558
point	6770:28548:1947:558
pole-vaulters	56729:22711:4978:526
population	11792:43812:4248:542
port	17943:18516:1570:494
poser	2057:52185:2013:414
position	12832:50861:3163:542
post	61486:56284:1482:510
post-graduates	42126:40143:5619:542
preceded	35577:62504:3473:542
prelimi	44759:43668:2610:542
preliminary	40754:40734:4491:558 25222:34418:4491:558 39493:34274:4447:558 21549:33253:4469:558
price	53653:9075:2677:510 3783:34450:2035:558
primarily	12611:32041:3562:558
princeton	38276:40143:3650:446 33652:43126:3672:414 34581:14083:3871:462 33718:29920:3694:414 33608:48549:3650:398 44117:36045:3672:414 41086:10797:4801:733
princetonian	40998:63653:5619:382
printed	54339:58740:2765:542
prix	21815:38549:1570:430
prize	23718:39139:2035:542 23873:24561:1836:382 28453:27288:1858:542 23408:37958:1880:558
pro	46020:57672:1128:430
prof	11726:40877:1770:414 3761:61978:1770:430 50069:61292:1770:414 9712:31467:1814:414 8252:51451:1770:398 27258:20797:1770:414 5730:17751:1747:430 5818:54976:1792:414 21771:45439:1792:398
program	25532:50766:3252:414
promenade	39670:61292:4248:446
promptly	52835:26826:3517:542
proper	5796:21467:2522:430
proportion	21660:18453:4026:542
psy	61795:45088:1261:542
published	49228:55582:3717:542
pupils	20178:32089:2278:542
purchased	4137:45008:3916:558
purpose	8341:56842:2986:414
quested	49604:13492:2942:526
question	39272:37225:3938:542
raff	22036:52983:1770:478
railroads	60114:50287:3318:430
re	46883:15646:663:287 62658:12934:663:287
reading	53189:56986:3163:542
realize	10553:45582:2677:478
really	5133:33844:2168:542
receive	23740:21403:2699:398
received	8783:14146:3208:430
receives	22058:17863:3097:414
recently	60335:45805:3119:526
recess	41418:12902:2212:287 41551:15646:2500:287
regard	3805:12998:2101:382
regular	60844:23891:2721:542
related	55025:63557:3385:430
remain	44936:53924:2632:398 28961:48293:2522:414
rendered	17832:44003:3429:414 6460:36778:3407:430
reopened	38387:14800:3517:542
report	53897:13556:2323:478
reputation	9513:52026:3916:542
resolved	43985:37225:3672:478
respond	8119:27081:3031:558
rest	6615:38596:1416:382 61640:32823:1902:494
restricting	34847:41930:3982:542
retire	45423:38389:2013:414
richards	20709:62026:3584:446
rome	25753:38549:2389:494
room	56928:57113:1902:287 56972:25773:2101:287 53034:25183:1947:287 61707:25183:1924:303
rule	39405:41914:1460:430
run	62371:17958:1283:287
s	22235:63174:619:414 11217:17847:309:287 51618:37129:1194:430
safe	17943:17288:1482:430
safety	57326:49729:2256:510
sake	4978:32679:1637:414
same	56065:32950:1880:287
sander's	23828:14338:3230:414
satis	30046:35008:1659:430
say	20797:17416:1216:414
schedule	36705:51451:3274:430
scheduled	33586:46172:3783:430
school	25908:32073:2500:414 49272:62456:2455:430 27147:25853:2500:414
schubert	21240:51818:3584:462
scripture	54649:45088:3473:542
scripture's	53321:43796:3849:494
scroll	55844:36411:2035:430
seat	19470:16172:1681:366
second	20532:41834:2566:430 10000:29697:2610:430 35134:44896:2566:414
secured	8119:53780:2898:430
seem	14248:21435:1880:287 7367:45726:1858:303
seidl	23585:14928:1836:430
sentiment	42878:49091:3739:414
series	37701:47352:2101:414 35068:24162:2124:430 26815:41818:2124:414 7102:37368:2278:414
settled	45201:35454:2544:414
she	5022:53812:1216:414 2079:51467:1349:414
sheff	52326:29378:1924:382 53476:41244:2079:414 49538:31387:2079:414
sheldon	55888:27416:3009:414
sho	8584:17017:1216:414
shot-putters	49582:23285:4579:542
should	40090:37799:2478:414 61198:26236:2455:430 37679:43094:2411:430
show	7699:12472:1681:303
shown	11505:24928:2389:414
shows	9115:35008:2278:414
shroder	26749:63158:3163:462
side	33674:37241:1460:430
signals	50865:50319:2566:542
signed	49361:47990:2433:542
sill	30400:63142:1150:414
silver	59516:36411:2079:430
since	45091:12360:1548:287
single	26439:50048:2323:542
sino	33519:62520:1659:462
sion	17788:50654:1460:414
small	11283:14848:1991:430 2035:63142:1969:398 14093:59649:1969:382
smith	53056:33525:2212:430
so	53321:39027:730:287 5243:40447:730:287
soloist	19359:48293:2566:430
some	34537:34306:2035:414 14204:48660:1880:271
sometime	41993:46140:3628:430
south	35267:23429:2190:430
special	23674:56109:2544:494 41374:56396:2566:542 20554:58118:2588:558
spring	39316:28469:2500:558
sprinters	52635:20686:3340:526
squads	49560:19952:2544:542 61109:14960:2544:526
st	20399:29553:796:398
stanley	17855:47592:2832:526
start	49560:26858:1725:382
steps	35134:38469:1880:494
straightaway	33674:32392:5177:558
street	13806:54386:2256:414 17855:44721:2301:414
stu	30665:13796:1062:366
student	9712:33237:2854:414
students	3628:22807:3163:414 18762:25869:3318:414 23674:31483:3186:430 3473:57321:3163:414 12611:42057:3540:430 19071:49474:3163:414
study	29891:37384:2101:526
sub	30444:30175:1194:430
subject	49250:63046:2721:526
substantial	11991:34992:4159:430
success	44759:23556:2699:303
successful	26019:36778:3827:430
such	25377:17847:1703:430 35002:32998:1703:414
suit	53498:19952:1349:414
suite	29935:54147:1902:414
sult	33718:16252:1393:398
sup	30466:17974:1194:414
supply	17921:20829:2522:526
support	3938:61452:2876:494
supported	10111:56140:3783:526
sym	30112:12567:1460:542 14337:15550:1460:526
symphony	20709:43270:4093:542 3717:55566:4071:542 10111:36172:4048:542 19359:40542:3694:510 8518:29123:4071:542 3672:63716:4026:526 8363:12982:3186:366 25289:51818:4026:526
systematic	59649:16363:4004:558
tain	49339:48565:1416:414
take	42790:37799:1570:414 40400:44274:1570:398
taken	6261:50861:2079:430
taste	9358:47400:1792:366 27745:12041:1792:366
taylor	49272:56316:2544:526
team	33696:27113:1880:350 54627:12839:1836:366 37037:54577:1858:366 58631:10813:2168:382 44051:52823:1858:334
temore	17700:62632:2832:430
temple	50976:40080:2876:542
ten	30886:13221:1172:334
tended	17877:36810:2588:398
tender	41971:38979:2455:414
tending	2057:46778:2898:542
test	59583:46571:1393:366
tests	49317:49219:1747:366
than	38188:33588:1659:398 17877:38580:1681:398
that	12080:48517:1504:414 34249:37831:1836:398 25178:20813:1526:398 22567:17288:1526:398 42524:27033:1526:414
the	12655:55550:1194:414 53897:27990:1172:430 2013:55566:1194:398 5686:15614:1194:414 50357:30670:1460:414 37679:31228:1172:414 6637:56731:1216:414 4823:56156:1194:414 55910:47959:1172:414 62371:30686:1194:414 60755:56954:1150:414 54140:32807:1172:430 3053:53222:1194:414 33586:44896:1194:414 37480:50287:1194:414 57680:32089:1194:446 8208:54386:1172:398 44781:31212:1216:414 7279:40893:1194:414 43077:32392:1172:414 42635:50271:1172:414 59848:32823:1172:414 7102:12998:929:287 22346:12025:1194:398 59937:48533:1194:430 25598:11419:1194:414 56530:25056:1150:414 3053:14194:1482:398 52458:57608:1482:398 28740:13748:1172:398 37104:52185:1172:398 34935:28485:1194:414 49538:23875:1194:414 30908:11977:1172:414 25090:12599:1460:398 42967:43668:1460:414 40710:30638:1150:398 9889:14864:1172:414 35842:15518:1194:414 2013:57911:1194:398 2013:57321:1194:414 37435:50877:1194:398 58565:61802:1172:414 52569:25646:1194:414 39360:29920:1194:398 14823:63126:1194:414 14823:62552:1194:398 46352:29904:1482:414 12191:14130:1150:414 7124:61404:1194:398 14624:49713:1460:398 3451:32695:1216:398 8540:32647:1172:430 14978:32631:1194:430 35334:39585:1172:414 2101:29170:1216:414 2986:20654:1504:430 8075:29729:1194:398 37568:45598:1172:398 49228:63621:1172:414 60047:45088:1194:414 6770:34434:1504:398 58211:38883:1482:430 38166:39011:1172:398 40245:38389:1172:414 8562:20606:1172:414 6593:24226:1150:414 13098:24194:1172:430 9956:23477:1194:430 2101:22823:1194:414 39294:40750:1172:414 59185:41834:1194:414 42192:39569:1172:398 60424:40064:1172:414 10177:28533:1194:398 53189:63015:2035:398 51927:41244:1194:414 33564:46794:1194:398 6836:26379:1194:430 8761:19888:1172:414 13584:16252:1216:430 37701:34896:1172:398 14934:45582:1172:414 40887:35454:1482:414 62348:35710:1216:398 10708:42057:1172:414 57304:35694:1194:414 33541:49729:1194:414 9381:49697:1172:398 37944:34290:1172:414 52547:34258:1482:414 7234:46204:1172:398 12500:15550:1194:430 3075:47959:1172:398 10354:37352:1460:414 49472:37735:1172:414 4956:38549:1194:430 51640:50909:1194:414 52082:38309:1194:414 11283:36762:1194:414 5310:37384:1194:398 42104:36619:1194:414 5973:39139:1194:414 38055:49107:1172:414 51441:57018:1172:414 37325:37241:1194:414 3495:19952:1194:398 9757:38533:1194:414 50401:22711:1482:398 34338:55247:1482:414 24846:41834:1194:398 36196:63668:1570:398 28585:42552:1194:398 23740:25853:1172:430 46684:21993:1172:414 49604:12775:1172:414 44693:25598:1194:414 25134:26587:1194:398 23452:34434:1172:414 37966:22009:1194:414 36130:19840:1194:414 34559:21292:1482:398 46241:62456:1172:398 57016:18532:1172:414 41130:55231:1172:414 17832:48309:1172:414 28563:45423:1172:414 21616:37974:1504:414 35511:54546:1194:398 33718:23445:1194:414 57569:13508:1194:414 24492:36778:1194:430 55180:15662:1194:414 28563:33844:1172:414 49604:14928:1460:398 30798:35614:1194:414 24846:29458:1172:414 50401:17799:1460:414 42347:24162:1172:414 18695:41866:1460:398 30820:29458:1172:414 24094:32089:1172:398 19846:38565:1194:414 33541:53955:1172:414 28541:38549:1194:414 50401:20686:1460:398 37281:16236:1150:414 62171:54099:1150:414 40024:12376:929:271 19647:59554:1172:414 29094:57369:1194:430 46971:12360:929:287 34338:59474:1482:414 45047:15502:1504:430 44516:57560:1172:398 34537:57608:1194:398 58145:21403:1172:430 62459:20701:1194:430 42546:52759:1150:398 22877:15534:1172:398 44117:26316:1194:414 44471:60016:1172:398 27479:48293:1172:430 30665:49474:1216:414 19116:19649:1194:398 41086:56986:1194:414 23585:49474:1150:398 36816:58182:1150:398 43011:61898:1172:382 30842:19617:1194:414 34338:61356:1482:398 55047:19968:1194:414 37701:19123:1172:414 23740:50654:1460:398 34559:26332:1482:414 39360:55821:1172:414
theater	27811:14322:3053:430
their	58078:23301:1792:414 10797:16985:1792:414 11527:41451:1814:430
them	20222:14944:2079:414 13894:27799:2168:414 6880:59075:2079:398
themselves	7013:22775:4402:430
there	9381:59633:1947:414 55268:40654:2234:414
these	13717:60814:2256:398 5265:46778:1969:414 20908:20223:2256:414 6261:62568:1969:414 14049:63716:1969:414
they	42878:22711:1659:526 49560:16363:1659:542 22125:11419:1681:542
this	33497:60048:1393:430 33674:41356:1681:414 17943:19059:1703:414 49582:14194:1371:414 6128:18469:1371:430 2101:30925:1681:430 27966:58102:1371:414 38055:22711:1681:430 21837:43987:1371:430 43254:47911:1327:430 5022:30319:1371:414 44936:50861:1371:414 62127:41244:1393:430 46241:52743:1349:430 56972:12791:1393:414 30488:50654:1371:414 38719:29186:1393:414 52060:62456:1349:398 54096:47241:1659:414 53144:56284:1393:430 23497:36188:1659:414 10066:12456:1349:287 33497:58756:1393:414 6637:39713:1416:414 10620:50271:1393:414
those	39405:17687:2013:414
three	19271:48900:1969:398 56817:9091:2898:510
throughout	2079:24242:4314:558
thursday	11660:30287:4425:542 30687:9106:6106:606
tick	14182:37927:1593:430
tickets	22921:48293:2854:414
tickets—just	5597:43238:4823:542
time	14469:40303:1681:414 38652:39569:1659:414 43520:29920:1858:398
to	60114:24529:708:366 58034:26284:708:382 3340:27910:730:366 7102:27161:708:366 38099:17719:708:382 2190:19952:1017:414 52038:49777:685:366 7522:17065:708:382 21638:15614:708:334 31307:20271:708:350 58676:32871:708:366 45489:43158:685:334 58654:46571:685:366 52414:20000:730:366 19735:17336:708:366 13584:20638:708:366 59671:62999:730:382 6217:13030:553:271 52857:42488:708:350 39095:52823:708:350 53432:41882:708:366 31329:14386:708:366 38232:40829:685:350 2146:22153:708:366 34957:19888:708:366 26439:18500:708:366 52104:48022:685:366 51551:25694:708:366 52857:13556:685:350 55888:31435:730:366 9558:45646:685:366 2101:33923:730:366 20731:37432:708:382 38166:36698:708:366 6969:57369:708:366 21616:42600:708:382 58897:12137:708:350 23519:29521:708:366 2079:38022:730:366 10133:58517:708:366 58631:34290:708:382 13695:49171:708:366 5841:59123:708:366 53874:15693:708:382 20974:35088:708:366 53852:16411:708:366 30090:33317:708:350 20775:36858:708:350 4557:33333:685:350 52082:27464:708:350
took	35997:22009:1637:414 35599:18405:1637:414
tournament	33741:16969:4779:398
toward	37347:38389:2655:430
townspeople	9580:44992:4933:558
tra	2101:29808:1261:430
track	52503:10765:2212:398 45909:26316:1969:414
train	55335:16363:1792:430 60224:12089:1770:414
trainer	60822:27416:2854:414
training	19005:12009:3053:542 49560:24465:3031:542
treat	29448:60255:2278:462
trials	45511:40734:2079:430
tried	29205:20207:1770:414
trip	41794:21993:1327:542 46219:25582:1548:558
troostwyk	27767:46156:4137:526 5044:41467:4314:558
tuttle	54782:55566:2566:478
twelve	9049:42647:2500:414
twenty	42259:31850:2655:494
two	25134:32727:1371:350 19979:33907:1371:366 23983:37432:1371:366 62282:19314:1371:382
two-hundred	33674:31802:4889:430
un	15045:16395:818:287 46507:43238:818:255
unable	49295:49745:2522:414
undergraduate	5310:43828:5841:542
undergraduates	35024:49697:5973:542 8230:26363:5973:542 2190:12472:4801:398
university	41418:12360:3186:366 55357:54833:4004:542 25090:49458:4026:542 52503:52855:3672:494
unselfish	8628:39697:3318:430
until	42502:60016:1747:414
up	13341:62680:907:414 33718:19984:929:398
upon	57105:41962:1836:414 33674:36188:1836:430 61663:37847:1880:414 59561:31515:1836:414 33630:42663:1880:414
urging	10841:16268:2544:574
use	61441:24609:1239:303
useful	49228:59936:2301:398
usual	61441:48533:2013:430 39493:22009:1991:414
vaile	24647:61994:2190:462
vances	2124:26539:2743:350
varsity	36130:57592:3053:526 42259:30638:3075:526
very	2079:36938:1725:398 42480:23572:1703:398 59893:57672:1681:398
visited	45312:22711:2522:414
vol	2610:9218:2035:526
volving	2079:40319:2832:542
w	52945:45088:973:414 9978:17129:486:287 28320:61994:973:398 25134:60255:929:398
wall	57105:40064:1747:414
was	42701:19250:1371:287 44825:17081:1393:287 39006:41467:1393:287 14757:36316:1393:287
we	2854:45614:1239:414
weakness	49383:47273:3717:398
weather	58786:18548:3053:414
week	29559:58118:1947:398 35201:60064:1947:414 38011:44864:1924:414
welch	17722:60845:2544:462
well	30090:38549:1482:414
what	14204:58469:1858:414 4380:27847:1880:414
when	54450:18532:2013:414 55401:21387:2013:430 49317:50909:1991:430
where	45246:27751:2168:414
whereby	36108:42520:3274:542
which	60999:62951:2212:430 5088:29729:2278:430 49516:38309:2256:414 61419:15662:2234:430
while	2057:44434:2013:414
whit	29669:61994:1747:398
white	61198:58692:2079:414
who	33718:18389:1548:430 53808:12057:1548:430 54140:48549:1526:414 53653:26236:1526:414 9071:63142:1526:398 8628:60223:1504:414
widely	8960:48517:2699:542
wider	29979:10813:2124:414
will	29426:43254:1371:430 38475:44290:1393:414 13319:29697:1371:414 36639:29202:1349:414 17832:46874:1349:414 29338:47576:1371:414 53166:24465:1393:414 49250:61882:1371:398 17965:21403:1349:414 54892:23285:1416:414 62194:38883:1371:430 57879:40638:1349:430 51905:36411:1393:430 52635:37719:1371:414 56707:20686:1393:414 53321:14928:1393:414 44670:61292:1371:430 37745:53365:1393:398 25200:28740:1393:414 53166:19234:1371:414 60424:17815:1371:414 51728:17081:1393:414
william	26882:26555:2964:430
willing	6969:58469:2610:542
wilson	20996:60845:2787:462
winchester	17943:28756:4535:414 17921:27304:4336:430
wirt	30311:26555:1725:430
with	14381:57289:1659:430 2013:60814:1637:414 35511:50287:1659:430 61884:36411:1681:430 33541:54530:1659:414 54162:34976:1703:414 45976:47337:1659:414 7920:35582:1659:430 44626:28469:1637:414 43099:24864:1681:430 37723:46172:1637:414
wood	51175:34992:2168:462
work	60490:23301:1858:414 58831:20686:1902:430 60003:37129:2212:478 58963:26236:1902:430 49538:17081:1902:414 43232:53349:1902:398 26063:21977:2057:430 20974:26587:1902:414
worthy	5044:49713:2721:526
xiv	5287:9202:2190:526
yale	12191:21308:1725:414 10288:19872:1725:414 2079:50877:1681:414 39692:46172:1681:398 10819:637:11991:31 45113:24864:1725:414 53299:54880:1703:398 28762:17272:1703:398
yale's	9027:25646:2345:414
yard	46109:31802:1725:542
year	33541:53509:1814:382 40467:22855:1681:398 58941:12934:1659:398 40865:29314:1659:398
years	25952:37496:2035:414 27258:32791:2013:414
year's	49494:35710:2455:526
yet	3163:27177:1194:510 60401:49171:1194:510
york	42325:16953:1858:414 49516:34258:2035:414 27147:47592:1880:414
