plumbers	2168:8113:6076:707
"illegal."	5524:19345:2414:366
manager	9227:24208:2312:288 3641:19896:2352:288
also	6526:20263:1002:275
asked	7693:20237:1452:288
not	9329:20250:777:262
be	6731:23317:572:288 3335:21141:572:288 10905:20210:572:288
identified,	2148:20709:2598:327
confirmed	5053:20682:2639:301
asbestos	2209:27262:2148:288 7345:25493:2148:288 6404:29005:2148:275 2189:24208:2168:301 9289:20656:2168:288
can	5708:23395:879:209 2148:21220:900:209
found	7468:23304:1411:301 4133:21128:1432:301
"in	5831:21141:777:275 9473:21993:818:262
all	6854:21128:613:288 4133:22019:634:275 2148:21574:634:288
old	8716:21102:736:288
piping,	9698:21102:1759:353
piping."	5749:21561:2066:366
over,"	5033:22006:1636:340
said.	7672:26358:1186:301 7754:21980:1186:301
any	10557:22059:920:262
major	2189:22452:1554:353
building	4173:22452:2046:353
built	6649:22452:1125:275
between	8204:22439:2066:275
1920's	2209:22897:1432:275
1960'5,	6751:22884:1575:314
they	8777:22871:1104:340
used	10353:22858:1145:288
asbestos."	2168:23330:2700:275
it	5156:23330:388:275
primarily	9002:23291:2475:380
"tunnel	3273:23762:2066:301
areas."	5913:23749:2066:288
"there's	9104:23710:2393:288
firedoors,"	5237:24182:2803:340
added.	2168:24628:1718:301
disagreed	3682:25060:2537:366
with	6485:25060:1084:288
plumber's	8900:25047:2618:366
flaking	9739:25493:1800:353
from	3150:25912:1227:275
ceilings.	8511:25873:2127:340
"that's	2230:26397:1943:275
plaster,"	4358:26371:2312:380
commenting	2721:26830:3294:340
on	6363:26895:593:209 8838:29071:613:196
university,	6383:27249:2864:353
said,	10353:27236:1186:340
"i	2230:27721:511:262
wouldn't	3069:27695:2189:288
say	5544:27773:879:275
illegal	7774:27681:1595:353
but	9677:27668:797:288
just	2189:28153:961:340
about	3375:28140:1432:288
stepping	4992:28140:2168:353
line."	9677:28114:1452:288
"there	2762:28586:1882:275
some	5340:28651:1329:196
protective	6854:28560:2598:353
covering	9595:28560:2230:340
which	2189:29018:1534:275
includes	4010:29005:2107:288
pipes,"	9698:28979:1861:366
associate	2209:29451:2496:288
director	5196:29438:2168:288
university	8859:29425:2700:327
health	2250:29897:1739:301
serevices	4480:29857:2475:301
severio	7447:29831:1902:288
fodero	9841:29792:1800:301
confirmed.	2291:30316:2782:327
explained	6117:30264:2516:380
"not	9984:30250:1104:275
forum	2414:43738:5708:865
explores	8900:43672:6854:1087
80s	16511:43620:2598:891
definition	2475:45022:8225:943
of	11457:45009:1759:878
feminism	13913:44957:7713:917
by	2373:46582:654:314
heidi	3273:46556:1698:275
chen	5196:46542:1636:275
"feminism	2925:46975:2946:288
deals	6219:46962:1350:288
with	7918:46962:1084:275
issues	9370:46962:1534:275
of	11253:46949:491:288 3948:58339:470:288 2373:47853:470:275 4276:49596:470:288 11416:58745:450:275 8470:57447:470:275 3601:53542:470:288 8429:50881:470:288 9821:48666:552:288 7897:61812:470:288
justice	2352:47408:1718:366
and	9125:54813:920:288 10823:47814:920:288 6547:47827:941:301 5790:59191:920:301 8634:64001:941:288 9186:59610:941:288 9800:60043:920:288 7222:56556:941:288 10884:49518:920:301 4296:47408:900:288
pain	5401:47408:1104:353
as	8695:47473:531:196 6690:47473:552:209
well	7447:47394:1023:275
the	4664:64053:777:262 8736:50003:777:288 11048:53502:757:275 9145:57447:797:262 9145:58745:777:275 9821:64001:797:275 9432:47394:777:275 9698:52178:797:301 10905:48666:859:275 9268:50881:777:288 4501:53528:777:275 6035:56137:777:275 6670:57015:757:275 8286:53961:757:275 11069:57880:797:262
ideas	10393:47381:1329:288
masculinity	2496:59204:3069:353 3171:47840:3048:353
femininity	6915:59191:2659:340 7815:47827:2659:353
sex	2373:48377:859:209
roles,"	3703:48273:1739:353
linda	5954:48273:1473:288
anderson,	7897:48233:2598:327
administrative	10966:48207:552:288 2393:48718:3682:314
assistant	6629:48692:2639:301 2557:61878:2312:288
women's	2393:49164:2352:314 10844:52178:654:288 2434:52663:1514:301
studies	4992:49151:1841:288
major,	7058:49138:1718:353
told	9043:49111:961:288
an	10189:49190:613:209
audience	2414:49623:1657:275 11007:49177:531:196
approximately	4951:49570:3764:366
30	8920:49583:491:262
men	9595:49623:1104:209
women	2414:50121:1861:222
monday	4460:50016:2025:353
night	6649:50016:1289:353
in	10496:51313:450:301 8122:50016:450:275 8388:56582:429:262 7161:58326:450:275 6895:55704:450:275
silliman	9677:49990:2148:288
common	2455:50514:2291:275
room.	4971:50475:1616:262
anderson	2946:50894:2455:288
was	5769:50973:982:196
one	7161:50960:859:209
three	10455:50881:1309:275
speakers	2414:51340:2312:366
who	5258:51340:1023:275
participated	6792:51313:3171:366
a	7918:62756:265:209 5115:63215:286:196 7529:55783:265:196 9657:63188:265:196 7774:58391:265:209 8879:53161:265:196 7283:62323:286:209 9329:60999:265:196 3478:55363:245:209 11498:51392:265:196 9043:56648:286:196
forum	2434:51798:1554:275
entitled	4521:51759:1964:288
"what	2475:54433:1698:275 7038:51759:1636:275
is	10414:55691:409:275 10393:62232:368:275 4399:63149:368:262 3989:64053:409:275 9227:51746:388:288
called	10168:51746:1616:288
feminism"	2434:52205:2987:301
sponsored	5790:52192:2578:353
by	8716:52192:613:353 6977:61380:593:353 5422:53961:572:353
center.	4173:52663:1861:275
karen	2966:53122:1595:275
weinbaum	4828:53083:2721:288
'85,	7836:53083:757:327
coordinator	5299:57447:2987:288 9391:53057:2148:301 2455:53581:695:262
forum,	5667:53528:1718:327 10127:57434:1718:327
opened	7815:53502:1800:366
up	10025:53581:593:275 8245:54892:593:288
discussion	2434:53974:2680:314
asking	6322:53961:1657:340
audience,	9370:53935:2434:340
calls	4521:54407:1166:288
for	8593:63110:716:288 6076:54407:716:262
feminism	7140:54394:2414:275 4583:58326:2414:301
so	9943:54472:491:196
that	10823:54380:1002:275 10844:56569:1023:262 9227:55691:1002:275 4542:55717:1023:275
people	8593:56124:1657:353 2434:54852:1698:380
.	4378:54813:61:419 5074:54813:81:419 4726:54813:61:419
will	5381:54839:920:262
stand	6588:54826:1391:288
say	10312:54892:879:275
'i	11498:54813:306:262
am	2455:55377:818:222
feminist'?	3928:55259:2578:314
and,	6711:55259:1166:327
how	10884:60043:982:288 8081:55259:982:288
do	9268:55259:552:275
we	10005:55324:695:209 9780:59256:695:196
respond	2455:55717:1268:393 10884:55311:736:209
to	3887:55730:470:275 5994:57028:450:262 4705:62284:470:262 6015:58771:470:275 8532:60947:450:262 8266:60069:450:262
call	5749:55704:920:275
way	8000:55770:1023:275 9575:56648:1043:262 7181:56215:1043:262
different	11007:55665:654:288 8204:58313:2230:275 2475:56176:1554:288
from	4399:56163:1248:275
have	10639:56124:1227:275 10680:59178:1207:275
responded	2475:56582:2659:380
before	5381:56582:1616:275
isn't	2496:57028:1125:327
favored	3805:57015:1964:301
man?"	7652:57002:1739:288
another	3028:57474:2066:288
nora	2516:57932:1248:275
folkenflik	4173:63595:2639:301 3048:60947:2639:301 4092:57880:2659:314
'88,	7079:57893:797:314
addressed	8184:57867:2598:288
issue	2496:58378:1289:262
manner.	2516:58863:982:209 10578:58391:982:196
"i	3805:58784:491:275
want	4521:58771:1248:288
examine	6711:58758:2189:275
idea	10148:58732:1043:288
built	2537:59663:1145:288
into	3928:59649:941:275 6690:62690:961:275
art,	5094:59663:900:314
philosophy	6219:59623:2741:380
literature,	2516:60134:1207:301 10312:59610:1350:275
what	3948:60082:1248:275
they	5381:60069:1084:353 2516:60541:1104:340
mean	6670:60148:1391:196
us,	8900:60134:695:249
were	3846:60593:1248:209
gotten,"	5299:60501:2086:366
she	7611:60501:859:275
said.	8675:60475:1166:288
referred	6035:60934:2148:288
literary	9943:60921:1943:340
theory	2537:61432:1657:314
proposed	4419:61380:2332:366
jennifer	7795:61366:2148:288
wicke,	5360:62245:1718:340 10168:61353:1698:314
professor	5196:61838:2393:366
english.	8675:61799:2127:340
according	11150:61799:552:262 2537:62284:1984:327
narrative	7774:62245:2414:288
"an	11007:62245:900:262
actant	2537:62730:1657:288
moving	4501:62703:1923:340
dark	10884:64001:1186:275 8491:62677:1186:288
space."	9964:62664:1943:353
"this	2598:63149:1432:288
metaphor	5749:63110:2496:366
sexual	10271:63110:1636:275
act,"	2659:63621:1289:327
explained.	6997:63582:2639:353
"the	9882:63568:1248:262
ac-jnt	2721:64080:982:301 11314:63647:511:196
mascutne	5749:64027:2598:288
spac.e	12726:46608:1452:288
is	14567:46542:388:275 14792:61812:388:288 19846:46975:388:288 19948:47421:388:275 15488:48286:409:275
the	15345:46542:777:275 19294:49164:757:275 20399:46975:777:288 16429:47408:777:288 12849:59217:777:275 18823:52650:777:275 16143:46975:777:275 16041:59623:797:275 19478:59138:777:288 15734:60488:777:288 16818:53070:757:275 16634:56989:777:288 19764:50461:777:275
feminine,"	16491:46542:2741:340
she	19642:46542:838:288 21238:51798:838:275 15918:63110:859:288 14915:51327:838:275 21360:60436:838:288 15877:48705:859:301
said.	15938:51327:1186:275 17166:63097:1166:288 12869:60947:1207:288 16941:48705:1166:301 20849:46542:1186:288
"saying	12767:46975:2046:353
that	14260:48273:1002:288 15161:47408:1023:288 14977:46975:982:288 17943:54826:1043:275 19908:61327:1002:275 21197:60016:1002:275 18230:49583:982:288
masculine	17064:46975:2618:288
actant	21299:47054:511:209 12726:47421:1023:275
and	14670:60501:920:288 17636:47840:920:288 14915:60056:920:288 13994:47408:920:288
feminine	17452:47408:2250:288
just	20583:47421:961:353
a	14424:63647:265:196 12746:50094:265:209 20071:48364:265:196 21790:47499:245:196 17104:58378:265:196 13728:53594:286:196 21974:62703:265:196 14220:57972:245:209
force	12746:47840:1289:288
pulling	14240:47840:1780:366
us	18639:48351:552:209 16225:47919:531:209
in	16982:47840:470:288 19232:53096:450:262 19417:48286:470:275
'not	18823:47853:920:275
doing,'	19928:47853:1718:353
i	21892:47866:143:262
think	12746:48273:1289:288 16266:62232:1289:288
built	16122:48273:1166:288
into	17493:48286:941:275 20051:50907:961:275
really	20562:48286:1493:353
deep	12726:48705:1207:366
way,"	14117:48705:1554:366
anderson	13258:54813:2557:314 13258:49151:2434:288 12808:58417:859:209 20440:57828:1432:288
pointed	16020:49151:1861:353
out	18189:49177:777:262
importance	12767:49609:1350:262 20378:49164:1432:353
of	18271:60462:470:275 15938:57002:491:288 21606:52231:450:275 18291:50016:491:288 18312:57854:450:275 18414:53515:470:288 13790:56582:470:275 14342:49583:470:288 15836:53515:470:275 14486:53948:470:275
recognizing	15018:49583:2987:353
there	19437:49596:1329:275
isn't	20972:49596:1084:275
"static	13442:50016:1698:288
definition	15509:50016:2434:288
feminism."	19151:50029:2884:288
"it's	12767:50448:1145:288
useful	14179:50448:1534:288
to	18353:62677:450:262 16041:50475:450:262 14956:50907:450:262 21606:53122:450:262 17207:57447:470:262 21810:63083:450:262 16388:58326:450:262 17739:58745:450:249
talk	16818:50448:961:288 18373:58706:961:288 14670:51759:961:288
about	14363:59636:1411:275 18066:50448:1391:288 20767:58706:1370:288 18803:55259:1411:288 16041:51759:1432:288
components	20808:50553:961:196 12746:50907:1943:340
see	15652:50973:818:196
how	16695:50894:1023:275 21258:63516:1002:275
they	17964:50894:1084:353
fit	19273:50907:552:275
our	21238:50986:818:196
world,"	12746:51327:1943:340
"to	13299:51772:941:275
feminism,"	17882:51772:2905:340
said,	12746:52192:1166:340
"look	14158:52205:1350:275
around,	15693:52192:1923:340
look	19007:63529:1023:275 14711:53070:1063:288 16879:52637:1043:288 17841:52205:1002:288
for	19028:52218:716:275
issues	19908:52218:1514:288
discrimination,	12746:52637:3928:340
at	20419:63529:470:262 18128:52663:491:249 16041:53096:470:249
rape	19785:52729:1145:275
statistics,	12746:53083:1677:327 21135:52690:716:249
laws	17841:53083:1145:275
order	19969:53096:1370:275
get	12746:53542:777:327
sense	14240:53594:1391:196
reality	16511:53515:1698:340
individuals'	19089:53528:2946:288
lives,	12746:53961:1329:327
women's	15324:53948:2250:275
lives.	17964:53948:1309:288
then,	19662:53961:1432:340
do	21483:53974:593:275
your	12746:54472:1145:262
theory."	14117:54380:2148:353
said	16327:54813:1084:275
all	19498:54839:654:262
other	20665:54839:1391:275
"isms"	12767:55259:1841:288
can	14915:55337:900:196
be	16102:55246:572:288 19171:62651:572:275
talked	16941:55259:1575:275
within	20480:55272:1575:288
feminism.	12746:55704:2578:288
"women	15570:55704:2209:275
are	17964:55770:838:196 12746:56661:838:196 16511:56202:859:209
working	18966:55704:2046:353
women,	12746:56229:1268:249 21217:55796:572:209
women	14363:56215:1820:209 12869:60148:1820:209 18230:59663:1820:196 20255:56229:1820:209 12931:62769:1800:209
lesbians,	17698:56124:2209:327
different	14465:56569:2230:275
color."	16879:56569:1759:275
members	13319:57015:2414:301
audience	17616:56976:2291:288
discussed	12808:57474:572:288 20112:56963:1780:288
what	13544:57474:1227:275
it	14936:57461:327:275
meant	15447:57447:1616:275
approach	17821:57408:2393:366
history	20358:57395:1780:353 20378:58273:1759:353
from	12828:57919:1207:275
feminist	14629:57880:2127:301
point	16900:57867:1268:353
view.	18925:57854:1309:262
referred	13954:58313:2127:301
maritime	17677:58286:2434:275
course	20501:59217:1677:209 12828:58837:1677:222
which	14690:58758:1493:275
used	16388:58719:1145:301
only	19519:58706:1043:353
male	13892:59204:1268:275
sailors.	15427:59178:1861:288
"now,	17616:59165:1575:327
talks	12869:59636:1227:288
few	17084:59597:879:275
sailors,	20317:59584:1820:327
prostitution	16081:60030:2966:380
during	19294:60016:1657:340
period	12869:60501:1616:366
effect	16675:60475:1432:288
women,"	18885:60449:2291:327
one	13442:61406:961:262
freshman	14567:61380:2475:288
suggested	17186:61327:2557:366
feminism	21074:61327:879:275 12910:61838:1391:262
often	15631:61812:1268:275
equated	17370:61773:2025:366
with	19826:61760:1063:288
lesbianism.	12910:62258:2209:275 21360:61760:675:275
"i	15468:62245:491:275
that's	17841:62218:1473:275
why	19580:62205:1043:340
some	20910:62258:1329:222
don't	15120:62677:1268:288
want	16736:62677:1248:275
called	20092:62625:1534:301
feminist,"	12931:63110:2598:353
"we	18762:63097:1104:262
need	20235:63070:1186:288
take	12951:63568:1084:288
more	15099:63621:1309:209
critical	16777:63529:1841:301
things	12971:64014:1534:340
sj-e	14711:64067:838:340
called."	15754:63975:2025:301
ydn-reuel	18414:41798:2127:196
schiller	20685:41798:1432:183
feminist—karen	2475:42204:5074:288
weinbaum	7836:42191:2741:275
'85	10905:42191:613:262
addressed	11805:42178:2598:275
an	14690:42256:552:183
audience	15570:42165:2271:275
in	18128:42165:429:262
the	18864:42165:777:249
silliman	19908:42152:2127:262
common	2455:42676:2291:249
room	5237:42650:1452:262
monday	7181:42637:2046:340
night	9698:42637:1289:327
at	11416:42637:511:249
a	12358:42702:265:183
forum	13094:42623:1534:262
entitled	15079:42610:1943:262
"what	17514:42597:1636:262
is	19580:42584:388:275
called	20440:42597:1595:262
feminism?"	2455:43082:3314:275
ydn-reuel	18414:41798:2127:196
schiller	20685:41798:1432:183
feminist—karen	2475:42204:5074:288
weinbaum	7836:42191:2741:275
'85	10905:42191:613:262
addressed	11805:42178:2598:275
an	14690:42256:552:183
audience	15570:42165:2271:275
in	18128:42165:429:262
the	18864:42165:777:249
silliman	19908:42152:2127:262
common	2455:42676:2291:249
room	5237:42650:1452:262
monday	7181:42637:2046:340
night	9698:42637:1289:327
at	11416:42637:511:249
a	12358:42702:265:183
forum	13094:42623:1534:262
entitled	15079:42610:1943:262
"what	17514:42597:1636:262
is	19580:42584:388:275
called	20440:42597:1595:262
feminism?"	2455:43082:3314:275
lawyers	12501:21941:7120:1074
debate	20296:21928:5503:878
limits	26496:21914:4644:891
to	12603:23409:1595:773
powers	14752:23540:6158:851
of	21647:23251:1964:1140
the	24143:23278:2516:904
press	27151:23540:4378:851
by	12521:24811:654:327
guy	13422:24811:1268:262
maxtone-graham	14874:24811:5769:249
"the	13074:25230:1268:275 15488:28730:1289:288
press	16982:28743:1432:275 14526:25296:1370:288
seems	16081:25296:1595:209
now	17882:25296:1002:209
to	13994:26082:470:262 19089:25244:470:262
feel	19744:25217:920:275
that	16368:30486:1023:288 20849:25217:1002:275
it	12521:25676:347:275
has	13156:25663:859:288 18639:28730:859:275
the	17391:29163:797:288 21094:25650:757:288 14322:25663:797:288 17493:26043:797:288 12542:30486:777:301 21094:28284:757:275
right,	15386:25663:1391:353
indeed	17084:25650:1677:288
almost	19069:25663:1718:275
duty,	12501:26069:1268:353
probe	14670:26043:1473:366
into	16327:26043:941:288
intimate	18475:26043:2189:275
personal	20849:26109:757:275 12521:26541:1329:288
affairs	14199:26541:1698:288
of	16225:26541:491:288 20480:28284:470:288 12521:27865:470:288
any	17023:26620:920:275
person,"	18291:26528:2189:366
said	20828:26528:1023:288
david	12542:26987:1534:275
ellenhorn,	14260:26974:2700:340
law	16920:29621:1104:275 17186:26987:1104:275
'61.	18516:26974:777:288 18271:29608:757:288
ellenhorn	13053:30054:2537:288 13053:27419:2537:288
addressed	15856:27406:2598:288
an	18721:27498:593:196
audience	19580:27406:2271:288
50	13217:27891:531:249
people	13954:27852:1636:353
at	15836:27878:511:262
last	16593:27852:920:288
night's	17739:27852:1718:353
political	19683:27839:2168:288
union	12542:28298:1493:288
debate,	14199:28284:1841:353
arguing	14322:29176:2066:353 16225:28284:1984:353
in	18353:28284:470:288 16654:29176:470:275
favor	18966:28284:1370:288
resolution,	12521:28730:2700:340
gone	19703:28782:1186:288
too	21115:28743:736:262
far."	12521:29176:1248:275
negative	18414:29163:2230:353
was	20890:29241:961:209
ralph	12521:29621:1534:353
elliot	14281:29608:1411:288
'58,	15918:29608:797:340
based	15856:30041:1473:301
his	17555:30054:736:275
argument	18516:30054:2537:353
on	21278:30132:572:196
contention	13503:30486:2659:301
"there	17616:30486:1636:288
is	19437:30486:409:288
a	20030:30565:286:209
great	20521:30486:1329:340
social	22731:24759:1473:288
cost	24695:24772:1023:275 28542:29595:1023:262
when	26209:24759:1309:288
people	22977:50593:1657:366 30547:36568:1657:366 28010:24759:1657:353
of	27723:33082:470:288 27294:37027:470:288 26271:32649:491:288 30097:50134:470:275 26475:29136:491:288 23468:35270:491:288 22956:48404:470:288 27498:36149:470:288 25452:40539:470:288 27028:41850:470:288 22936:46228:491:288 30158:24759:491:288 27273:51890:450:275 26905:51012:470:288
fundamental	31099:24759:777:275 22752:25191:2414:288
honor	25616:25191:1452:288
and	29053:50553:920:301 31365:48823:941:288 27539:25191:920:288 26107:40972:941:288 31161:25191:941:275 25698:48391:920:288 30772:33947:941:288 25145:36149:941:288
dignity	28910:25191:1800:353
honesty	22752:25637:1943:353
have	28399:46660:1227:275 22956:47539:1207:275 25207:25637:1227:275
to	24900:50606:450:262 31754:38351:470:262 26926:25650:470:262 31693:33514:450:275 26250:47984:470:262 26189:26082:470:275 30097:51025:450:262 28276:44498:491:262 28010:44052:470:262
mortgage	27887:25637:2496:340
their	30874:25624:1227:288 24798:38351:1227:288
private	22752:26082:1841:353
lives	24798:26069:1186:275
the	31447:44458:797:288 25800:49282:818:275 26025:27826:797:275 29892:29582:797:275 25596:42296:797:275 26475:33514:797:288 23631:48404:777:288 31161:29123:961:275 24348:31771:777:288 27662:43161:757:275 26823:48404:777:275 30240:50566:757:275 27846:41405:777:288 22936:46674:797:275 28092:51877:777:288 23652:46228:797:275 26864:26069:777:275 27253:30893:777:275 31550:50999:757:275 27580:51012:777:288 28972:47958:797:275 27744:41850:797:275 29340:26489:777:288 28747:38337:777:288 30506:36136:757:275 24654:47539:797:288 23509:51903:941:288 30179:40526:777:275 26025:31338:797:288
newspaper."	27846:26056:3273:366
in	24900:40094:470:301 25125:49714:470:275 28276:38783:470:275 28317:31325:470:275 23386:37931:511:275 24511:36607:470:275 29647:35703:470:275 23284:26515:491:275 26250:34838:470:275 25371:31338:450:275
1983,	24020:26528:1125:327
ellenhorn	24307:39661:2537:288 26741:35257:2557:288 25371:26502:2557:275 29585:30001:2557:288
won	28112:26580:1023:196
largest	30302:26489:1800:353
libel	28419:32203:1309:288 22752:26947:1104:275 22772:29530:1084:301
award	24102:26934:1657:288
ever	26005:27013:1145:209
granted	27396:26921:2025:366
against	24429:42728:1861:353 27805:45350:1902:340 29667:26934:1902:353
a	26189:43672:286:209 26250:30093:286:209 31816:27000:286:222 29012:34458:286:209 24286:32728:286:209 30629:28769:265:209 30772:50212:286:196 29258:41038:265:222 26700:28337:306:209
u.s.	22752:27393:1043:288
newspaper.	24061:27459:2925:275
he	29626:39648:572:275 30097:39216:593:275 27478:27380:654:275 22752:27839:593:275 31672:42702:572:288 23304:30906:695:275 24593:47106:695:275
explained	28378:27367:2496:353
that	24184:42296:1023:275 28358:39648:1023:288 31099:27367:1023:288 25514:34392:1043:288 26005:30893:1023:288 26639:41418:1023:275 29954:47093:1002:275 26987:36594:1002:275
fought	23877:27826:1636:353
new	27355:27865:1125:235 22833:34917:1002:209
york	29074:27839:1227:249
post,	30854:27852:1248:301
representing	22752:28271:3437:353
company	27519:28324:2455:288
whose	30486:28245:1636:288
"reputation	22793:28704:3007:366
was	28562:31836:982:209 25943:28769:1002:209
destroyed	27130:28691:2537:353
by	22793:32217:613:353 29831:28678:593:366
conscious	22752:29149:1575:288 31079:28769:797:209
policy	24634:29136:1554:366
journalism."	27253:29123:3314:366
suit	24225:29556:920:288
eventually	25473:29569:2721:353
post	31059:29608:1104:249 27028:31351:1104:262
"about	22813:30028:1739:288
half	24900:30015:1002:288
million,"	26926:30001:2271:340
said.	30854:39189:1186:301 22895:43161:1207:288 22772:30460:1207:288 29422:35244:1207:301
added	24225:30893:1554:288
libelous	28255:30880:1964:288
article	30445:30880:1677:288
appeared	22772:31325:2434:380
1977,	28992:31338:1145:327
shortly	30342:31312:1780:353
after	22772:31771:1248:301
newspaper	25452:31836:2803:288
acquired	29872:31745:2271:366
rupert	23590:32217:1820:353
murdoch.	25596:32203:2455:301
suits	29913:32203:1186:288
are	24450:35795:838:196 31304:32269:838:209
"just	22833:32662:1268:340
price	24777:32649:1329:353
doing	26926:32649:1411:353
business	28542:32649:2168:275
from	30895:32636:1227:288
[murdoch's]	22854:33082:3150:327
point	26230:33082:1289:353
view."	28399:33082:1698:288
"i	23345:33527:531:275
respect	24225:33540:1902:340
press's	27601:33514:1820:366
desire	29790:33501:1534:301
keep	22813:33960:1186:366
confidential	24266:33960:3028:288
its	27560:33960:613:275 26557:42728:593:275
sources,	26332:38416:2086:275 28419:34025:2086:262
i	32000:33947:163:275
recognize	22833:34405:2455:353
there	22833:35729:1350:275 26803:34392:1309:288
is	28378:34392:368:275 29810:36136:388:288
legitimate	29524:34379:2639:366
interest	22833:36620:1493:275 24061:34838:1964:288 31550:36136:450:275
maintaining	26946:34825:3130:353
integrity	30302:34812:1677:366 22833:35297:470:340
cources,"	24102:35270:2475:340
"but	30977:35257:1186:275
other	30874:37014:1329:288 25555:35716:1329:288 28787:44026:1350:288
interests	27151:35716:2250:275
society	30383:35690:1780:353
as	22813:36240:572:209
well,	23652:36162:1207:327
one	26353:36227:879:209
them	28235:36149:1289:275
seeing	25166:36594:1636:353
innocent	28174:36594:2168:275
aren't	22854:37040:1534:288
convicted	24593:37027:2475:301
murder	27969:37014:1943:288
or	30117:37092:531:209
crimes.	22854:37486:1923:288
some	24245:37997:1329:209
cases,	25943:37984:1554:262
unless	27846:37905:1595:288
reporters	29810:37905:2393:340
reveal	22854:38351:1595:288
"right	29892:38324:1554:353
obtain	22854:38783:1800:301
evidence	25186:38783:2537:288
your	29299:38849:1268:275
own	31120:38836:1084:209 27396:42807:1002:196
defense"	22854:39229:2271:288
may	29524:43672:1125:262 25330:39307:1145:275
be	26639:39216:593:288 25616:50579:572:288
infringed,	27396:39203:2496:366
still,	22854:39661:1166:353
said	27069:39648:1084:301
did	30424:39635:797:288
not	31427:39648:797:275 31447:43161:797:262
believe	22854:40107:1841:288
outside	25555:40094:1841:301
censorship.	27601:40094:2884:340
