woman	2564:7694:4780:695
that	7673:17739:1005:275 7201:26957:984:262 6319:24317:1005:275
he	8904:17739:574:275
"was	9746:17752:1292:275 5232:24751:1272:288
led	11284:17739:738:288
believe	3549:18146:1826:288
that"	5745:18172:1333:275
locklear's	7509:18172:2708:288 7735:19485:2687:288
certifcate,	2667:18592:2646:341
which	5498:18606:1497:275
will	7201:18606:902:275 9971:19065:923:275
sent	9027:18632:1046:262
records	4678:19039:2072:288
tomorrow	7119:19065:2503:262
list	11264:19065:759:288
bne	2667:19551:882:210
causes	5273:19564:1682:196
aids.	6134:19932:1497:262
although	7817:19932:2318:341
little	10259:19932:1210:288
is	7324:20798:389:275 11613:19945:389:275
known	2667:20352:1620:288
definitely	4862:20352:2421:354
concerning	7837:20365:2831:354
fatal	2646:20785:1169:288
disease,	4206:20785:2010:341
it	6627:20798:348:275
believed	8104:20798:2133:288
spread	2646:21232:1744:354
through	4678:21232:1969:354
sexual	6976:21245:1620:275
contact	8904:21271:1867:249
blood	2646:21665:1374:288
transfusions.	4226:21665:3282:302
locklear	3159:22111:2298:288 8494:26957:2277:262
evening	8412:22558:2010:354
after	10751:22558:1251:288
being	2626:22978:1395:354
taken	4185:22978:1415:288
by	9438:22991:615:367
friends	10177:23004:1805:288
feared	3816:23425:1661:288
for	5642:23438:718:288
her	6524:23438:841:275 3406:23858:841:288 5991:25631:841:275
health,	7530:23438:1723:341
lawyer,	4616:23858:1908:354
john	6504:26510:1190:275 6935:23871:1210:275
r.	8535:23884:512:275
williams.	9458:23871:2441:302
williams	2544:24291:2298:288
place	9397:24764:1374:354
she	11161:24777:841:288
wanted	2605:25184:1887:288
die	5601:25184:759:288
because	6709:25197:2031:288
way	10936:25289:1066:275
they	2626:25617:1087:354
treated	3939:25631:1846:275
there"	7058:25631:1620:288
year.	10033:25722:1313:275
director	7899:26077:2154:288
immunology	11120:26090:595:275 2605:26497:2544:354
dr.	5416:26510:779:275
dwyer	7981:26523:1703:341
publicly	9930:26510:2051:367
march	5191:26957:1682:262
had	11059:26970:943:249
king	13398:24856:2400:643
for	16065:24830:1723:669
a	18179:24987:574:367
day	19184:24803:1744:643
local	13295:26103:1415:275
34	14978:26129:471:249
and	15696:26103:902:288
35	16845:26143:492:249
sponsored	17584:26129:2564:341
a	23534:27521:287:223 20395:26208:246:196
noon	20908:26221:1169:210
rally	22323:26143:1169:354
outside	23739:26143:1826:288
woodbridge	25811:26143:1231:288 13316:26523:1661:367
hall	15162:26550:1046:275
tuesday,	16394:26550:2298:354
honoring	18917:26563:2256:367
the	21359:26576:759:288 22405:27022:759:275
late	22323:26576:923:288
reverend	23472:26576:2462:288
martin	26119:26589:923:288 13295:26970:656:288
luther	14260:26983:1744:275
king,	16311:26996:1354:341
jr.	17973:27009:697:275
january	18999:27022:2154:341
15,	21482:27035:595:315
anniversary	23472:27022:3098:354
of	26878:27022:471:288
king's	13295:27416:1641:341
birth,	15142:27416:1395:341
is	16763:27429:389:275
officially	17358:27429:2277:354
recognized	19861:27456:2749:341
as	22795:27521:553:210
legal	24026:27456:1231:341
holiday	25442:27456:1887:354
in	28253:26064:430:262
connecticut.	28889:26064:3159:275
the	33342:26944:759:275 32295:26064:943:275 41467:26957:779:288
rally	33444:26064:1190:354
was	34839:26143:943:210
held	35988:26077:1087:275
to	41795:26103:430:262 37260:26103:430:262
call	37897:26077:902:288
for	39025:26090:697:275
an	39928:26169:595:196
end	40708:26077:882:288
minority	28232:26497:2195:354
discrimination	30982:26497:3754:288
at	35250:26523:492:275
yale.	36235:26510:1313:288
policemen	38102:26523:2687:275
arid	41303:26510:923:288
reporters	28232:26957:2380:328
covering	30879:26944:2195:354
event	34326:26970:1395:262
nearly	35968:26957:1600:354
outnumbered	37814:26957:3406:275
approximately	28232:27377:3775:354
20	32213:27390:492:262
participants.	32931:27377:3262:367
ydn-gary	38389:24711:2010:196
glasser	40523:24711:1456:183
ydn-gary	38389:24711:2010:196
glasser	40523:24711:1456:183
scholarly	2728:28559:7796:1063
work	11018:28546:4308:879
creates	15840:28559:5601:853
controversy,	21995:28532:10238:958
historians	2749:29898:7920:906
battle	11182:29872:4596:919
over	16332:30095:3508:643
book's	20312:29780:5539:932
validity	26365:29767:5970:1063
by	3118:31290:677:315
peter	4021:31224:2072:328
schmeisser	6299:31290:3816:275
a	3652:31710:369:275 12228:41899:287:210 5560:36621:266:196 9540:34874:266:196
two-year	4165:31736:2277:328
debate	5067:45786:1703:288 6606:31710:1723:288
among	8494:31789:1723:288
scholars	10382:31736:2133:275
recently	3098:32143:2133:354
emerged	5519:32156:2256:354
from	8063:32170:1210:275
the	5580:39194:800:275 8494:32603:902:275 5150:40941:779:288 9561:32170:779:275 3631:44473:964:275 4103:45799:779:275 3631:43593:964:275
halls	10607:32170:1210:288
of	8986:41821:471:288 8227:33916:492:275 12064:32170:471:288 12044:39194:451:288 4780:39181:471:288 12003:34783:492:288 10094:42267:471:288 9438:38761:471:275
academia	3118:32577:2934:302
into	6709:32603:1128:275
national	6935:46232:2051:275 10012:32603:2503:288
limelight,	3118:33023:2482:354
with	5868:33036:1087:275
professors	7201:33036:2667:341
at	10094:33049:492:275
prominent	3118:33483:1107:262 10813:33036:1436:354
universities,	4390:33469:3180:341
including	7735:33469:2380:367
yale,	10279:33469:1313:354
accusing	3098:33903:1682:367 11777:33548:512:210
each	5109:33903:1149:288
other	6586:33916:1354:275
fraud,	9007:33903:1559:354
distortion	10874:33916:1415:288 3098:34336:943:288
and	7796:42713:923:275 6032:38302:943:275 7222:39628:923:275 4226:34336:964:288 7345:35662:943:275 8904:42267:943:288 11592:44893:902:288 5704:41821:964:288
scholarlyvigilantism.	5375:34336:5663:367
for	3611:34769:943:288
over	6935:45865:1128:210 4903:34848:1128:223
two	6381:34796:902:275
years,	7612:34861:1559:275
group	10177:34848:1497:288
historians	3118:35216:2564:288
led	5909:35216:779:288
by	3098:37409:656:367 6914:35216:595:354
davenport	7755:35242:2687:354
master	10669:35242:1846:288
henry	3139:35675:1579:341
turner	6914:41834:1826:262 5129:35675:1805:262 3652:38315:1826:262
berkeley	8699:35675:2318:354
professor	11408:35689:820:275 3118:36096:1559:288
gerald	4903:36096:1764:288
d:	6914:36109:553:275
feldman,	7714:36109:2441:328
have	10402:36109:1231:288 3098:44919:1231:275
attacked	3118:36529:1867:302 11838:36135:451:262
book	6401:36542:1272:288 11326:45786:1169:288
on	8227:36634:615:196
germany's	9417:36555:3098:354
weimer	3098:36989:2072:275
republic,	5416:36989:2421:341
published	8104:36989:2462:354
in	12044:46232:451:275 3652:41387:574:275 10792:37002:451:275
1981	11531:37015:964:262
an	4226:37501:615:196
untenured	5355:37422:2605:275
princeton	5109:43593:2503:275 8474:37435:2503:275
professor.	3098:37855:1723:288 11490:37514:759:262
feldman	7509:38315:2359:275 3118:41807:2339:302
accused	10135:41387:2400:275 10402:38315:2092:288
david	3139:38748:1518:275
abraham,	4842:38748:2564:328
author	7612:38761:1661:275
"the	10115:38761:1231:275
collapse	11531:38761:738:288 3118:39181:1333:354
weimar	6709:39194:2031:275
republic"	9089:39194:2605:354
distorting	3118:39628:2503:341
facts	5806:39628:1210:275
using	8289:39628:1374:367
fabricated	9848:39628:2646:288
documents	3098:40074:2872:275
to	6524:40087:451:262
accommodate	7509:40074:3734:288
his	11756:40074:738:302
thesis	3098:40508:1497:288
—	4821:40665:492:26
that	5519:40508:984:288
german	6770:40521:2092:275
industrialists	9110:40508:3385:288
backed	3118:40941:1846:288
nazi	6175:40941:1107:288
party.	7509:40967:1518:328
turn,	4801:41400:1436:315
abraham	6832:41308:2708:354
"leading	9766:41821:2195:354
charge"	3118:42267:2113:341
against	5519:42267:1867:341
him	7653:42267:984:275
"questioning	3098:42713:1805:341 10874:42267:1374:367
character	5088:42713:2523:275
intent	8945:42713:1456:288
without	10607:42713:1887:288
evidence."	3098:43134:2810:302
history	8145:43593:1887:354
department	3098:44053:1333:262 10546:43606:1703:341
fully	4637:44027:1169:354
supports	6011:44053:2174:328
abraham.	8412:44027:2605:288
controversy	4924:44486:3057:341
normally	8309:44473:2359:354
would	11018:44460:1477:302
caused	4780:44919:1785:275
embarrassment	7017:44919:4103:275
discredit	3098:45353:2256:288
within	5765:45353:1579:275
academic	7735:45353:2482:288
circles,	10628:45353:1867:315
but	3098:45786:820:288
abraham's	8268:45799:2852:275
has	3098:46232:882:275
received	4329:46232:2215:275
attention	9356:46232:2298:275
the	13070:31250:882:288 15819:35649:800:288 14424:34336:779:275 19020:36962:779:275 16927:31723:923:236 13111:43987:779:288 19328:41361:779:275 21687:42228:779:275 14773:44867:779:275 17091:45313:841:262 13870:40494:779:275 15368:33456:779:262 13070:33010:779:275 19738:45694:800:328 15922:36529:964:275 18507:38722:779:275 13583:32130:1005:275
new	18076:31736:1087:236 14547:31290:1231:236 13131:42700:1107:249
york	16414:31277:1354:249 14506:42687:1210:262
times,	18404:31290:1928:275 15983:42687:1682:288
time	20990:31290:1436:236
magazine	13070:31697:2482:341
and	16352:41781:943:288 15675:32577:923:262 13849:43554:943:288 19246:38275:923:275 19225:37829:923:288 15778:31684:902:288 17850:36949:943:288
republic.	19410:31723:2400:315
wide	15142:32130:1251:275
publicity	16968:32130:2400:354
gjven	19923:32143:1477:341
to	22036:46206:451:249 21031:42241:471:275 17584:39194:451:236 19266:37422:451:262 21954:32170:471:249 15265:37435:451:249
abraham	13070:32563:2400:288 18630:39155:2482:275 18261:40035:2380:275
his	16804:32577:677:262 15101:34769:697:275
critics	20866:45747:1600:275 17707:32577:1620:275
stems	19512:32590:1477:262
from	21195:32563:1210:275
book's	14198:33010:1579:275
controversial	16147:33010:3385:275
thesis,	19902:33010:1620:315
as	19410:34835:533:210 14444:33522:553:196 21892:33089:533:196 18404:43186:533:196
well	13070:33443:1005:288
favorable	16517:33443:2462:288
reception	19328:33456:2400:341
it	22118:33456:328:262 17809:41794:328:275
received	13070:33890:2195:275
published.	17030:33877:2585:367
in	14403:34769:471:275 22015:41361:451:275 14116:44880:430:262 13090:40928:451:275 13624:34336:471:262
winter	15552:34336:1641:262
of	17543:34336:451:275 19738:35649:471:288
1979,	18363:34349:1128:302
abraham,	19861:34323:2564:328
then	13070:34769:1107:288
second	16024:34769:1764:275
year	18014:34848:1149:262
assistant	20169:34769:2298:275
professor,	13070:35203:2564:367
submitted	15942:35216:2564:275
a	18835:35282:266:196
dissertation	19410:35203:3036:288
written	13131:44906:759:249 21277:44420:984:315 13070:35649:1846:288
at	15121:35662:512:275
university	16804:35649:2728:354 20538:36082:1661:288 13070:36529:923:354
chicago	20415:35649:2051:341
for	18035:40481:738:275 13070:36096:718:275 21728:39155:738:275
publication	13972:36082:2872:367
by	17030:36082:595:354 15655:38275:595:354
princeton	13624:41361:2503:275 17809:36082:2523:288
press.	14157:36529:1600:275
piece	17030:36529:1354:354
focused	18507:36516:1949:288
on	20600:36595:574:210 13111:44512:574:196
german	13070:37054:1128:196 21338:36516:861:288
big	14444:36962:759:354
business	15450:36962:2174:275
economic	20005:36962:2462:275
reasons	13070:37487:1969:210
hitler's	15942:37409:1928:275
rise	18076:37409:984:275
power.	19923:37474:1703:275
after	13603:37842:1333:288 19717:39601:1292:275
two,	15388:37868:1046:315
careful	16927:37842:1805:275
critical	20600:37829:1867:288
readings	13070:38275:2236:354
feldman	16578:38275:2318:275
another	20497:38275:1969:288
respected	13070:38722:2482:354
historian,	15798:38722:2441:328
manuscript	14875:40494:2954:341 19512:38722:2954:341
was	13131:46272:964:210 13070:39247:1005:196
returned	14670:39168:2339:288
"substantial	13111:39601:3139:275
changes."	16681:39601:2585:341
considerable	13070:40048:2400:275 21420:39680:800:196
revision,	15757:40048:2174:315
retuned	20928:40061:1292:249 13070:40481:595:275
consideration	18979:40481:3488:275
early	13747:40928:1354:341
1980.	15347:40941:1107:262
published	16517:41348:2441:354
book	14178:43987:1149:288 20456:41322:1210:315 21318:43987:1149:288
june	13111:41807:1231:262
1981	14875:41807:964:262
met	18651:41807:984:262
with	15224:45313:1251:262 20107:41794:1128:275
enthusiastic	13111:42228:2482:288 21728:41873:512:196
reviews.	15819:42241:2133:262
according	18179:42228:2646:354
scholars	17912:42674:2133:275
acclaimed	20251:42661:1949:288 13111:43107:574:288
abraham's	13870:43107:2872:275
work	16948:43107:1272:275
"distinguish	19184:43107:3118:354
1	22344:43107:143:183
ed	13111:43554:574:275
effective."	14978:43554:2728:302
one	17932:43554:964:288
reader	19061:43541:1723:288
called	20949:43541:1538:288
"the	15634:43987:1107:288
most	16989:44013:1231:262
important	18486:44000:2564:341
twentieth	13890:44420:2400:288
century	16476:44460:1969:315
germany	18651:44434:2421:341
last	15778:44867:902:275
15	16927:44906:471:236
years."	17584:44867:1928:354
but	13644:45326:1005:262
praise	18548:45313:1826:341
came	20969:45366:1518:210
criticism.	13131:45760:2441:288
chief	15983:45747:1333:275
among	17666:45799:1723:288
turner,	14608:46206:1949:315
who	17091:46193:1005:275
is	18609:46193:369:275
opposed	19492:46167:2051:354
abraham's	25011:43514:2852:288 22959:40429:2831:288 25545:52286:2852:275 27063:41335:3139:288 29525:39142:2831:275 23000:31237:2872:288 29587:54045:2831:275 23801:34743:2852:328
"marxist	26160:31250:2339:262
interpretation	28766:31237:3590:354
of	31885:40009:512:288 26119:41781:471:275 23041:44854:533:288 23062:50132:492:275 22980:31684:492:275 32028:62790:430:275 31967:59297:471:275 30900:59731:471:288 23062:46167:451:288 28253:56671:471:288 27186:33877:471:275 31905:36490:492:302 30428:51419:533:262 23041:44000:471:288 31987:57105:451:275
the	23636:58050:943:275 29176:57105:759:288 29648:45720:779:275 23616:55818:1046:275 31659:59731:759:275 26878:41781:759:275 27083:59337:759:262 28397:35623:759:275 23082:59783:779:288 30572:32117:759:275 29628:49673:759:262 30469:52719:759:275 23739:33430:800:275 25073:42661:800:275 23862:31671:800:288 31556:51432:841:262 24396:33877:779:275 31556:55805:861:262
period,"	25052:31671:2113:354
and	27596:31671:902:275 23021:33863:902:288 26017:45287:902:275 29299:34743:943:288 25586:54045:902:275
claimed	28910:31671:2051:288
that	24334:52312:984:262 28376:38262:984:288 25565:42228:1025:262 31249:36056:1107:288 31351:31684:1005:275 25811:60203:1005:275 31413:45287:984:275 28499:49226:984:275
abraham	23000:32117:2421:275
was	26386:48859:984:196 27289:61162:984:196 30510:52364:943:183 25688:32196:1005:196
"trotting	27001:32130:2215:328
out	29525:32143:759:262
old	31597:32117:759:275
marxist	23000:32511:2010:328
standards"	25442:32524:2893:315
in	23636:51445:533:262 29176:61950:430:275 31064:47033:492:275 28786:32524:451:302 31454:50552:451:262 23575:39155:492:262
explaining	29648:32537:2708:367
his	26694:47033:800:275 28889:62830:697:262 31803:54912:697:262 29792:49226:718:275 23041:42228:697:275 23021:32997:677:275
thesis.	24006:32997:1620:275
turner,	25914:33010:1949:315
who's	28171:32997:1436:275
own	29894:33076:1005:210
book	31187:32997:1169:275
on	25175:54610:574:196 23000:33522:574:196
period	24683:33430:1620:354
"german	26509:33443:2400:262
big	29094:33443:861:341
business	30120:33443:2236:262
rise	25647:33877:1107:275
hitler"	28130:33877:1805:275
will	30428:33877:902:262
be	30654:50539:574:275 31782:33863:574:275
published	23021:34310:2462:354 23082:50986:2462:354
this	25688:34310:902:275 29361:36503:923:275
month,	26817:34323:1764:302
also	31454:57971:984:288 28848:34310:984:275
questioned	30059:34310:2072:354 23000:34743:595:288
research	26878:34756:2215:275
attributions.	23041:35190:1333:275 30428:34743:1723:288
a	32110:47099:266:210 23082:57682:266:210 32131:50631:266:196 32131:48859:266:196 29115:40100:287:196 30202:53231:246:196 23739:40954:287:196 23575:35636:348:262 29607:43606:266:196 30346:44486:287:210 29853:62015:266:196 28458:43173:266:196
short	24108:35623:1313:275
time	25606:35636:1149:262
after	26940:35623:1231:275
publication,	29320:35623:3036:354
turner	25565:53612:1846:315 23021:36069:1990:275 24375:38709:1785:275 26981:60203:1785:262 23062:45747:1805:262 23554:43107:1826:275 27658:39588:1805:275
said	25586:36056:1128:288
he	27309:36069:615:262 31844:48346:574:275
worried	23103:52299:984:275 31331:51944:820:183 28479:36056:2215:288
historians	23062:45287:2523:288 23062:60217:2564:288 23021:36503:2544:288 25565:40022:2975:275
"waiting	25893:36516:2195:341
for	28397:36503:677:275 27966:53599:738:288
kind	30551:36503:1107:275
'proof'"	23062:36949:1969:354
were	25832:59849:1231:183 25504:37015:1251:210 26632:37895:1272:210
treating	27207:36949:2051:341
abrahams	29689:36936:2687:288
findings	23041:37382:2441:354
as	31105:48780:636:275 28951:54570:553:210 26140:37461:615:196
historical	23062:47480:2421:288 27391:37382:2934:288 23760:50119:2400:275
fact.	31002:37382:1354:288
"historians	23062:37816:3057:288
arguing	28397:37816:2031:367
about	30941:37816:1436:288
these	23041:38262:1313:288
things,	24601:38262:1703:354
things	26591:38262:1538:354
did	29607:38262:779:288
not	30633:38288:759:262
exist,"	31639:38328:512:210 23041:38695:1107:341
said.	26345:38695:1190:288 31249:62357:1169:275
an	24252:39221:615:196
attempt	25052:39155:2010:341
to	24991:59350:451:262 30018:61083:451:249 27432:57144:451:249 23082:50579:451:262 27268:39168:451:249 24560:62002:471:249 28725:59770:430:262
prove	27925:39221:1415:262
scholarly	23021:39588:2380:341
fraud,	25770:39575:1518:341
circulated	29792:39575:2605:275
among	23041:40074:1928:288
copy	29977:40100:1333:262
page	26181:54570:1210:302 26037:40508:1231:288
320	27514:40494:759:249 27822:54531:738:249
which	28499:40481:1477:275 23082:57157:1518:275
contained	22939:40862:574:288 30243:40494:1805:275
letter	24170:59783:1395:275 31023:43081:1374:288 24252:40875:1395:288 31002:53152:1415:275 26058:44420:1374:288 25278:55805:1620:275
between	25893:40888:2072:288
two	28212:40928:882:262
german	26755:42228:2092:262 29320:40915:2113:288
industrialists.	31680:40928:410:275 23041:41348:3467:288
faulty	30715:41335:1661:354
translation	23041:41794:2810:275
letters	27514:46587:1620:288 27925:41781:1641:275
supported	29853:41768:2523:367
thesis	23924:42228:1477:275
industrialists	29033:42201:3364:288
backed	23041:42661:1846:288
fledgling	26078:42648:2236:354
nazi	28540:42648:1128:275
party.	29894:42674:1518:328
attached	25791:43094:2236:275
cover	29176:43160:1415:210
calling	23062:43541:1723:341
work	28109:43528:1251:275
"farrago	30161:43528:2215:341
misinformation."	23698:43987:4493:288
turner's	25196:61530:2215:288 25914:58457:2236:262 23554:44434:2236:288
triggered	27720:44420:2380:354
storm	30879:44420:1497:275
criticism	23103:54058:2277:288 24190:44854:2667:275
from	27514:44841:1354:275
princeton	28643:57998:2482:262 23103:51879:2503:262 23103:56264:2503:275 29484:44841:2913:275
others	27330:45287:1579:262
saying	29320:45287:1682:328
had	28951:60177:923:288 23062:49686:943:275 25052:45720:923:288
over	28253:49751:1107:196 26181:45799:1107:210
stepped	27494:45720:1969:341
bounds	30654:49660:1744:288 30633:45720:1764:275
professional	24047:46154:3098:367
courtesy	27699:46180:2174:328
by	29607:52706:595:354 30428:46154:574:354
circulating	31536:46154:656:275 23062:46600:2092:354
private	30551:53599:1887:354 25421:46600:1846:354
rather	29423:46587:1600:288
than	31290:46587:1107:288
publishing	23062:47047:3057:354
opinions	28068:47033:2421:354
journal.	25688:47467:2010:354
princeton's	23595:47913:3098:288
history	25791:51866:1887:328 27248:47900:1949:354
chairman	29751:47900:2667:288
robert	23103:48360:1744:288
pignor	25298:48360:1723:341
said,	27473:48333:1169:354
"i	29156:48346:492:275
think	30120:48333:1292:288
(abraham)	23144:48793:2852:288
persecuted.	27781:48780:2934:354
human	23062:49253:1785:275
being	25155:49239:1395:328 31680:52286:492:262 23103:52745:759:341
i	26858:49239:184:262
felt	27371:49226:800:275
critics	30797:49226:1620:275
blatantly	24252:49673:2318:341
gone	26817:49738:1190:275
ethics.	26406:50106:1641:275
if	28315:50106:389:275
you	28910:50185:882:262
are	29997:50185:841:196
going	31043:50106:1374:341
attack	23780:50552:1600:288
someone,	25627:50631:2359:236
it	28274:50552:307:262
should	28807:50539:1620:288
form."	25770:50986:1723:275
april,	24785:51419:1682:354
members	27145:51419:2687:262
department,	27863:51866:3241:328
career	28602:52351:1682:210 30120:57183:1682:210
irreparably	24149:52719:2954:354
scarred	27371:52719:1969:275
outside	31474:52732:738:262 23082:53179:1025:275
criticism,	24662:53165:2523:315
drafted	27740:53152:1908:275
chiding	23103:53612:1908:341
his-	29258:53599:943:275
dismissing	26673:54045:2749:341
errors	23185:54623:1579:223
"a	23657:61123:697:262 29956:54492:595:275
young	30982:54518:1497:302 26406:57630:1518:288
historian	28150:57551:2277:275 23185:54991:2277:302
intent	25893:54964:1477:275
upon	27802:55017:1190:275
making	29443:54925:1908:367
point."	23185:55424:1785:380
emphasized	27494:55805:3488:341
department's	25893:56238:3529:354
annoyance	29710:56304:2749:262
at	27843:58037:471:249 23082:56724:512:262
"the	23862:56698:1107:275
extremism	25216:56684:2769:275
your	28951:56750:1149:275
reaction	30346:56671:2092:275
threatens	24806:57131:2421:288
end	28068:57105:882:288
promising	23595:57590:2605:367
"	30654:57538:266:78
professors	24888:58024:2646:367
convinced	23082:58457:2585:302
dissertation	28397:58431:3016:288
advisor,	23082:58917:1436:302 31680:58418:512:288
stanford	24724:58890:2195:288
professor	27145:58890:2462:275
gordan	29792:58864:1887:275
a.	31905:58877:471:262
craig,	23082:59350:1579:341
sign	25750:59337:1025:341
letter.	28171:59337:1497:262
copies	30018:59297:1661:354
sent	27371:59783:1025:249
each	29423:59744:1190:275
previously	30079:60177:2113:354 23103:60663:410:354
notified.	23739:60637:2072:302
real	24519:61096:1005:288
effort	25688:61096:1436:275
made	28458:61057:1415:288
tarnish	30654:61044:1785:275
henry	23123:61569:1579:328
reputation.	27904:61503:2769:367
they	31187:61490:1272:341
tried	23123:61976:1210:302
humiliate	25278:61963:2441:288
him	27966:61963:964:275
most	30366:61963:1231:249
intolerable	31844:61924:410:275 23123:62423:2298:275
manner,"	25770:62396:2482:315
feldman	28622:62370:2277:288
craig	23123:62869:1415:315
later	24785:62856:1210:262
withdrew	26242:62830:2380:288
support	29853:62830:1887:315
ydn	17501:61792:902:157
pelrr	18630:61792:984:157
schmeisser	19820:61792:2154:183
controversy	4247:62751:3057:288 3098:62291:4431:288
—davenport	7591:62278:3221:315
master	11059:62265:1805:249
henry	13090:62252:1579:315
turner	14896:62239:1764:262
is	16886:62239:369:262
currently	17501:62252:2359:328
caught	20087:62265:1723:328
up	22036:62344:574:249
in	3098:62751:430:275
a	22344:63197:266:183 3754:62830:266:196
gaining	7550:62698:1908:341
national	9684:62685:2051:262
attention.	11962:62672:2441:275
turner,	14629:62672:1928:275
along	16783:62685:1395:328
with	18384:62685:1046:262
several	19656:62685:1846:262
colleagues,	3077:63210:2113:315 21708:62698:677:249
lias	5396:63171:882:262
challenged	6483:63132:2769:341
the	9458:63145:779:236
accuracy	10443:63184:2339:262
of	21687:63118:471:249 12987:63105:492:275
many	13665:63184:1395:249
attributions	15286:63105:2975:275
and	18466:63105:902:262
sources	19574:63184:1928:196
fellow	3098:63644:1518:262
historian.	4842:63604:2462:288
ydn	17501:61792:902:157
pelrr	18630:61792:984:157
schmeisser	19820:61792:2154:183
controversy	4247:62751:3057:288 3098:62291:4431:288
—davenport	7591:62278:3221:315
master	11059:62265:1805:249
henry	13090:62252:1579:315
turner	14896:62239:1764:262
is	16886:62239:369:262
currently	17501:62252:2359:328
caught	20087:62265:1723:328
up	22036:62344:574:249
in	3098:62751:430:275
a	22344:63197:266:183 3754:62830:266:196
gaining	7550:62698:1908:341
national	9684:62685:2051:262
attention.	11962:62672:2441:275
turner,	14629:62672:1928:275
along	16783:62685:1395:328
with	18384:62685:1046:262
several	19656:62685:1846:262
colleagues,	3077:63210:2113:315 21708:62698:677:249
lias	5396:63171:882:262
challenged	6483:63132:2769:341
the	9458:63145:779:236
accuracy	10443:63184:2339:262
of	21687:63118:471:249 12987:63105:492:275
many	13665:63184:1395:249
attributions	15286:63105:2975:275
and	18466:63105:902:262
sources	19574:63184:1928:196
fellow	3098:63644:1518:262
historian.	4842:63604:2462:288
brooks	33506:42385:6073:866
reads	40215:42320:4431:906
in	45304:42293:1497:892
honor	47581:42293:5067:866
of	33608:43646:1969:1142
king	36009:43672:4021:1116
at	40687:43764:1600:774
art	42841:43633:3036:879
gallery	46637:43580:6011:1089
by	33485:45313:636:249
jacob	34367:45313:1846:249
weisberg	36440:45287:3139:262
pulitzer	33998:45707:2031:275
prize	36194:45707:1333:262
winning	37691:45707:2092:341
poet	39948:45720:1046:315 34983:60978:1149:288 41631:50067:1149:262
gwendolyn	41179:45707:1272:262 33465:46127:1395:354
