am	8276:2836:6769:1689
stationery	43562:22282:2159:286
department	45879:22297:2428:226
south	41830:22599:1596:211
hadley	43652:22614:1911:211
falls,	45811:22629:1551:241
mass.	47588:22629:1349:226
sold	47633:24379:1641:437
at	49747:24470:719:362
«.ui-«m*c«	40189:26823:1664:120
mm	42078:26838:629:135
zia-	43292:26808:854:181
221	44304:26838:674:150
elm	45204:26838:787:181
st.	49859:56588:1124:301 46171:26853:494:165 46553:48472:877:286 46733:51172:674:271
rew-haven.cl	47093:26808:3171:241
"the	40346:29297:2878:1071
detroiters"	43630:29312:6769:1086
are	40458:31711:3216:1297
here!!	44687:31741:5464:1297
tomorrow	40548:34909:6364:890
nite	47430:34924:2451:875
rapp's	40279:36901:10052:1629
arcadia	42213:39149:6297:648
savin	42393:40672:2698:437
rock	45766:40672:2473:437
admission	43450:42392:3800:437
$1.00	41426:43237:2024:482
for	49702:45937:787:271 45091:62216:764:362 43877:43237:1034:422
gentlemen	45339:43237:3935:437
club	41673:45877:1236:301 42707:47702:2316:437
cafe	43472:45892:1214:286 45631:47718:2293:422
is	45271:45922:382:256
now	46193:46013:1101:165
open	47858:46028:1304:226
business	40099:46254:2226:301
under	42955:46269:1529:286
new	45159:46390:1079:165
management.	46868:46284:3598:362
we	40099:46662:877:256
specialize	41381:46662:2563:346
in	44327:46677:472:256 47205:52228:472:271
steaks,	45204:46677:1844:316
chops	47498:46677:1664:346
home	40099:47039:1596:286
made	42078:47039:1394:286
pastry.	43832:47039:1866:346
274	43135:48487:1012:271
park	44462:48472:1754:286
breakfasts	39761:49588:4048:301
light	45609:49618:1934:286
lunches	47948:49618:2878:301
—at	43742:50056:1214:226
the—	45271:50011:1551:271
college	41718:50463:4048:452 44417:51142:2001:362
shop	46418:50478:2338:437
103	43067:51157:989:271
try	41021:51700:1236:301
our	42550:51715:1326:286
soda	44147:51715:1754:286
fountain	46171:51746:3283:271
best	42280:52183:1101:301
milk	43630:52198:1191:286
shakes	45069:52198:1866:301
town	47970:52228:1529:271
van	39379:53541:2856:678
dyck	42707:53541:3733:829
&	46936:53571:1326:678
co*	48735:53571:2181:693
incorporated	43067:54582:4273:211
printers	42370:55261:5420:528
grand	39379:56468:3193:362
aye.	42865:56483:1956:346
cor.	45136:56543:1799:316
olive	47273:56573:2271:301
church	40728:59937:2698:377
crown	45564:59983:2361:362
sts.	48375:59983:1281:362
place	43585:60994:2159:512
to	46193:61099:652:422
dine	47295:61024:1844:497
an	39267:62170:742:362
landmark	41808:62170:2856:392
vale	46283:62231:1169:346
men.	47903:62231:1304:362
full	50039:62246:989:346
cheer.	41875:62759:1709:392
cozy	44304:62789:1349:437
comfy.	47385:62819:1956:437
phil.	44102:63815:1686:346
ritter,	46171:63830:2541:437
mgr.	49117:63845:1259:437
far	27100:50373:1686:392
east	29326:50373:2226:422
restaurant	32070:50358:6004:437 26740:54974:4273:286
luncheon	27122:51006:2226:226
11-2	29753:51052:944:196
**«	37287:51052:719:181
regular	27100:51308:1821:271
supper	29304:51308:1619:256
5-8	31328:51338:719:196
*sr	37265:51338:742:196
special	27122:51610:1574:226
sunday	29079:51595:1731:271
dinner	31193:51610:1551:211
$1.00	36815:51610:1236:256
served	28741:51987:1551:226
from	30653:51987:1034:226
12	32115:52017:427:211
m.	35803:51987:539:241 32879:51987:539:241
to	33757:52032:427:196
3	34499:52002:247:226
p.	35038:51987:427:241
dancing	29304:52274:1911:271
nightly	31620:52289:1709:256
—	33667:52409:494:45
10-12	34566:52319:1214:196
100	27437:52696:719:181
per	28471:52666:764:226
cent	29551:52651:1012:256
rating	30923:52666:1551:256
by	32812:52666:539:256
board	33689:52666:1371:241
of	35398:52681:449:226
health	36185:52681:1529:226
george	27459:54009:3890:799
&	31867:54024:1034:633
harry's	33442:54039:4048:784
and	31305:56045:1349:271 29731:62578:877:286 31395:54989:967:271
soda	32767:54989:1709:271
fountain	34904:54989:3216:286
90	28269:55472:674:256
wall	29259:55457:1236:271
st.,	30833:55472:832:331
opp.	32047:55472:1281:346
van	33667:55472:1101:271
sheff.	35106:55487:1529:271
save	26560:56015:1641:286
money	28629:56030:2248:286
buy	33082:56045:1236:271
a	34746:56060:449:256
coupon	35646:56060:2631:271
book—sio	29304:56422:3553:316
for	35263:62623:742:346 33239:56437:1236:271
$9	34881:56422:629:331
rub	26830:57493:1057:316
your	28382:57524:1349:301
hair	30271:57554:1191:271
down	31980:57569:1506:286
with	34026:57569:1304:301
x*t\	36028:57659:1889:362
oleaqua.	26785:57901:2383:346
nothing	29911:57931:2136:377
like	32407:57961:1146:286
it	33914:57961:359:286
on	34634:58082:652:165
/f	35736:57840:652:497
\	37580:57840:472:407
the	26807:58308:787:271
market.	27887:58308:2046:301
sold	30608:58323:1124:316
at:	32025:58429:697:211
fj&gt;	35398:58384:877:392
-j	37512:58233:584:407
vale	27819:58881:1664:316
co-op.	29866:58912:2136:316
corp.	32407:58927:1821:301
y)	37242:58715:809:603
frappier's	26695:59259:3553:331
barber	29753:59696:2428:301 30675:59319:2428:301
shop	33554:59334:1664:301 32542:59726:1641:271
w—3	35826:59274:2248:392
taft	27752:59681:1686:286
,„&gt;&lt;!j	35938:59651:2226:437
york-elm	27324:60058:3261:316
pharmacy	30923:60103:3598:286
\&gt;&j	35646:60073:1236:407
~	27887:60918:494:45
basket	28651:61144:3665:437 27392:61989:1664:286
wlave~	32745:60978:3913:633
weave	29528:61989:1709:316
shirts	31643:62019:1574:301
that	33644:62065:922:256
defy	34993:62034:1057:362
age.	36478:62155:967:241
washing	27392:62562:2046:346
wearing	30900:62593:2024:346
is	33262:62593:359:301
here	33914:62608:1057:286
shirt	36275:62638:1169:271
wardrobe	27414:63151:2338:286
replenishment.	30136:63151:3688:346
lancrock	30158:63996:4273:392
classified	53345:9519:3575:301
advertisements	57326:9549:5667:301
it	52266:11028:382:301
will	53030:11028:922:301 54177:22720:899:286
pay	54335:11148:854:256
you	55549:11148:899:256
to	52963:34472:854:346 59035:31651:472:226 55302:23926:449:241 52221:19627:877:286 61486:25510:472:226 57866:49332:517:226 63510:23217:472:241 56831:11103:472:241 62498:21663:494:241
see	57663:11148:742:211
us	58765:11163:517:196
on	59642:11163:629:211
your	60609:11178:1146:256
mimeographing—also	52221:11420:3823:346 62139:11088:1574:301
typewriting	56786:11450:2923:362
service.	54447:15161:1844:286 60294:11465:1844:301 52243:15508:742:316 62746:15297:1012:196
the	53480:23097:742:301 52221:21558:742:286 56629:20819:742:286 53660:19642:1394:271 56988:34487:989:377 54762:24651:742:286 63038:11480:967:286
letter	52266:11797:1529:286
shop,	54132:11812:1371:346
129	55886:11827:787:286
church	54874:27607:2788:286 56988:11827:1844:301
st.	59170:11827:652:316 55347:13064:652:286 61396:13954:629:286
tel.	60159:11842:967:301
col.	61486:11857:967:286
8800.	62768:11857:1214:301
susan	52221:12265:1484:301
c.	54470:12295:494:286
bradley,	55459:12295:2091:362
public	58068:12325:1596:286 56898:16021:1596:301
stenographer,	60429:12325:3553:362 58788:16036:3575:362
typing,	52243:12657:1934:362
multigraphing,	54537:12672:3823:377
etc.	58675:12747:832:241
notary	59867:12702:1776:362
507-510,	62004:12702:1979:362
902	57101:31183:809:286 52221:13049:832:271
chapel	59372:13939:1686:362 58270:31183:1754:346 54964:46978:1889:346 53323:13049:1686:362
(malley	56381:13064:2024:362
bldg.)	58698:13079:1574:346
l.	60654:13079:472:301 63488:25465:494:286
4477-5394.	61419:13079:2586:316
j.	52940:13532:404:346 52198:13532:382:331
derwin,	53750:13532:2024:346
teacher	56156:13547:2046:301
of	56111:54748:472:301 54919:52907:494:301 57416:23127:472:271 54042:27985:832:301 58563:13562:494:286 58518:57297:494:286 57978:27623:832:286
banjo,	59440:13562:1619:346
mandolin,	61464:13577:2518:346
guitar	52221:13909:1641:286
and	59260:15176:877:301 57168:46993:989:286 56943:42332:1326:452 54897:28407:854:286 60294:21995:899:286 55774:33974:1191:362 54132:13909:877:301 54672:18239:877:271 63128:14814:854:301 57078:24288:877:271 55257:16791:877:286 63128:20864:877:286 56156:14316:877:286 54919:28799:877:286 61959:22403:877:271 52176:25405:899:286
ukelele.	55302:13909:2046:316
1044	57978:13939:1079:286
mondays.	52221:14286:1236:346 62656:13954:1012:286
fridays	53840:14286:1956:362
saturdays.	57416:14316:2653:346
pioneer	60497:14316:1934:316
4705.	62768:14332:1236:301
typewriting,	52243:14769:3261:362
mimeographing,	59935:16383:4070:407 55796:14784:4093:362
addressing	60159:14814:2698:346 52198:16775:2698:362
mailing	52221:15146:1866:346
prompt	56988:15161:1911:362
efficient	60474:15191:1934:301
whitlock's	53705:15538:2766:286
book	56921:15554:1304:286
store,	58653:15569:1484:316
inc.	60609:15569:899:286
olga	52221:15991:1214:362
y.	53727:16006:584:301
shields,	54627:16006:1934:362
manuscripts	62701:16066:989:301 52221:16383:1956:346
accurately	54672:16398:2608:362
typed;	57776:16383:1776:407
mailing,	56516:16791:2001:362
60	58900:16806:539:286
grove	59822:16806:1529:301
st.,	61756:16821:787:331
colony	62948:16821:809:301 52221:17243:877:256
6819.	53435:17153:1236:301
for	57416:18616:742:286 60969:18631:922:286 52221:17816:922:286 56066:21573:719:286
sale—rollins	53435:17816:3485:316
coupe,	57258:17832:1664:362
1925	59282:17847:1034:301
model.	60677:17862:1686:286
fully	62701:17877:1304:346
equipped	52198:18194:2159:362
excellent	55886:18239:2226:286
condition	58405:18239:2338:286
throughout.	61059:18254:2923:346
sickness	52221:18571:2136:316
is	54717:18601:359:286 60834:19672:562:301
reason	55437:18707:1619:196
selling.	58518:18616:1754:362
further	62251:18646:1754:286
information,	52198:18978:3103:346
call	55662:18993:854:271
liberty	56876:18993:1866:346
6627-3.	59080:18993:1731:316
senior	55594:19642:2496:301
who	58360:24288:1034:286 55909:23504:1012:286 52198:24243:1034:286 58653:19657:1619:316
planning	62004:19687:1619:301 53727:20019:1686:301
a	58225:23232:247:165 55796:20049:404:271 54919:37474:629:422 52176:23564:269:181
thrilling	56629:20049:3733:301
life!	60767:20064:1731:301
well	52783:20396:1214:301 62948:25088:1034:286
established	54447:20411:2743:316
book-publisher	57663:20441:3755:346
(of	61959:20457:742:316
low	63128:20457:877:286
priced	52198:20773:1529:346
books	56044:25028:1416:286 54065:20788:1416:286
in	57348:50222:427:286 58360:23504:427:301 55841:20804:449:286 53660:21950:427:286 63533:24696:427:286 53862:24635:449:271 63600:21241:404:286
progressive,	57686:20819:3036:346
liberal,	61082:20834:1709:346
adult-education	52198:21166:3913:316
field)	56471:21196:1304:362
offers	52221:23082:899:301 58225:21211:1416:286 63308:22780:449:286
half	58158:50222:1169:286 60025:21226:967:271
interest	61351:21226:1866:301
business	53480:21573:2069:286
additional	57303:21588:2496:301
capital	60339:21603:1641:362
be	61644:24319:539:271 63488:21618:517:301 55482:22735:517:286
used	52198:21950:1101:286
publishing	54447:21950:2586:362
new	59350:25812:1169:301 57393:22071:1012:196 55167:28000:1484:286 54739:47657:1394:286
titles	58743:21980:1214:301
extending	61531:21995:2473:362
distribution.	52198:22312:3058:301
full	56021:22342:1012:301
details,	57483:22357:1731:362
records	59687:22388:1821:271
accounts	63263:22478:494:196 52198:22750:1596:241
frankly	56404:22735:1821:362
presented.	58585:22765:2518:331
this	61756:22765:1146:301
beginning	54582:23112:2451:362
satisfying	58833:23142:2428:346
career	61621:23248:1551:196
young	52715:23564:1551:256
man	54560:23579:1034:196
has	57236:23504:787:301
hand,	59102:23519:1304:346
or	57686:50720:517:165 60767:23640:494:181 56381:63468:517:181
can	61576:23640:809:181
draw	62723:23549:1259:286
upon	52198:23957:1191:256
fifty	53817:23866:1012:362
seventy-five	56179:23896:2991:331
thousand	59597:23911:2271:301
dollars	62273:23926:1709:301
likes	53615:24243:1124:301
books,	55122:24258:1551:346
would	59777:24304:1506:286
interested	52176:24635:1236:271 62611:24304:1146:301
various	55931:24651:1844:301
problems	58248:24666:2271:346
involved	60969:24681:2114:301
getting	52176:24998:1776:362
good	54402:25028:1191:346
written,	57933:25058:1956:346
designed	60317:25073:2181:346
distributed	53480:25405:2698:301
widely.	56629:25420:1754:362
answer	59125:25435:1934:301
m.	53840:29192:674:286 58293:28814:674:286 53930:28799:697:286 62386:25465:629:286 60114:49287:629:286
ernst,	52198:25767:1529:362
285	54042:25782:809:301
madison	55212:25797:2159:301
aye.,	57708:25812:1281:346
york	60857:25827:1304:301
city.	62498:25842:1191:346
christian	53300:27004:4992:467
science	58990:27049:3868:452
first	52760:27577:1821:316
christ,	59125:27623:2473:362
scientist,	52198:27985:1506:346 61891:27653:1731:286
haven,	56539:47657:2383:346 56966:28015:2473:362
conn.,	59755:28045:2159:331
corner	62229:28060:1731:271
winthrop	52198:28392:2406:346
derby	56044:28407:1574:346
ayes.	57866:28422:1416:286
sunday	59417:28814:1799:362 52963:48396:3688:437 55774:40567:2428:437 59890:28437:1799:346
services	62004:28437:1979:301
11	52221:28784:472:286 52198:29192:472:286
a.	53053:28799:562:271 52940:29192:607:286
7:30	56089:28814:1079:286
p.	57483:28814:472:286 59282:49287:494:271
school	61554:28845:1619:301
ai	63533:28950:404:181
subject:	52850:29584:2203:346
substance.	55459:29599:2833:301
golden	52805:29976:1866:286
text:	55032:29976:1394:286
proverbs	56786:29976:2383:316
3:9.	59530:30006:989:286
wednesday	52693:30353:2901:362
evening	56044:30383:1934:346
testimonial	58405:30398:2833:286
meeting*	61734:30414:2203:331
at	52131:30821:449:211
8	58675:49302:314:256 52963:30745:269:301
o'clock.	53592:30761:1866:301
reading	52693:31153:2024:362
room,	55099:31168:1641:346
street,	60407:31198:1664:346
room	62453:31213:1416:286
804,	52086:31545:967:346
open	53435:31651:1146:241
week	54964:31575:1281:286
days	56651:31575:1079:346
10	58158:31590:472:286
5;	59890:31590:472:346
wednesday!	60767:31605:3103:346
until	52108:31952:1124:271
7.	53637:31967:359:271
all	54627:31967:809:271
are	55819:32058:787:196
welcome.	56921:31983:2361:286
"lunch	52940:33944:2428:377
dinner	57168:48412:3305:437 57326:33974:2361:362
specials	60047:33989:2676:407
delight	54222:34487:2428:422
sophisticated"	58315:34487:4745:422
fitzsimmon's	54312:35392:7196:663
restaurant	54919:36342:6139:678
promising	55909:37474:5150:452
favorite	55662:38228:4610:452
—with—	56898:39103:2248:286
filet	55077:39767:1574:377 54582:54733:1191:316
mignon,	56988:39767:2698:452
90c	60025:39782:1034:362
special	52985:40567:2316:422
dinner,	58608:40567:2541:452
$1.50	61014:48412:2046:512 61576:40582:1551:392
dancing	53413:41472:3058:301
saturday	56786:41472:3553:316
night	60632:41487:2114:301
crown	53233:42317:3440:452
gregson	58563:42347:4318:452
hotel	52963:45213:3778:1297
bishop	58270:45228:4857:1659
high	58518:46993:1281:346
sts.	60137:46993:899:286
conn.	59350:47672:1911:286
from	55189:49287:1439:271
12	56966:49302:607:256
oysters	55032:50222:1934:331
shell	59687:50222:1259:301
fresh	55212:50991:1439:286
fruit	56988:50991:1304:301
cocktail	58653:50991:2046:316
green	53750:51368:1506:286
olives	55549:51368:1574:301
table	58788:51384:1439:301
celery	60497:51384:1641:362
soups	56876:52440:2114:301
bisque	52918:52892:1641:362
tomato	55774:52907:1956:316
with	58090:52922:1079:301 60767:56543:1101:286
rice	59552:52937:1101:286
consomme	57416:53405:2721:316
en	60542:53526:562:196
tasse	61509:53435:1461:286
fish	57146:54280:1529:301
fried	55729:60662:1349:301 59057:55155:1349:316 52918:54733:1326:301
sole	56921:54763:1079:286
remoulade	58360:54763:2788:316
sauce	58135:56890:1439:316 61509:54793:1484:301
american	56156:55140:2473:301
potatoes	54852:60269:2181:301 60812:60315:2181:301 60834:55170:2159:301
roasts	56606:56015:2586:316
roast	53435:57252:1461:301 54020:56483:1439:301
stuffed	55864:56498:1799:301
duckling	58068:56513:2316:377
apple	56291:56890:1484:362 60272:62623:1484:346
.	52850:57252:292:407
prime	55212:57267:1551:301
ribs	57078:57282:1101:286
beef	59305:57312:1124:286
au	60722:57403:562:196
jus	61599:57312:809:346
salad	56831:58353:2226:301 58428:58851:1371:286
chicory	56066:58821:1979:362
vegetables	55706:59802:4385:331
boiled	52895:60254:1596:301
mashed	58518:60300:1956:316 54694:61039:1934:346
egg	57438:60677:1034:362
plant	58810:60692:1326:286
yellow	57011:61054:1776:301
turnips	59170:61069:2001:362
desserts	56179:62125:3373:301
peach	52873:62578:1529:301
pie	62139:62623:787:286 54762:62593:809:286
biscuit	55909:62970:1731:301
tortoni	58023:62985:1911:301
chocolate	53480:63347:2496:301
vanilla	57326:63362:1844:286
ice	59597:63377:719:286
cream	60767:63377:1619:286
coffee	57123:63830:1596:301
eli	1169:9413:1214:633
swordsmen	2788:9413:5105:633
leave	8276:9428:2541:618
for	3485:10273:1574:618
west	5442:10273:2226:618
point	8051:10288:2406:603
meet	10862:10273:2114:618
university	1236:11601:3778:512
fencers	5689:11601:2743:437
will	9130:11601:1574:437
face	11379:11616:1619:422
undefeated	2114:12265:4160:437
cadets	6679:12280:2383:422
in	9513:12295:652:407
last	10592:12280:1529:422
outside	2563:12913:2766:452
meet	5712:12944:1799:422
of	7871:12944:742:422
season.	8950:12944:2676:422
close	2563:14045:2024:362
contest	4970:14045:2946:362
promised	8276:14060:3350:346
university	1191:15025:2811:346
foilsmen	4295:15041:2406:271
have	7016:15041:1371:286
been	8636:15041:1281:286
victorious	10210:15041:2811:286
in	12504:16021:494:271 1889:15508:494:271
collegiate	2968:15508:2721:346
competition—freshman	6274:15523:6746:346
fencing	1866:15976:2159:362
team	4340:15991:1529:286
matched	6184:15991:2338:301
with	8838:16006:1281:286
plebes	10480:16006:1709:286
preliminary	1866:16459:3238:331
meet.	5442:16474:1461:286
in	2721:33733:472:271 12526:44429:427:286 1146:49784:449:286 5937:29901:427:286 6746:45847:427:301 5037:22207:449:286 6949:49784:449:286 1776:17409:562:271 5307:31832:517:271 5127:40944:449:301 5509:30851:449:301
their	6229:23655:1191:286 6701:49317:1191:286 5824:36629:1169:286 2586:17409:1169:301
last	12054:30896:899:286 8478:20773:877:301 1101:43931:854:286 2923:37097:899:301 10120:28000:899:286 5375:42000:899:301 4003:17424:899:286 5532:19340:877:286
regular	5150:17424:1844:346
meet	10210:50916:1169:241 8950:47461:1191:241 5464:49845:1191:241 10817:21799:1191:241 10165:55321:1146:256 11807:26612:1214:241 11762:46978:1169:241 7264:17485:1169:241
away	8681:17515:1304:271
from	10232:17424:1236:301
home	11694:17439:1326:301
the	6342:32314:764:286 6162:32797:764:286 3620:33748:764:271 10502:17922:764:286 1641:55246:967:301 9648:34728:764:286 1101:44896:764:271 6432:24153:787:271 1664:50840:989:301 3710:48351:764:301 1101:29403:787:301 8613:39526:742:286 1101:47401:742:271 9040:21271:989:286 9828:47884:989:286 1956:35166:764:301 8995:40491:764:286 2811:42483:764:286 2001:47884:742:271 12166:35226:764:271 1754:22674:1012:301 1169:24107:764:301 10750:18872:764:301 8905:26536:1012:301 6072:42498:764:286 6117:50840:742:301 10547:19838:764:286 10547:31847:764:301 12166:36659:787:286 3036:27487:764:286 7826:21739:764:301 6162:55261:764:286 6409:30866:764:301 1101:34683:742:301 10255:18405:1012:286 6387:25103:764:286 3755:24605:764:301 1889:49799:742:286 1686:46918:989:271 2293:30851:764:301 5869:38545:764:301 3913:39028:764:301 12279:21754:742:301 6387:26069:764:286 7106:37112:787:301 5937:40944:742:301 3958:27004:742:301 1956:39993:764:286 10840:49815:764:286 1191:17892:742:286 4430:19340:764:286 5824:39993:764:286 7466:31349:764:301 3193:39496:989:301
university	7174:50840:2721:362 7579:24138:2721:362 2226:17892:2721:362
fencers	1214:19325:1754:286 4205:29418:1776:286 5240:17907:1776:286 4947:22674:1776:316
will	7309:17907:922:286 10457:46918:944:301 2676:21709:899:301
oppose	8523:17997:1686:256
army	3036:46903:1506:346 4542:52274:1484:362 11537:17922:1484:346 1191:22191:1484:362 3103:22674:1506:362 2271:29418:1506:346 3530:30851:1484:362
team	1101:35694:1214:241 1101:38108:1236:241 1146:50327:1191:241 1191:21754:1191:256 2923:32329:1214:256 11739:32390:1191:241 1214:18360:1416:301
at	1101:40024:494:241 5015:36192:449:226 3148:18420:472:241
west	11627:31847:1326:301 4205:27487:1371:301 4138:18375:1349:301
point	1101:32284:1394:301 11762:25586:1236:392 3216:21241:1281:346 6027:18375:1371:301 6004:27502:1394:286
today.	7893:18405:1529:331
cadet	11762:18405:1259:286
swordsmen	1934:40944:2833:301 8096:27517:2833:286 1214:18842:2833:301
have	8433:48351:1124:301 2586:37580:1169:301 4385:18842:1191:301 7061:22689:1214:316
been	5914:18857:1124:301 11919:20321:1101:286 6094:37580:1124:301 8231:34713:1124:286 1101:36131:1101:286
defeated	7466:37595:2091:301 11289:22704:1484:301 7376:18857:2091:316 2563:36131:2091:301 6544:25586:2069:286 1169:23172:539:271
by	12436:20804:584:346 9805:37610:607:346 8973:25586:562:346 9805:18872:607:346
vale	11874:18872:1146:301 5622:20773:1191:301 1101:33733:1169:286
for	5082:55246:742:301 7174:33265:742:301 1101:30776:742:362 3328:19325:742:286 5060:50840:742:301 5802:20291:742:301
seven	6769:19431:1349:211
consecutive	8456:19340:2878:316
years	11694:19446:1326:256
but	1191:19793:809:301
this	10547:47401:877:301 1124:43433:899:301 2743:38062:922:286 1101:34200:899:301 3328:28920:899:301 1979:23157:922:286 2226:19793:922:301 4970:25088:922:301
record	10525:43478:1619:286 5195:45379:1619:286 3440:19808:1619:286
does	5330:19823:1079:286
not	6679:19853:787:256 4003:37625:809:256
mean	7713:19913:1326:196
that	7129:45379:989:286 9288:19838:989:286
armyhas	11582:19838:1169:346 1191:20276:809:286
poor	2361:20381:1124:241
teams,	3845:20336:1596:301
every	10277:42498:1506:362 6904:20396:1371:256
victory	8613:20306:1799:362 8681:36629:1754:362
has	10750:20321:809:271 7151:34713:809:286 8276:42015:809:301 2631:35664:832:271 8343:34230:832:286 12144:42513:809:301
well	3463:38545:1057:286 3373:33250:1034:301 1191:20758:1012:286
contested.	2541:20773:2473:286
won	4565:32405:1057:181 6252:44021:1057:211 1844:45470:1057:196 7106:20879:1057:196
year	2293:44021:1101:256 2361:43539:1101:256 11852:47506:1101:256 9648:20879:1101:256
only	4542:39511:1057:346 9490:49815:1034:346 11064:20788:1079:362 8276:49317:1057:346 2316:42965:1079:346
a	5037:35754:269:196 1191:21332:247:181 9917:25692:247:196 2676:36720:292:196 10660:37700:269:196 4610:45470:292:196 4228:28060:292:196
one	7668:47491:877:196 6859:40582:854:196 3710:43071:854:181 6769:44504:832:211 10525:25692:854:196 1911:21332:854:196
margin,	4947:21256:1934:346 1146:26039:1934:346
9-8.	7354:21256:922:301
freshmen	10525:21271:2496:301
likewise	3890:21724:2046:301
make	6229:21739:1326:286
trip	8883:21754:899:346
to	9625:22750:494:256 10052:21799:472:241 1124:42528:472:241 1101:47914:472:241 8433:31892:494:241 6971:43493:472:256 10277:29493:494:241
plebes	3058:22191:1641:316
ah	5824:22207:607:301
three	6814:22222:1259:286
weapons.	8411:22327:2271:256
yet	5082:37640:742:286 8546:22750:764:301
be	10412:22704:562:301 1934:42483:539:286
year,	3171:23248:1236:256 1101:31409:1214:271 6656:42105:1236:256
having	4700:23172:1709:346 11222:35679:1731:377
conquered	6679:23187:2586:346
all	9535:23187:584:286 12324:45394:629:286 10412:30414:607:271
five	10412:23187:877:301
teams	11514:40552:1439:241 11559:23248:1461:241
met	1169:23685:922:241
thus	2518:23640:1057:286 10457:33763:1304:301
far	12234:42996:742:286 12211:33763:719:301 4025:23640:719:286
