'	15636:6668:102:65 15636:6668:102:65
and	14367:49463:1412:546 14367:49463:1412:546 27446:48408:941:208 30741:12294:900:260 25870:13140:921:260 23352:16162:921:260 25338:19209:921:273 26873:7957:900:260 23373:7071:921:273 37679:4975:900:273 41117:19652:921:286 40524:7996:880:273 34793:6681:900:273 40381:12294:921:273 38191:4115:880:273 49632:17100:941:273 47994:15367:900:273 52497:55168:1760:507 52497:55168:1760:507 61932:13114:921:273 60356:24784:921:273 60336:24354:900:260 9639:31803:1125:338 11850:32858:1146:299 14367:21462:1125:325 10458:39591:1125:325 18276:44254:1146:338 5178:32845:1146:312 8084:35971:1125:312 8759:28691:1146:325 11297:22491:1125:312 10397:37000:1105:325 20835:35971:1125:312
anderson	17458:11565:1657:195
angela	30434:43134:1821:338
animals	23352:13140:2046:260 53705:21762:2026:286
announcement.	4175:50948:5976:390 4175:50948:5976:390
ano	25358:27974:921:195 34343:32363:921:208
anorea	7306:14508:1432:182
another	19525:41675:2435:312
anti-populist	59763:20017:3151:351
anti-semitic	26729:37898:3131:273
any	41650:15406:900:273 46766:23195:921:260
anyone	57880:27024:1821:273
anyone's	36963:27531:2251:338
anyway,	23905:11421:2189:338 33893:3659:2169:338
ao	42018:27193:573:208
apparently	53664:16136:2844:338
appelman	4584:7436:1821:247
appreciate	24437:25304:2967:325
are	10192:38641:1043:234 20958:28795:1023:234 7797:28274:1043:221 13528:28274:1043:234 39132:31074:839:208 48260:20590:818:195 47565:26203:818:195
argue	27957:29277:1473:273 6774:38107:1821:325
army	44740:24914:1350:260
article	30086:30957:1657:273 23762:26164:1698:273
articles	31621:37117:491:195 27487:45296:2333:273 22963:37442:1371:273
articles,	22922:44410:2087:325
articles.	29636:50518:2046:273
articulating	35223:32728:3008:351
artist	5833:15745:1555:195
arts	15759:6316:1125:195
as	17355:33457:654:234 6528:32936:675:221 15779:29837:654:234 6774:32415:634:234 24089:31426:532:221 37290:11044:532:195 34916:11044:532:195 55158:26607:552:208
asked,	53684:19157:1616:312
association,	52722:59882:4748:494 52722:59882:4748:494
at	24867:43993:470:260 26668:20994:511:260 31068:18441:450:260 37679:14886:470:260 36799:5430:470:234 39378:20538:491:247 37515:16188:470:260 52436:23559:470:247 5710:40646:593:299 5096:35984:593:299 59804:15745:470:247
attentiveness;	25706:50088:3602:299
attract	8002:39617:2169:299
award	11870:39591:2005:325
aware,	27384:34929:1760:260
awareness	25297:37091:2722:208
away	10888:33457:1678:312 28633:13219:1350:260
back	13221:24041:1473:325 30086:27479:1187:286 43594:17946:1187:273 45252:12750:1187:260
bags	27139:10119:1166:338
basis	19504:42183:1596:325
bastion	61134:19587:1801:273
battell	44474:56796:3172:533 44372:61875:2456:416 44474:56796:3172:533 44372:61875:2456:416
be	13385:42183:716:325 10397:34408:695:325 23762:34838:552:260 29615:30514:552:273 28530:35294:573:273 25194:5352:552:273 34998:34447:552:286 36246:27518:532:273 37188:30123:552:273 53971:61888:839:403 53971:61888:839:403 56079:23064:552:273
became	26136:40920:1985:286
because	24028:41350:2046:286 34384:30970:2026:299 40565:14456:2005:286 34936:4532:2005:273
become	33299:24914:1964:273
becoming	25235:44410:2476:351 8657:29732:3110:416
been	16332:40112:1432:312 20487:37000:1453:325 7613:22478:1432:325 7982:36466:1432:338 25829:18337:1146:286 49591:12763:1146:273
beer.	57511:24797:1248:273
before	53746:25669:1596:286
began	27487:49633:1473:351
being	37966:9272:1371:338 41261:26242:1330:351
believes	26913:31360:2046:286
belong	31027:10562:1637:351
bench	41077:16188:1453:286
benefit	30536:43564:1739:286
bermel	10458:12997:1187:195
bernardine	9598:10926:1903:208
bernicker	10479:6863:1657:195
best	25071:14000:1023:273 6181:24536:1289:338
betsy	3274:12958:921:247
better	11318:34408:1903:325 29185:33119:1494:273
between	7797:49437:3110:560 7797:49437:3110:560
bianca	15882:13010:1146:208
bill	9639:5964:532:195
billy	45702:14052:1166:338
bit	35243:5821:593:273
bit.	52088:20929:777:286
blasts	43676:27440:1473:273
blew	49652:26998:1146:273
blocks	38702:15302:1575:286
body.	15084:31816:1698:416
books	53684:17425:1432:286
both	7572:35437:1350:325
bounci	29288:35294:1494:286
boyfriend	40196:4545:2394:338
break	25256:8387:1432:273
brian	3274:11200:941:195
bruce	15882:10379:982:195
budill	14347:5131:982:195
buffalo	51126:14495:1760:286
bumped	27016:11421:2026:338
burger	28387:20994:1698:351 29349:17959:1698:351
burgers"	33279:17034:2292:351
burgers,"	35448:14430:2476:338
burgers.	53705:19600:2108:338
business	9455:9741:2026:195
but	20896:39083:1064:312 25522:32233:798:273 59640:20889:757:260
but,	23618:29199:1023:299
buy	37761:17047:900:338
by	16660:14690:286:156 23434:3685:941:481 26791:27466:573:351 40688:17060:573:338 4830:27649:757:403 14511:43733:736:416 2517:21944:736:403 56345:48122:880:416 56345:48122:880:416 59538:17438:573:338
cabinet,	58146:59257:3151:507 58146:59257:3151:507
calabresi	17171:13010:1596:208
calen6ar	13098:46533:7368:820 13098:46533:7368:820
calendar	8411:48096:3540:546 8411:48096:3540:546
calkins	4154:10301:1330:208
call	2803:49424:1575:560 2803:49424:1575:560
called	39828:14026:1514:273 38825:14456:1514:260 57778:20460:1514:273
calzone	35653:53566:5219:742 35653:53566:5219:742
campus	31027:41024:982:195 22963:41428:818:273
can	24130:5430:880:195 37966:2656:3356:742 55833:24875:880:208
capitalist	54687:19978:2374:338
caplan	4359:9416:1228:247
care,	58658:26164:1289:247
carlo	27998:25304:1494:286
case	30945:5456:1125:195
cases	5648:37078:1698:234
castle	35653:13570:1555:273 33279:15289:1575:273 38723:10549:1575:273
castle.	33299:13114:736:273 41506:12724:818:286 48588:14925:1698:273
catholic	29226:18832:2067:299
cents	16414:16982:1043:208
certain	37536:27102:1801:273
chains	51249:18832:1616:273
chaired	11768:43733:2415:325
chairman	58248:16162:2435:260
challenging	23086:27024:2988:351
changed	43594:16657:2108:338 49038:20942:2149:338 56161:13127:2067:338
changed,	30372:15745:2271:338
changes	17151:15823:1002:169
chapel	47258:61862:2660:507 48138:56783:3417:664 47258:61862:2660:507 48138:56783:3417:664
characteristic	46725:15797:3561:273
chatted	61789:24784:1002:260 53746:25239:757:286
cheap	28039:9689:1494:338
chief	8289:4805:1330:182
chiles	11277:7176:1064:195
china	35469:11851:1432:260
choices	26586:40060:1882:286
choose	3151:19561:4952:729
ci	21449:14456:368:143
circulation	3151:9989:3029:221
class	16455:14000:573:130 19095:25604:1555:325
classist,	24580:36153:2067:312
classmates	25378:15732:2844:273
clinking	43594:18376:2026:351
club.	2456:33874:1535:325 56836:17868:1207:260
co.	21428:14677:450:156
coaato	24887:31360:1760:286
coaato's	30086:25317:2374:273
co-education,	9537:45804:4236:377
co-founaea	26688:41363:2763:273
college	11788:20942:2353:403 15002:23025:2333:403
college,	53725:23507:1923:338
colognes	29717:9702:2149:338
commitment	53623:54360:6283:560 53623:54360:6283:560
committee	17662:40633:3417:312
committee,	7797:43733:3622:377
committee.	19300:45296:2292:325 2456:45830:1146:299
committees,	6078:21957:3929:377
community	17376:44775:3622:403 27548:34434:2926:338 60111:23038:2906:338
community,	2496:32832:2435:416 20466:32441:1166:221
comp	59231:13140:1453:338
competant	18645:23559:3377:390
complete	60725:25643:2312:338
complicity.	37024:35775:2844:351
confronting	41506:34577:777:195 33197:34877:2026:364
congenital	23373:5795:2619:325
conn.	21101:13987:777:143 20078:15146:777:143
connelly	11666:10939:1555:247
consciously	24253:29628:2947:351 24048:40490:2947:351
consider	2415:41662:2783:338
contact	2456:31829:1248:312 20692:31400:982:234
continue	34159:30136:2149:260
contributing	22902:45270:3806:351
conversation	23352:15302:1514:273 30782:14951:1637:208 33340:4076:921:260 40156:3763:2189:195
copy	3602:14195:1187:182
copyright	15882:16683:2640:221
corner	39030:16253:1657:208
co-sponsors:	44392:58593:5034:494 44392:58593:5034:494
could	44638:22244:1350:273 46746:24406:1350:273 54134:21332:1350:273
couldn't	43574:18819:2046:273 53623:14417:2108:273
coulson	7818:5105:1432:195
counseling	2476:36466:3417:429
country,	39439:10145:2087:325
county.	30720:19756:1842:312
co-worker	25358:17047:2558:286
criticism	22881:47028:2312:273
crocker	6262:5105:1391:195
crother's	10683:35450:2967:325
crucial	28510:26607:1760:286
ct	18931:16396:552:208
cuban	61318:17438:1575:273
cured	49714:24406:1453:273
cutie.	36042:7553:1371:273
cycle.	8657:40112:1842:403
d«i,	15370:14456:634:143
dad	53602:13974:921:273
dad,	59006:14000:1064:312
daddy,	33320:6238:1698:351
daily	18317:14677:654:169 5751:48070:2026:690 8309:46403:4011:1080 5751:48070:2026:690 8309:46403:4011:1080 8759:2109:20:2344
dally	16680:14221:654:169
daniela	15902:7801:1289:195
darcy	3295:9702:1043:247
darkroom	3602:15120:2578:195
darling	39767:5391:1821:364
darling,	58044:27831:2005:312
davenport	38928:36674:2701:325
davis	22922:43538:1494:260 4031:6251:961:195
day	30434:20134:900:364
dead	29288:10119:1207:273
deal.	55506:26099:1207:273
dean	13385:45283:1494:325 7081:31295:1494:325 6447:30774:1514:325 9230:42183:1514:325 4686:38563:1494:312 20466:31816:1494:338 17621:23025:1596:312 18113:19717:3417:703
dean.	18768:39070:1698:325
deans	7879:21436:1842:325
dean's	8616:24041:2169:325 13569:34942:2149:299 16619:36492:2169:312 14408:20955:2169:312
dear	56590:13987:1228:260
debbie	6795:14794:1330:208 7572:16969:1309:208
deborah	3602:14495:1698:221
declined.	8964:25591:2865:338
deep.	54912:18285:1289:351
deliver!	36021:60651:4072:546 36021:60651:4072:546
deodorant	33320:8843:2537:273
department	53664:16566:2967:338 56488:15706:2947:338
despite	26320:23650:5730:1080 28141:46598:1821:351
destined	29206:51404:2128:260
did	26136:8830:757:260
didn't	58310:22179:1453:273 56816:16566:1432:286
die	13303:36466:921:338
died."	54769:13974:1555:273
different	26402:45713:2210:286 29001:8387:2210:286
director	6344:10028:2210:182
directors	5955:9129:2456:195
disarmament,	47626:59218:5239:481 47626:59218:5239:481
discourse	23782:35281:2435:286
disease.	49386:24836:2005:273
displayed	12341:26620:3070:429
do	4031:24536:716:325
does	38621:10965:1084:286
doesn't	40790:10549:1801:299
doing	50082:26125:1350:338
don't	43614:23116:1248:273 55362:26971:1248:273
door.	61789:26503:1248:273
dorothy	38907:36244:2087:299
down	35817:16175:1309:273 50880:23533:1309:273
dreadful	28346:14859:2128:286
dressed	50225:21371:1964:273
dropped	29165:16644:2067:364 54994:13557:2067:338 57880:15276:2026:351
drug	54196:26099:1166:351
drumming	44945:25695:2701:338
dwight	53254:59231:2660:507 53254:59231:2660:507
dwoskin.	4830:14794:1780:234
each	28387:15302:1187:273 41363:19235:1166:273
ear.	49734:20199:961:208
early	33320:4519:1330:338
earrings	50737:19704:2149:338
eating	57307:19157:1555:338
ed	45129:26998:573:273
edersheim	5157:7736:1801:208
editor	5833:6550:1596:208 5996:4805:1575:182 18113:8113:1596:182 18952:5717:1575:195
editorial	9455:18480:6283:612 9455:7449:2353:208
editors	5833:5665:1842:195 4564:7136:1842:195 19504:10080:1801:195 18502:12724:1842:195 11604:9754:1882:208 5669:12685:1862:195 17007:6329:1842:195 12014:7475:1842:208 19259:7215:1821:195 11236:6576:1862:195 4973:14195:1964:195 11850:5678:1882:208 5239:16670:1944:208
editors:	25542:24888:2742:234
eiffel	36860:12268:1391:273
eight	43594:19691:1248:338
eisenberg	10622:13297:1657:247
elite	38007:24927:1064:273
elitism,"	23025:32220:2292:325
elitism?"	53684:20460:2394:273
elitist	23352:22309:4850:911 27998:27037:1432:299 22963:39630:1739:273 30966:30097:1412:273 26484:50948:1432:273 28694:32259:1412:286 30986:29654:1412:286 36635:34903:1473:286 55813:20902:1412:273
elitist.	30209:36179:1575:273
encouraging	13201:32845:3950:416
enough	2496:24028:2271:403
entire	52190:24484:491:182 43655:24849:859:260
environment	2496:29746:1596:312 19361:29225:2312:338
environmental	44372:59869:5730:442 44372:59869:5730:442
eradicated.	37393:34473:2885:299
erens	17294:13609:961:195
eric	9619:6850:675:195
erik	3254:13557:736:195
even	30761:29290:1146:195 29206:34069:1187:195
every	26279:6733:1412:260 31171:19366:1453:273 30782:48421:1432:273
example,	26586:33991:2374:338
executive	3172:6537:2517:208
ex-girlfriend	37945:18767:3192:364
existed	28694:12281:1801:273
exists	37597:13583:1453:260
expect	16762:38055:2108:377
experience	22963:39188:2210:338 31559:38849:511:208 37311:7983:2803:338
experience,	37433:33184:2947:325
expressed	6672:44254:3192:416
extent.	39582:27128:1719:260
eye.	51924:27505:982:273
eyes	38416:19717:1125:273
face	10786:34929:1309:312 38252:18337:1043:286
face.	33238:20499:1207:273
factory.	40565:15758:1944:351
faculty	22861:49620:1801:364 2476:28678:2251:416 12280:41662:2189:416 2496:25565:2230:416 19750:39591:2210:403 19750:44254:2189:416 7061:31803:2210:416 3561:21944:2210:416 16475:38550:2189:416
faculty.	4052:43225:2394:403
failure	4748:39591:2149:325
familiar	35898:18337:2067:273 60745:12711:2087:260
family	25112:7527:1637:325 30700:28352:1719:338
farm	61748:21319:1207:260
fascist	57593:19991:1637:286
fashion	61236:25213:1801:273
features	9476:5678:2230:195
feeaback	24457:50505:2292:273
feel	20835:40112:1125:338 33217:32715:900:286
feeling,	43676:25708:880:325 51863:25265:859:260
feet.	17130:24054:1350:325
fellow	23373:15719:1494:286
female	17949:31816:2189:338 2271:38550:2189:325 17294:39591:2169:325
female,	9046:28170:2374:390
female.	2496:29212:2374:312
feminist	25297:34408:2087:286
fierce	27712:32676:1473:273
figure	35510:13140:1494:338
filling	38764:58971:3110:651 38764:58971:3110:651
fina	22984:37885:982:273
find	5710:41141:1207:312 8596:24549:1207:325 20098:38042:1166:312
fingers	49141:25695:1760:338
five	14224:26112:1146:325 7879:25070:1166:325 31334:44006:921:273
flipping	26668:17477:1923:364
flitting	22984:38315:1719:338
fn	4666:15433:491:156
follows	25726:14873:1760:273
food.	32644:59778:2783:651 32644:59778:2783:651
for	12484:39070:859:325 10683:32337:880:325 12095:23012:900:325 15513:19704:2005:677 25419:6655:695:273 33831:9676:900:273 34322:32728:716:273 48854:62526:1084:403 60254:58619:1105:390 48854:62526:1084:403 60254:58619:1105:390 58412:13570:675:273
forced	24519:6212:1575:286
forgot	25767:12281:1514:325
forgotten.	12996:22504:3070:403
four-smokestack	36083:15745:4257:286
frank	59497:25213:1350:273
freebairn	17458:6029:1596:195
freitag	5444:5964:1187:234
freshman	15841:25604:3029:325
fri.-sat.,	32726:62318:4523:651 32726:62318:4523:651
friday	36635:17907:1739:351
friends	26545:14430:1780:273 23373:11838:1760:273
from	12894:33379:1494:312 17744:41662:1473:325 26136:9259:1187:260 28244:17060:1228:299 31457:8413:1187:273 28981:20134:1207:286 27036:50518:1248:273 41322:18780:1187:299 45886:19261:1228:260 45845:20134:1187:260 57471:61875:1821:416 57471:61875:1821:416 60397:15289:1187:273
fully	35919:34460:1125:351
funeral.	24519:7084:1944:273
furry	29881:12711:1289:338
future	30700:47914:1535:273 22881:47458:1555:286 37904:25357:1555:286 39357:27531:1575:286
gallery	44147:28521:8084:807
gary	57552:48148:1616:455 57552:48148:1616:455 9578:13297:859:234 15882:7501:839:247
gaunt	46357:15393:1432:299
gave	27261:12776:1207:273 28060:43603:1187:286
geese.	27753:13635:1535:273
ger	7429:11525:859:195
get	27118:8830:777:325
giamatti	2517:22973:2906:338
girl	48363:13192:982:273
give	24437:33978:1064:338
giving	25358:9689:1575:325
glance	43614:24406:1698:338
glasser	16905:7501:1248:208 59497:48213:2435:390 59497:48213:2435:390
gleibermann	4175:13570:2271:195
gleick	4359:12971:1105:195
go	10397:30853:695:338 48383:2695:2292:911
god,	50655:20525:1146:286
going	25563:20095:1371:338 57655:19600:1350:325 56795:23064:1391:338
good,	32910:58945:3008:599 32910:58945:3008:599
gossip	36431:4102:1575:351
got	39582:8882:757:312
gotten	26770:16188:1575:312
grabbing	54769:24380:2292:338
graham	15861:11565:1391:195
graphic	3602:15745:1944:195
graphics	15759:8100:2189:195
grasso,	9148:14495:1473:221
greasy-spoon	25665:17972:3377:312
great	26463:4532:1350:299 39542:11851:1432:273
great.	44945:20994:1453:286
grew	31396:5014:1248:273 35510:11473:1248:273
growling	34936:4962:2230:351
guess	28817:10614:1391:273
guide	17990:10965:1350:195 17990:10080:1371:195
guild.	47933:60533:2353:442 47933:60533:2353:442
h.	4543:7736:388:195
h>ven	19341:15602:839:143
haa	30188:42704:900:260
had	20876:25604:1125:325 24539:18337:921:273 37413:35346:900:260 39603:4128:880:260 51965:17100:921:260 48424:12763:900:260 48076:16670:900:260 56509:25669:921:273
hadn't	37945:19196:1596:286
hall	56263:59244:1555:403 56263:59244:1555:403
hamburger-scented	36819:8413:5771:351
hammond	17028:10379:1862:195
handled	2456:37508:2537:325
hanging	43594:19261:2026:338 43594:20121:2026:351
happen	23025:33093:1842:351
happened	57286:14417:2374:338
harrassment	14224:37000:4093:325
has	25706:16175:839:260 27159:7527:859:260 37229:11851:839:260 37966:12711:839:260 34834:12281:839:260 4952:25578:1043:325 11093:26620:1043:338 5259:44254:1043:325
have	28694:15732:1207:273 41343:33197:1187:260 34855:35320:1207:286 51658:16240:1228:273 48301:24406:1207:273 5546:22478:1514:312 6140:36479:1535:312 13385:40112:1494:312 18665:37000:1494:325 9946:21449:1514:325 55915:14417:1187:260
haven,	18952:15146:921:156 20037:13987:941:169
haven.	17089:16383:1657:221
haven't	37884:9676:1882:286 46766:20955:1985:260
he	9824:23520:695:325 18829:24067:839:312
heaa.	28162:38328:1330:273
head	44842:17087:1187:273
hemingway's	59435:17008:3438:338
henry	9619:8048:1064:247
her	38395:11838:798:273 35858:12281:818:260 38641:5417:921:260 37249:4532:818:286 45661:17959:818:260 43614:17100:900:260 47401:19261:818:273 45620:15797:818:260 47278:20134:818:260 54871:24810:818:273 59722:12724:839:247
her.	51883:16670:982:273
herd	49059:14482:1125:286
heritages.	23086:28756:2517:338
herpes.	26320:5795:1821:325
high	31539:18858:1084:351 23373:14430:1043:325 33258:19196:1064:338
hilary	3336:7423:1084:247
him	41650:7136:941:273
his	39378:6694:695:273 38989:12711:695:273 41916:4988:675:260 4993:24536:900:325
hlvrn	20139:14912:818:156
home	39521:9272:1350:286 51617:2383:5403:1133
home,	26995:16618:1535:325 28715:11864:1535:286
hostile	16905:29746:2087:325
hot,	36512:58945:1862:638 36512:58945:1862:638
hours	17314:5717:1473:195
how	27016:15302:1002:273 31314:40086:982:273 29820:39201:1002:286 33258:28391:1002:260 46991:20525:1064:260 53664:15276:961:273
howard	19525:23025:2496:325
hsiao,	7531:16032:1166:221
hysterically	23352:13557:3049:351
i	26484:11434:163:247 28346:10562:163:247 27057:11864:143:247 32501:5821:143:260 25747:8843:143:234 24826:17477:143:260 28796:16644:143:260 25358:12281:143:247 30557:10575:143:247 29226:37469:163:260 23475:42235:163:260 27302:51404:122:247 23659:25291:163:260 25726:40933:163:260 32173:36179:163:273 29595:47471:163:273 26299:41363:163:260 32030:50531:143:247 29636:50088:122:260 29676:37039:163:260 24826:29199:163:260 23516:38758:143:260 27098:43980:163:260 39337:26242:143:247 33831:26216:143:247 38907:27974:143:260 42386:32324:143:260 36799:31426:184:273 33790:30123:143:260 40258:28404:143:273 40810:33197:122:247 34507:35320:143:273 41609:27115:143:260 42366:17946:143:260 35387:6251:143:260 39255:4128:163:260 43103:63776:184:416 43103:63776:184:416 52722:18402:143:260 47073:25278:143:247 45190:23559:122:247 45190:21827:184:247 47626:16683:143:234 52722:15393:143:247 48977:21827:163:247 60315:27818:143:260 53725:21358:163:247 60336:14013:163:260 54319:27831:143:273 55915:23507:143:260 61462:24797:143:247
iaeas	37638:30996:1289:286
iaentities	31212:27922:1002:273 23086:28313:1330:273
idol	47094:14052:921:286
if	12894:40633:491:299 32092:29225:347:260 46787:18819:327:273 55936:22205:368:260
ii,,	20958:14456:368:156
imbeaaeci	35632:34017:2496:286
importance	5648:45283:3663:403
important	33238:31439:982:260 40892:31009:1412:351
in	16496:32337:532:325 17621:27154:532:325 8596:40620:552:325 13364:26112:552:325 14511:36479:532:325 21367:36492:573:312 7961:20929:532:299 15309:31295:573:325 24314:42665:450:273 23045:30931:450:273 23434:46598:491:260 22963:41792:429:273 25174:33106:409:260 31478:16683:409:273 32255:4532:388:273 32235:7553:409:260 28715:19691:429:273 38047:11408:429:260 41343:9702:450:273 34793:19626:450:286 40688:34486:470:273 44576:13179:409:260 57389:25239:409:260 7716:4805:450:182
inauguration	53643:52706:6569:677 53643:52706:6569:677
indication	17355:32845:3151:325
individual,	50307:62513:4113:520 50307:62513:4113:520
industrial	33299:10093:1944:286 41957:9702:429:273
inevitably	23352:14859:2067:338 32071:14456:409:260
informal	12628:21970:2742:325
innocent	36963:20942:2149:273
insects,	30761:10132:1882:312
insensitivity	20118:26633:1596:338 2496:27115:2230:429
insider's	15759:10067:2067:208 15739:10965:2067:195
instead	23373:10106:1330:273 32071:9702:409:273
instilled	30372:30527:2026:273
institution	22861:51378:2578:273
intentional	10724:29212:3417:338
intentions.	30945:33132:1228:273 23025:33522:1350:286
intimate	17806:31295:2681:338
into	31437:31829:941:286 31498:27492:941:273 31744:14026:921:273 29390:11421:941:273 43614:14925:921:273 48138:27440:900:273
intoxicated	39726:17490:2803:286
introaucing	26832:43108:3070:364
is	11277:38029:491:325 7409:33366:511:312 8780:31295:491:325 9844:29212:491:325 4359:20902:491:325 2456:40112:470:325 21490:40633:450:312 4543:29719:491:338 20405:14234:163:130 26156:27479:388:260 32010:30970:368:273 31989:35749:368:273 26177:32676:409:260 28571:14430:388:273 33197:34017:388:273 34896:14859:368:273
issues	12853:27141:1882:338 6528:34916:1882:325
issues.	40872:32754:1637:273
it	10519:38042:429:312 30823:32702:327:273 38068:10978:307:260 37249:13153:307:247 35530:18767:368:286 47319:18832:307:260
it.	25563:48773:450:273
it's	14060:45804:961:312
