support	44424:41403:5369:1418
the	4920:30379:796:273 5287:30808:775:286 4430:29936:796:286 6267:33424:775:273 2939:32565:959:273 4797:36874:775:273 6716:29051:775:273 11044:33841:755:273
elis	7860:29038:1000:286
will	9207:29038:898:273
meet	10473:29051:1265:260
first	2347:29507:1082:273
on	3674:29572:592:208
friday	4532:29480:1755:351
night,	6553:29480:1449:338
are	7513:32630:837:195 8268:29546:837:208
currently	5573:33854:2409:351 9350:29467:2409:338
fifth	2368:29936:1082:286
in	4552:31264:428:260 10146:33854:428:260 4634:30821:449:260 4205:34309:449:273 2429:32136:449:273 7778:35559:449:260 3715:29949:449:260
ecac	2429:34309:1572:273 5471:29923:1572:286
with	9779:35988:1102:273 7268:29910:1122:286
a	8635:30001:265:182 10432:34348:285:208 8452:34804:285:195
5-3	9187:29936:673:247
record	10085:29897:1694:286
and	4266:36431:939:273 7186:34713:918:286 2368:30379:939:286
were	3491:30457:1245:195
one	5900:30444:877:208 4511:32201:877:208
team	6961:30392:1286:247
that	8452:30353:1000:273
yale	9636:30340:1163:286 3981:31693:1163:273
did	11004:30340:755:273
not	2388:30847:775:260
face	3368:30821:1082:273
phoenix	6267:30795:2082:286
mutual	8554:30795:1796:273
tournament	10555:30808:979:247 2388:31277:1959:273
hartford	5185:31238:2245:286
last	10657:31238:1122:260 7615:31238:898:273
month.	8697:31225:1755:286
year,	2388:31771:1347:286
beat	5348:31693:1122:260
colgate	2960:35559:2000:338 6675:31680:1959:338
3-0	8840:31693:673:247
at	9697:31693:489:247 7900:32123:469:273
home	10391:31667:1388:260
their	8043:32982:1204:273 3103:32136:1204:273
meeting	5593:32123:2082:338
ingalls	8615:32097:1714:351
rink.	10534:32084:1184:286
red	4124:32552:979:286 5818:36874:1000:273
raiders	5328:32552:2000:286
led	6471:35546:755:273 8533:32539:755:273
by	9472:32539:592:351 11228:35559:571:338
senior	10228:32539:1551:273
goalie	2429:32995:1551:351
jeff	4348:32995:1000:286
cooper,	5696:32982:1939:351
standout	9615:32969:2164:286
netminder	2429:33424:2674:286
for	5348:33424:694:286
past	7288:33424:1061:338
two	8574:33424:877:273
seasons.	9677:33476:2102:208
cooper	2429:33880:1796:338
is	5512:35559:408:260 4716:33867:387:273
third	8452:33841:1224:286
goaltending,	4818:34283:3164:364
sporting	8166:34283:2123:351
.931	10942:34296:857:260
save	2429:34830:1184:208
percentage	3960:34752:2878:338
.278	9125:34739:877:260
goalsagainst	2429:35194:1919:312 10330:34713:1245:351
average.	4552:35220:2245:273
scoring	8758:35559:1919:338
freshman	2429:35988:2470:286
rejean	5389:35988:1817:351
boivin	7696:35988:1612:286
19	11371:36001:449:260
points	2429:36431:1551:351
sophomore	5471:36431:2817:351
lowell	8595:36431:1674:273
mac-	10575:36431:1245:273
donald;	2429:36874:2041:325
raiders,	7063:36860:2143:325
however,	9493:36874:2306:312
are	12739:32305:837:195 18598:45464:857:195
primarily	14046:32240:2470:351
a	20068:34947:285:195 18578:41989:285:195 21661:45933:265:208 17516:45008:244:195 15679:39281:265:195 15536:35364:285:195 15781:38422:285:195 13821:39711:244:208 17006:32318:265:195
defensive	17741:32240:2409:286
team.	20620:32266:1429:273
they	18190:37485:1082:338 12739:32669:1265:338 17496:46245:1286:364
have	20885:33125:1184:286 14209:32669:1204:273 19293:46271:1224:286
given	15618:32669:1367:351
up	17537:48497:592:273 17190:32760:592:260
the	12596:47065:775:273 17863:37043:775:273 18619:49317:775:273 13107:47937:939:286 15373:42757:755:260 21232:41507:775:260 13474:33112:755:260 16516:37915:796:260 21110:48913:755:273 12576:47507:775:273 17986:32695:755:260 16638:43629:775:286 15842:34427:796:273 15393:46648:755:286 21273:38370:775:260 15046:45347:775:273 18884:39672:775:273 19231:48445:775:286 12698:35715:796:286 17190:38774:796:273
fewest	18925:32682:1653:286
goals	20762:32695:1306:338
in	18353:33997:428:273 19680:48028:449:273 14740:46648:428:260 12739:33099:449:273 15107:36600:428:273 18782:46701:428:273 20517:48900:428:273 18455:48445:428:273 21620:34440:428:273 21477:46740:428:260
ecac	14495:33112:1572:273 20334:48471:1551:273 12535:49252:1572:286
with	16291:33125:1102:260 20395:45854:1082:286 15842:44917:1122:286 19190:41052:1163:273 17210:39229:1102:260 16516:44071:1061:273
only	16945:35728:1041:351 17639:33125:1061:338
23	18966:33138:489:260
and	14679:34414:918:273 21089:40622:918:273 17373:40154:918:273 21130:39229:918:273 21130:35741:918:273 14740:36145:918:299 14740:38761:918:286 19701:33125:918:273
scored	12719:33541:1694:273
two	14576:33567:898:260 21048:46323:877:247
more	15618:33620:1347:208
than	17108:33554:1122:273
yale,	18415:33554:1327:338
35.	19905:33580:653:260
head	20762:33567:1306:273
coach	19885:34427:1469:286 12719:33984:1572:273
terry	14597:33997:1469:325
slater,	16353:33984:1653:338
his	19109:33997:694:273
seventh	20130:33997:1939:286
season	12719:34492:1674:195 12698:38813:1694:234
winningest	16883:34427:2756:338
colgate	12719:34843:1939:351
history,	14821:34856:1959:351
has	21048:47169:857:273 16965:34856:857:286
molded	18027:34856:1878:286
young	20538:34934:1510:286
team	12719:35299:1286:260
into	14311:35286:959:286 17761:39659:959:286 14434:39203:939:273
contender,	16108:35286:2674:312
drawing	19109:35299:2102:351
on	15638:45854:551:208 14372:48458:571:195 21477:35390:571:182
services	13780:35728:2102:273
of	15944:43629:469:273 19905:36613:449:273 18313:43212:469:273 14495:42731:469:286 16189:35728:449:273 20497:38370:469:273
10	18333:35767:449:234
juniors	19048:35741:1796:338
seniors	12698:36158:1817:273
17	15903:36197:469:234
underclassmen.	16557:36158:4042:299
it	13249:36600:387:273
was	13862:36665:979:208
cornell's	15781:36600:2266:273
home	18292:36613:1388:273 17782:45815:1367:286 18925:44540:1388:273
linah	20599:36626:1449:260
rink	12719:37017:1204:286
last	19129:43225:898:273 14148:37017:918:286
year	15271:37108:1163:260 14086:44982:1184:273
that	18435:41468:979:286 16638:37043:1000:273
elis'	18884:37043:1122:273
playoff	20252:37056:1796:338
hopes	12698:37459:1449:338
faded	14597:37459:1408:286
when	16414:37485:1327:260
narrowly	19701:37498:2347:338
lost,	12719:37902:1041:325
7-6.	14229:37928:796:247
at	18251:44553:469:234 15516:37915:551:260
time,	17741:37915:1286:325
yale	19517:37928:1163:273
had	14025:40544:918:273 12698:39633:918:273 21130:37928:898:273 15965:38774:918:273
shaken	12698:38318:1796:286
off	14821:38331:673:286
slow	16393:38344:1122:273
first	17843:38344:1041:286
half	19211:38357:979:273
opportunity	18313:38800:2939:325
to	21600:38813:449:260 16189:39672:469:260 14597:41885:428:247 17925:49317:428:273
move	12719:39281:1388:195
tie	16291:39216:612:273
harvard	18639:47143:2164:286 18639:39229:2164:273
chance	14270:39646:1776:273
get	16822:39672:775:325
playoffs.	19803:39672:2184:351 19660:49330:2164:351
duanne	12698:40101:1980:286
moeser	15087:40127:1878:286
gary	18721:40180:1286:338
cullen	20436:40180:1592:286
both	12719:40531:1061:286
hat	15169:40570:816:260
tricks	16210:40583:1469:273
for	17904:40596:714:273
cornell,	18864:40609:1980:312
randy	12698:40974:1755:351
wood's	15026:41000:1898:286
goal	17516:41039:1102:325
four	20926:41052:1082:273
minutes	12678:41416:2041:273
remaining	15250:41455:2633:351
cut	19946:41520:734:247
deficit	12678:41833:1592:299
7-6	15311:41898:653:247
still	16251:41898:918:260
left	17496:41898:796:286
lead	19170:41911:1041:273
which	20497:41937:1490:286
could	12657:42288:1367:273
not	14209:42327:775:247
be	15189:42301:571:273
surmounted.	15944:42340:3205:273
this	12576:44891:959:273 19354:42353:1102:286
year,	17639:43642:1429:338 20660:42444:1286:273
many	12657:42796:1429:273
cornell	13127:44462:1837:286 16536:42757:1776:286
players	13699:43590:2000:364 12596:46622:1919:351 18762:42796:1878:338
will	14372:49265:877:273 21048:42822:898:273
return.	12637:43186:1755:247
moeser,	14781:43186:2000:338
one	17128:43277:877:208
year's	20354:43251:1572:325
ivy	12637:43590:837:338 13678:47078:796:351
is	15169:44488:387:260 19333:43655:387:273
back	19987:43668:1163:286
as	21395:43759:551:208
captain,	12596:44032:2082:338
along	14903:44058:1367:338
cullen.	17802:44071:1755:299
unbeaten	15761:44488:2306:286
so	20477:44631:530:195
far	21191:44553:734:273
3-0-1	18353:44969:1102:260
record.	15087:46219:1857:286 20027:44995:1837:273
overall,	12657:45334:2062:286
big	16148:45360:837:338
red	17333:45373:959:273
virtually	19762:45412:2184:364
unbeatable	12637:45763:2837:286
their	16393:45789:1204:273
ice,	19333:45841:857:312
246-79-8	12617:46206:1959:273
top	16353:46687:755:312
eight	17373:48861:1265:351 17312:46674:1245:338
scoring	19395:46727:1857:351
league,	14760:47078:1980:351
while	17026:47104:1347:286
other	13576:47507:1327:286
six.	15107:47521:837:273
weekend	14209:47950:2204:286
looms	16577:47976:1469:286
large	18210:48002:1327:351
yale's	20293:48028:1592:299
sights	12555:48367:1490:351
moving	15291:48406:1898:351
standings.	12535:48796:2613:377
the'top	15352:48796:1857:390
teams	18782:48900:1572:273
advance	15536:49278:2123:286
ana	23008:22270:898:221
the	23621:25485:959:273 23090:30717:775:286 24151:22257:775:247 31665:29871:755:273 25601:28114:775:260 26050:30730:959:273 23907:28543:796:273 30501:23962:755:273 26214:23103:755:273 24009:28986:755:260 23947:26370:755:260 29582:25940:775:273
top	25152:22244:775:325
four	26152:22231:1020:273
will	27398:22231:918:273
have	28561:22231:1204:260
home	29990:22231:1388:273
ice	31603:22231:714:273
advantage.	22988:22660:2837:338
a	23090:31238:244:195 26193:22673:367:260 30827:31251:265:195
sweep	26928:22738:1551:273
this	24049:25901:939:299 28847:22660:898:273
weekend	30093:22660:2204:273
would	22988:23103:1510:273
vault	24703:23103:1265:273
bulldogs	27193:23103:2204:338
into	29643:23103:918:273
fourth	30787:23103:1510:273
place	22988:23532:1367:338
as	26499:23610:571:195 24560:23610:530:195
well	25274:23532:1020:273
provide	27275:23532:1919:351
momentum	29378:23558:2899:247
agyinst	23008:23962:1857:338
brown	25050:23975:1653:273
and	26479:28530:918:286 31522:27255:898:273 26887:23962:918:273 28643:30300:898:273
harvard,	27969:23962:2347:325
two	31440:23975:877:273
ecac	22988:24391:1572:286
contests	24784:24417:2062:260
next	27091:24417:1102:273
week.	28418:24391:1449:286
big	24825:25485:775:351
success	25826:25563:1919:208
story	28010:25524:1306:312
for	29562:25498:714:286
yale	30521:25511:1163:260
so	31910:25589:510:195
far	23090:25914:755:286
season	25193:26005:1694:234
has	27132:25927:837:273 25336:29858:837:273
been	28194:25940:1163:260
scoring	30562:25953:1857:338 27704:28999:1857:325
by	23110:26357:592:338 23090:29402:592:351
line	24948:26357:918:273
of	30889:29858:449:286 26091:26370:469:273 30480:30300:469:273
captain	26785:26370:1959:338
kevin	28990:26383:1490:260
conley	30725:26383:1694:338
'85,	23131:26786:775:325
wing	24233:26799:1184:338
randy	25764:26799:1633:338
wood	23621:29858:1388:286 27704:26812:1367:260
(the	29439:26812:979:273
team's	30705:26825:1714:260
leading	23110:27229:1857:338
scorer	30807:28192:1612:208 25274:27307:1633:208
with	27214:27242:1082:273 30521:27684:1061:273
27	28623:27268:489:247
points)	29439:27255:1714:338
freshman	23110:27671:2613:273 25029:28986:2429:260
tom	25724:27671:979:273
walsh,	27091:27671:1694:325
who	29153:27684:1020:273
22	31930:27710:489:247
points	30889:28556:1531:338 23090:28101:1510:338
is	24927:28101:387:260 27622:28543:428:273
second	26663:28114:1735:273
highest	28684:28114:1837:351
on	31848:30821:571:195 31848:30392:551:182 23090:28621:571:182
team	24948:28569:1245:247
only	28296:28543:1041:351
nine	25479:30300:1041:273 29603:28556:1061:273
off	23090:28973:673:273
record	29807:28999:1653:260 23110:31602:1653:273
set	31705:29025:714:247
bob	23907:29415:979:273
brooke	25111:29428:1796:273
'82.	27153:29428:755:273
scored	26499:29858:1694:286
in	28520:29858:428:286 24989:31615:428:260
eight	28194:31615:1245:325 29296:29871:1265:338
elis	23090:30287:1000:286 27173:30730:1000:273
last	27071:31615:898:273 24335:30287:898:286
games	26744:30366:1674:286
13	29807:30327:449:247
17	31195:30340:449:234
season.	24029:30795:1837:208
are	28316:30808:857:195
currently	29317:30743:2368:338
streak	23621:31160:1612:286
themselves,	25479:31160:3001:351
posting	28745:31173:1837:351
6-1-1	31338:31212:1041:247
their	25642:31602:1204:273
games.	29664:31667:1796:273
yale	29051:17779:857:182
daily	30113:17779:1000:221
news	31317:17792:979:182
record	17231:18131:1653:273
against	19068:18144:1837:325
ivy	25295:18612:775:325 21130:18157:796:312
teams.	22069:18183:1694:234
the	23968:18183:939:234 29031:18183:775:260
elis	25091:18183:939:260
were	26214:18248:1245:195
0-5	27602:18196:653:247
in	28418:18183:428:260
ivies	30011:18183:1163:260
last	17210:18573:918:260
year	18333:18651:1143:247
and	19721:18586:877:247
have	20824:18586:1224:260
not	22253:18612:755:234
won	23253:18677:959:182
an	24437:18690:571:156
match	26316:18612:1551:260
since	28112:18612:1265:273
1982.	29643:18638:1102:247
captain	2306:18053:2592:273 13004:18144:1878:325
kwok	12841:18573:1388:260 3368:18508:1388:247 5267:18079:1714:260
—	7206:18235:510:39
eli	7941:18105:694:247
men's	5124:18977:1510:221 8982:18131:1490:247
fencing	10820:18118:1857:351
wei-	15230:18157:1102:247
tai	2306:18482:837:273
'85	5022:18521:612:247
displays	5818:18521:2082:325
his	8125:18534:694:260
famous	9003:18547:1878:273
lunge.	11106:18560:1490:338
and	14454:18586:898:247
the	15536:18586:775:260 4124:18938:775:247
rest	2286:18951:979:234
of	3470:18925:469:260
team	6839:18977:1245:247
will	8350:18977:898:260
try	9452:19003:755:312
to	10412:19016:469:234
better	11106:19003:1490:260
yale's	12800:19003:1572:260
dismal	14597:19016:1694:260
sean	15271:31602:1531:247
neely	17067:31628:2021:247
ydn	8411:48249:918:195
gary	9534:48249:939:195
glasser	10636:48249:1429:169
808	2694:48536:1143:260
kudelski	4083:48536:3041:260
(18)	7390:48549:918:247
and	2837:48978:918:247
scott	3981:48978:1837:247
bradford	6043:48978:3307:247
(14).	9636:48978:1102:247
ydn	38341:47950:898:182
steve	39443:47937:1020:182
lefkovits	40586:47885:1755:195
streaking	23314:48380:3450:260
—	26969:48523:530:39
eli	27724:48393:694:247
junior	28643:48380:1531:338
randy	30440:48393:1633:325
wood	32318:48406:1347:260 25152:49252:1347:273
(19),	33972:48432:1082:286
the	35299:48432:775:247 41199:49343:755:247 32338:49291:755:247 38728:48887:755:273
team's	36319:48445:1694:247
leading	38279:48445:1857:338
scorer	40362:48523:1612:195
with	23335:48809:1082:273
27	24601:48848:449:234
points,	25234:48822:1653:325
continued	27091:48822:2449:273
his	29745:48835:694:260
scoring	30623:48835:1857:325
streak	32645:48861:1612:247
recently	34421:48874:2082:338
against	36666:48874:1878:338
cadets	39668:48900:1694:260
of	41505:48900:469:260 40566:49330:469:260 31685:49278:469:260
army.	23314:49252:1633:338
has	26724:49265:837:260
scored	27765:49265:1653:260
in	29623:49265:428:260
eight	30256:49278:1245:312
eli's	33298:49291:1143:260
last	34625:49304:918:260
nine	35727:49304:1061:273
games	24029:49746:1633:260 36973:49382:1653:273
and	38831:49330:898:260
13	39953:49356:449:234
17	23355:49707:428:234
this	25887:49681:898:273
season.	27010:49759:1837:195
yale	29051:17779:857:182
daily	30113:17779:1000:221
news	31317:17792:979:182
record	17231:18131:1653:273
against	19068:18144:1837:325
ivy	25295:18612:775:325 21130:18157:796:312
teams.	22069:18183:1694:234
the	23968:18183:939:234 29031:18183:775:260
elis	25091:18183:939:260
were	26214:18248:1245:195
0-5	27602:18196:653:247
in	28418:18183:428:260
ivies	30011:18183:1163:260
last	17210:18573:918:260
year	18333:18651:1143:247
and	19721:18586:877:247
have	20824:18586:1224:260
not	22253:18612:755:234
won	23253:18677:959:182
an	24437:18690:571:156
match	26316:18612:1551:260
since	28112:18612:1265:273
1982.	29643:18638:1102:247
captain	2306:18053:2592:273 13004:18144:1878:325
kwok	12841:18573:1388:260 3368:18508:1388:247 5267:18079:1714:260
—	7206:18235:510:39
eli	7941:18105:694:247
men's	5124:18977:1510:221 8982:18131:1490:247
fencing	10820:18118:1857:351
wei-	15230:18157:1102:247
tai	2306:18482:837:273
'85	5022:18521:612:247
displays	5818:18521:2082:325
his	8125:18534:694:260
famous	9003:18547:1878:273
lunge.	11106:18560:1490:338
and	14454:18586:898:247
the	15536:18586:775:260 4124:18938:775:247
rest	2286:18951:979:234
of	3470:18925:469:260
team	6839:18977:1245:247
will	8350:18977:898:260
try	9452:19003:755:312
to	10412:19016:469:234
better	11106:19003:1490:260
yale's	12800:19003:1572:260
dismal	14597:19016:1694:260
sean	15271:31602:1531:247
neely	17067:31628:2021:247
ydn	8411:48249:918:195
gary	9534:48249:939:195
glasser	10636:48249:1429:169
808	2694:48536:1143:260
kudelski	4083:48536:3041:260
(18)	7390:48549:918:247
and	2837:48978:918:247
scott	3981:48978:1837:247
bradford	6043:48978:3307:247
(14).	9636:48978:1102:247
ydn	38341:47950:898:182
steve	39443:47937:1020:182
lefkovits	40586:47885:1755:195
streaking	23314:48380:3450:260
—	26969:48523:530:39
eli	27724:48393:694:247
junior	28643:48380:1531:338
randy	30440:48393:1633:325
wood	32318:48406:1347:260 25152:49252:1347:273
(19),	33972:48432:1082:286
the	35299:48432:775:247 41199:49343:755:247 32338:49291:755:247 38728:48887:755:273
team's	36319:48445:1694:247
leading	38279:48445:1857:338
scorer	40362:48523:1612:195
with	23335:48809:1082:273
27	24601:48848:449:234
points,	25234:48822:1653:325
continued	27091:48822:2449:273
his	29745:48835:694:260
scoring	30623:48835:1857:325
streak	32645:48861:1612:247
recently	34421:48874:2082:338
against	36666:48874:1878:338
cadets	39668:48900:1694:260
of	41505:48900:469:260 40566:49330:469:260 31685:49278:469:260
army.	23314:49252:1633:338
has	26724:49265:837:260
scored	27765:49265:1653:260
in	29623:49265:428:260
eight	30256:49278:1245:312
eli's	33298:49291:1143:260
last	34625:49304:918:260
nine	35727:49304:1061:273
games	24029:49746:1633:260 36973:49382:1653:273
and	38831:49330:898:260
13	39953:49356:449:234
17	23355:49707:428:234
this	25887:49681:898:273
season.	27010:49759:1837:195
women	32910:1965:7717:1054
set	41525:2056:2633:989
to	45017:2069:1898:950
defend	47854:2030:6594:1054
title	55388:2030:3736:1028
fencers	32910:3371:6308:859
prepare	39729:3618:6471:833
to	46895:3488:1551:741
open	49243:3618:3899:833
season	53877:3592:5369:637
by	32992:4620:612:325
gary	33849:4620:1633:247
eisenberg	35727:4633:3450:286
women	36462:5063:2225:260
yale	33482:5466:1224:273
women's	35258:5479:2347:273
fencing	38157:5505:1959:351
coach	40668:5518:1510:273
henry	32971:5909:1531:338
harutunian	34829:5909:2899:273
knows	38034:5922:1551:286
that	39892:5948:1020:273 33461:7197:1163:273
it	41199:5948:326:273
is	34931:7197:367:260 41811:5948:367:273 37769:7210:387:273
harder	32951:6325:1694:273
to	34829:6364:449:247
defend	35421:6338:1674:273
a	37279:6429:244:182
title	37728:6351:979:273
than	38871:6364:1082:273
first	40117:6364:1041:286
win	41321:6390:857:260
it.	32951:6768:449:260
why	35605:7210:1020:312
he	36911:7210:571:260
guarded	38443:7236:2082:299
about	40811:7236:1367:286
fencing	36074:8121:2551:403
the	35258:22400:755:273 34339:27606:755:260 37075:20669:775:273 35564:30222:775:260 33012:11115:775:273 33543:13705:939:260 36401:14994:775:286 35748:15436:775:273 39790:25849:755:286 32992:9384:755:273 41587:24131:775:273 39525:10269:775:273 37748:19367:796:273 33604:28908:959:273
women's	33931:9371:2225:273
fencing	36319:9371:1878:351
team's	38341:9384:1735:286
chances	40239:9384:2021:286
for	33012:9813:694:286 41689:28036:714:273 41587:11571:694:273 40545:13731:694:260
repeating	34114:9813:2409:338
as	36911:9892:530:182
national	37871:9813:2021:286 38300:20669:2143:273
champs	40300:9826:1959:351
this	36626:18482:898:273 33012:10256:898:260 37626:10686:1061:273 34890:29337:918:273 41403:19810:918:286 35033:26292:898:273
year	35503:26799:1143:273 35237:12482:1143:260 34319:10321:1143:273
after	35870:10243:1224:260
taking	37524:10243:1592:351
ncaa	40729:10269:1531:273
crown	39688:19445:1551:208 33012:10751:1531:208
last	41403:19380:918:273 34849:10686:877:273 34339:26734:918:260 39770:23259:918:286 37258:12404:898:286
year.	36013:10751:1286:260
is	36932:24118:367:286 38973:10686:367:273 34135:31524:387:273 41056:24131:387:273 36626:12404:387:260 37075:16295:367:273
in	41811:15905:510:273 35033:11974:428:273 39627:10699:449:273 40790:28036:428:273 40341:22400:469:273 35013:15436:428:273 35319:29780:449:260 41832:12872:428:273 34747:21098:408:273 34380:23259:428:273
spite	40341:10699:1204:338
of	41811:10699:469:273 38586:31524:469:286 41934:28908:469:273
fact	34094:11115:959:260
that	35339:11115:1000:260 41383:26292:1000:273 33094:27606:1000:273
his	41587:13731:694:273 36626:11115:694:260
three	41076:27606:1306:273 34666:21528:1306:273 37646:11115:1306:273
top	39218:11154:775:312
starters	40280:11167:1980:234
are	33012:11610:837:208 37810:14213:837:208
returning.	34012:11545:2531:325
four	37299:21528:1000:286 36748:11545:1224:273
women	38136:11623:1776:208
fence	34604:17610:1347:260 40076:11558:1347:286
a	34482:32045:265:195 35135:25927:265:208 35380:19003:265:195 35646:12052:285:195 34788:31602:265:195 37483:24196:265:208 33032:19419:265:195 37075:12911:265:195 33012:12052:244:195
team	37503:15020:1265:260 38463:25016:1286:260 40872:20669:1429:286 40300:18951:1265:260 33482:11987:1306:260
dual	36156:11974:1061:273
meet.	37442:12000:1388:260
"last	33584:12404:1408:273
year,"	38402:12417:1612:338
he	38667:21098:551:273 34890:31094:571:273 40280:12430:571:260
said,	41097:12443:1163:312
"we	33053:12846:1082:260
need	33134:31954:1143:286 34319:12833:1184:273
to	38708:28062:449:247 40627:16347:449:247 34155:22855:449:247 35870:19380:449:260 37585:20265:428:247 35707:12846:428:260
be	39443:18053:551:273 36340:12833:551:273 38933:25849:551:286
little	37524:12833:1184:286
reasonable	38892:12859:2756:273
our	33012:13341:816:208
outlook."	34033:13263:2368:286
two	34849:13718:877:260
biggest	36074:13692:1817:351
reasons	38259:13783:1939:208
cautious	33032:14135:2123:273
outlook	35564:14135:1837:273
injuries	39055:14148:1919:338
and	41403:17193:918:273 36993:17167:918:273 35931:16295:918:273 41383:14174:918:260
stronger	33032:14590:2449:325
competition.	36034:14577:3634:338
andrea	40239:14590:2041:286
metkus	33053:14994:1837:286 33114:28465:1837:286
'85,	35278:14994:755:325
captain	39116:15033:1878:325
who	41301:15033:1000:273 40015:22829:1000:286 41383:26734:1000:273 41321:18508:1000:273
fenced	33032:15423:1674:286
1983	36850:15449:959:260
pan-am	38096:15436:2082:286
games,	40464:15514:1817:273
underwent	33032:15853:3164:286
knee	36850:15853:1347:286
surgery	38851:15944:2306:286
november	33053:16295:2674:273
still	37667:16308:918:260
not	38831:16347:755:247
up	39810:16400:612:260
par.	41280:16413:979:260
however,	33053:16738:2796:325
she	33584:18040:857:273 36952:16738:939:273
has	38953:16738:959:286
been	40995:16751:1306:286
rehabilitating	33053:17154:3491:351
practicing	38361:17180:2592:351
could	36564:27593:1327:286 33032:17597:1347:273
if	35176:28465:347:273 36176:17597:326:273
needed.	36707:17610:1919:273 35727:28465:1919:273
will	35013:18040:898:273 37728:25849:877:286 35911:28908:898:260
definitely	36483:18040:2388:351
needed	40566:18066:1735:273
several	33032:18482:1857:273
times	35074:18482:1388:273
season.	37687:18560:1837:208
penn,	39729:18508:1429:325
defeated	33032:18912:2204:286
metkus-less	35829:18925:2980:273
yale	38994:18938:1143:273
by	41730:18938:571:351
