"	37695:21791:490:80 37695:21791:490:80
"an	52195:6632:1135:403
commissioner.	32612:21750:4773:463
company	14190:8748:2992:423
complex,	6888:27697:2941:463
confronted	49306:20682:3431:443
consider	33541:15360:2709:443
considerable	54388:11329:4102:423
continue	33644:8627:2709:423
control"	33567:14010:2683:443
control,"	33567:12679:2915:503
control.	27091:31890:2425:423
could	25775:23101:1702:443
course	14809:29854:2141:322
cover	54750:10784:1754:302
critic."	3870:7922:2347:423
crude	19608:28423:1883:443
crude,	24691:29169:2012:524
decide	23840:13284:2064:443
decision	50957:25379:2605:443
dedicated	47525:32757:3096:443
demo	13726:7277:1728:443
dennis	16641:21388:2373:483 6992:26347:2218:423
department	33309:21126:3818:544 24356:25782:3766:544
department,	7250:32455:4128:544
derision.	51757:21347:2734:443
devoid	9804:11349:2089:403
did	55266:27395:980:423
different	55420:26730:2786:423
directed	21776:55234:4231:544 21776:55234:4231:544
director	16048:61160:2270:302 41694:61039:2270:302 16048:61160:2270:302 41694:61039:2270:302
disillusioned	53124:32092:3999:443
does	12616:29048:1419:463 53640:7962:1419:443
down	38392:11329:1651:443
driven	37024:23182:2064:463
drum	4463:14675:1728:443
drummer	43681:15421:3070:463
drummer,	13855:9313:3302:524 28587:9232:3302:524
drummer."	52118:7277:3715:443
drummers,"	13055:11329:4102:524
drums.	38727:14030:2244:463
duties	37127:25218:1883:463
ear	56736:29612:1057:302
easy	10397:10079:1470:443
edgar	38650:60576:1754:383 38650:60576:1754:383
edward	27968:55213:3844:564 27968:55213:3844:564
efforts	8436:9293:2115:443
eighteen	14887:27052:2709:544
elizabeth	9469:23686:4308:403
emotions	37592:31306:2941:443
enraged	7224:30419:2657:544
events,	29284:31265:2270:483
eventually	53356:22678:3354:524
ever	46055:22738:1393:322
examine	53511:24714:2734:423
executive	38701:61059:2760:302 38701:61059:2760:302
experience,	38340:16086:3715:524
face	11146:29733:1341:443
faced	55678:32757:1728:443
family,	50621:32092:2270:544
famous	7637:10623:2373:443
fatal	44094:24008:1444:443
fellow	39114:14715:1960:443
female	58026:20702:2218:423
figured	18628:8587:2373:544
finally	54646:25399:2038:524 8075:12659:2115:544
find	11687:9313:1264:423
fine	17054:30439:1238:423
fire	31838:21146:1135:423 23014:25762:1135:443 5624:32455:1393:423
firefighter,	42726:21327:3508:544
fireman	10578:27032:2580:443 10526:24311:2580:443 13597:28322:2657:463 41075:18082:9649:1733
firenouse,	48738:30096:3121:483
fits	8978:16025:1032:443
for	10217:10643:954:443 13571:27032:903:443 25310:7902:928:423 30084:56342:1419:544 30084:56342:1419:544 41823:15421:903:443 37256:9313:903:443 58001:29491:928:423 48841:24694:928:443
forms	18267:25722:1883:423
friend,	49202:33422:2089:524 7275:31769:2141:524
friend's	39527:9333:2451:443
friends,	24175:33200:2451:544
from	47757:32092:1522:443 42726:27395:1573:423
front	41101:11369:1573:423
fulfills	29413:25177:2064:443
fully-realized.	32973:28544:4463:544
fun,	53640:14675:1186:503
gave	43268:7438:1548:443
gets	18576:30459:1315:524
gig	34702:13344:980:544
gilbert	32225:55213:3328:544 32225:55213:3328:544
give	51550:30741:1341:544
go	10268:16046:903:443 57897:13344:851:443 50699:7962:877:423
good	39991:15421:1522:524
gorgeous,	50621:22113:3070:443
gossip	44249:30036:1986:564
great	45126:6732:1702:483
gritty,	58233:30761:1986:544
grudging	42726:23343:2863:524
had	21466:13304:1186:423 9752:14010:1161:443
haggerty	25981:24472:3044:544 29181:22476:3096:544
haggerty,	4412:33120:3250:524 11816:31789:3225:524
haggerty.	28329:33241:3199:524 51602:33442:3199:524
has	16074:9978:1109:443 20382:27052:1109:443 18318:33140:1083:423 50776:26064:1083:403
have	27916:23121:1522:443 41514:12054:1522:423
he	36173:26548:748:423 30032:31910:851:403 37463:29249:722:423 36869:27234:722:423 33747:23182:748:423 23014:29149:748:443 42339:8023:877:423 35941:13344:722:443 46080:8728:722:423 49873:26064:722:403 46596:21327:722:423 53743:25399:722:403 49976:26730:722:423 49951:6611:696:423 50467:8627:696:403 8307:29733:748:423 19325:24391:877:403 16512:31104:748:423
hear	54440:13344:1444:443
he'd	45926:32757:1367:443
hence	23066:23746:1857:443
here	18654:11268:1444:423
hero	16435:25701:1419:443
hero,	42726:32092:1599:503
heroines	42726:22577:2709:463
hierarchy,	37463:21126:3354:544
him	20202:30439:1238:423 13958:32455:1212:423 36560:15380:1238:443
him.	30393:23827:1419:443
himself	42726:26709:2425:423 7017:27012:2399:443
himself.	20124:7236:2605:443
his	27452:27173:903:443 23040:26467:877:423 25723:31870:903:443 38392:9333:877:423 37669:14715:903:423 50879:32757:877:443 46493:33422:928:443 46932:27395:928:423 55601:29511:903:423 59394:22678:903:423 56556:24714:928:423 56530:31426:903:423 49512:32092:903:423 7301:6591:903:423
hothead,	12513:24996:2786:524
hours	33618:6591:1780:423
how	46467:26044:1238:443
however,	41875:8668:2915:524
i	21389:8607:206:403 31683:7902:206:423 20357:11288:232:403 22447:10603:258:423 38495:40478:1831:1572 38495:40478:1831:1572 40585:12054:232:403 40327:7337:206:403 58852:8668:206:403
i'd	39604:6632:851:423
idea,"	35270:7942:1960:524
idle	42726:30056:1186:443
i'm	45693:10744:1083:423
implicated,	55059:24028:3612:544
in	12745:29733:593:443 13313:24331:593:423 29310:11953:567:423 40043:31971:567:423 30729:29209:593:423 40069:26609:567:403 40301:11369:567:403 48790:30741:541:443 48919:24048:567:403 9675:15360:567:423
in.	52557:26730:748:423
infinitely	53821:6632:2889:524
institutions	59471:32092:516:443 42726:32757:2967:443
instrument	44687:11409:1831:423 33593:12014:1651:423
into	60168:12014:1161:443
introduce	56633:11994:3044:443
irish,	43991:28060:1677:503
is	20434:24371:516:443 9211:24311:516:423 32741:22496:516:423 25517:30539:516:423 23969:29169:516:423 32174:28544:516:423 24536:21730:490:403 48248:20682:464:403 59162:25520:516:302 54234:26730:464:423 49228:31406:490:443 54337:24048:490:423 52892:14675:490:423 51163:6611:490:423 8953:11329:516:423
it	30135:10583:438:423 53563:26750:490:403
it."	54105:9313:1032:423
italians,	45951:28060:2605:503
its	11326:10663:774:423
it's	60348:14695:980:423 55085:14675:980:443
jack	9856:31769:1522:443
je	33567:13344:903:423 51757:10663:877:403
jews	50209:28080:1599:403
jobs,	58671:27395:1522:544
kathv	42726:21992:1935:443
keyboard	58336:7982:2992:524
keyboards,"	26033:8547:3999:564
kind	40817:7317:1367:443
kip*	40198:41223:21672:10099 40198:41223:21672:10099
knew	52040:28060:1651:443
know	40688:10018:1625:443
lacked	44016:28725:2115:423
latest	12152:26347:1780:443
learned	37179:31951:2425:443 52066:26044:2425:443
lessons	34444:31951:2296:423
life	52015:32757:1006:443 42726:28725:1032:423
like	26910:33221:1135:423 28768:10583:1161:423
little	36405:16046:1496:423 52686:12659:1470:423
lives	31322:31910:1496:423 50879:26730:1496:423
loaded	55008:30076:2089:443
loyalties.	46493:25379:2889:524
loyalty	37463:32636:2218:544
m.	37695:60576:696:322 37695:60576:696:322
main	11765:7297:1651:423
makes	56865:25439:2115:383
male	26755:32555:1625:423
man	27117:30660:1444:322
many	31503:29330:1857:423
march	13700:56443:3199:544 13700:56443:3199:544
marriage	26652:26508:3070:544
material,	56917:10663:2992:443
matures	51834:18323:9933:1491
measure	42726:26145:2786:322
members	43707:14776:3044:423
men	53640:27516:1341:322 42752:30862:1393:302
men's	56504:27415:1883:423
middle	24382:18041:8617:1773
middle-aged	8824:28282:4128:564
more	23737:6692:1677:302 34934:23303:1677:322
more,	12513:14796:1883:423
most	52350:10018:1548:403
motivations,	31864:31265:4024:524
much	34754:29915:1754:443 44997:12095:1806:423 47912:26064:1754:423 48196:9293:1728:423
music	57381:9998:1935:423 50725:14675:1909:423
music,	39398:8668:2115:524
musical	21724:13969:2554:443 8591:6611:2528:423
musician	4515:13324:2967:443
must	9288:29753:1599:423
need	40765:6652:1470:423 56581:7982:1470:423
needed	25439:9232:2270:443
never	3870:10744:1831:302 11197:14131:1806:322
new	20021:31809:1419:403 14139:24351:1419:423 26549:12639:1419:403 42236:9474:1264:302 56169:20823:1290:282
nick	12745:12679:1470:443
no	20099:6692:748:322 9340:10099:748:302
nonetheless.	7404:25661:3921:443
not	14216:29108:980:403 30084:13324:954:403 55317:8002:980:403
novel	15712:27717:1702:443
novel,	14164:26387:1935:524 38727:29955:1883:503
now	25285:21831:1290:322
now,"	48170:8627:1883:463
odds	34599:24512:1444:443
of	17596:31789:619:423 8643:29048:619:443 6140:26326:619:443 17183:29753:645:443 23479:11953:619:443 36740:29915:593:443 36508:24552:645:423 29542:21126:619:443 38082:22537:619:443 39346:25258:645:423 42442:7337:619:443 35708:6591:619:443 46209:13445:593:423 42881:11389:645:423 45668:33422:619:443 46545:30076:593:423 47861:29511:593:443 46106:27395:593:423 45693:26044:593:423 59652:30076:593:443 60761:11329:567:443 54543:9978:593:423 6708:7257:619:443 12178:11329:619:443
old	22963:33200:928:423 57768:24714:928:443
on	19789:31205:748:342 36508:14151:722:302 46080:7498:748:302 56220:14131:722:322
once	49951:13445:1419:322
one	21027:6692:1109:322
ones	21311:10038:1393:322
only	12565:11994:1367:544 49925:31406:1341:544
opportunities	23582:15239:7688:544
or	29129:13425:670:302
originally	9340:13344:3147:544
originals	48170:11994:2786:503
originals,	48170:14010:3018:503
out	24614:10643:1006:383 40688:13425:980:403 44997:13445:980:423
out.	15454:32475:1161:403
over	35915:12115:1419:322
overwhelmed	28897:30580:4412:423
pad."	26188:27838:1806:544
patch	38882:25943:1754:524
people	51886:13344:2038:544
people,	26704:31225:2244:544
percussionists.	12332:10663:4799:524
perfected	3870:6571:3070:544
pianist,	36689:7297:2399:524
piano	27194:11953:1780:544 43707:10724:1728:524 59600:6652:1728:524
piano.	13674:15380:1935:544
picked	10372:12659:2141:544
picks	37179:26568:1651:544
place	48661:29532:1702:524
play	24278:8567:1367:564 52479:9313:1341:524
played	48196:10623:2089:524
player	48170:7257:2064:544
playing	24433:11953:2425:544 36689:8647:2399:544
poised	26807:21730:2038:524
powerful,"	48170:15340:3457:524
practice	36611:6632:2657:503
prejudices	42700:25359:2296:544 59007:24855:1006:403
prepares	2786:4051:16203:2156
pressed	3870:9272:2476:544
pretty	29955:9938:1960:503
prisoner	22834:31185:2734:564
problems	5031:29693:3018:544
proved	6759:9958:2270:544
provide	15403:29048:2451:564
provides	58955:24169:980:423 42752:24694:1677:423
psyched	24433:16126:2605:544
pursue	18680:14090:2193:443
quartet	48170:11329:2347:503
quickly	23195:21065:2373:564
quite	38108:15401:1599:544
rather	50209:9293:2012:423
reaction	10165:30439:2683:423
reacts	47706:21367:1960:403
reader's	24201:29834:2709:443
realistic	12874:27717:2657:443 42726:31406:2657:443
reconciling	56633:26064:3612:544
redhead	55859:22033:2631:423
reminder	34573:22516:3044:443
respect.	45848:23403:2528:483
rest.	43810:10099:1419:383
retains	38392:29290:2244:423
reveres	27684:23907:2451:342
risen	19815:33140:1599:423
role	5186:7257:1238:423
rosenblum	40585:60555:3379:322 40585:60555:3379:322
rourke	14010:23706:3173:403
rvan	45048:22012:1651:463
said	45435:16126:1290:423
said,	39398:12699:1522:524 6785:11974:1522:544
said.	20150:9252:1496:443 40482:8002:1470:443 55601:15340:1470:443
scenario	5985:16046:2760:423
school	6656:11308:2012:443
schuster	18447:22194:2967:483
sense	45900:29632:1728:302
set	6450:14695:903:423
sexy	54079:22154:1444:403
shows	20253:12619:1909:443 49925:12659:1909:423
simon	14293:22174:2193:483
sing	23737:7922:1315:524
singer	33593:9958:2012:544 5211:8607:1986:544
singer.	4489:14010:2193:544
sitting	36121:11329:2012:564
small	28665:27193:1780:443
smith	19350:21388:2038:483
smith,	4463:26992:2115:544
smith's	43242:29491:2425:443 9469:26347:2425:443
smooth-talking	8875:33120:4850:544
so	21518:10603:748:423 35347:16167:645:302 43681:12175:670:322 39372:7438:670:302 45100:8829:670:322
sold	54724:14010:1264:443
spurney	3870:11974:2683:544 10010:8627:2657:544
steely	23685:28483:1960:544
'steely	3895:18041:8307:2116
steely	4515:24290:1960:544 16409:26407:1909:503 17493:20601:2064:544 45719:20662:1935:544 53305:30781:1935:483
store	58826:11369:1599:403
storm	50621:4011:10810:1975
strongly	10036:27697:2657:483
successful	25414:22436:3302:443
supremacy,	28742:32676:3766:443
surprised	25568:6611:3096:503
sympathetic	17519:25056:3999:524
sympathy.	27117:29874:3379:524
take	25439:3507:8178:2358
talent	11481:6611:1857:443
tape	15790:7317:1393:524
task;	12203:9978:1599:524
tentatively	34444:25883:3457:564
terrible.	18654:10583:2631:443
than	28845:6611:1393:383 50492:7277:1393:423
that	11042:11994:1290:443 43526:12740:1264:423 33644:7942:1238:423 44584:27395:1264:423 48222:13324:1238:423 48222:6591:1212:423 51473:11994:1212:423
the	15945:15380:1238:423 3895:7236:980:423 20073:9938:980:423 30935:16126:980:443 20537:25722:980:443 3766:29693:1006:423 13597:29733:980:443 18602:31789:980:423 9443:29048:1006:443 18035:29753:980:443 37540:29935:980:423 30471:21146:1006:423 23014:29834:1006:423 39682:27274:980:423 26859:21105:1006:443 31838:25177:980:443 33180:24512:1006:443 23737:22395:1186:443 42726:28060:1006:423 44713:24714:1006:403 46854:26730:980:423 47448:30076:980:423 53718:30076:980:443 49564:25379:1212:423 59291:32757:954:443 56375:21367:954:423 59136:29491:980:423 58259:32092:980:443 45797:12760:1006:423 42494:10704:980:423 42597:10038:954:423 37514:14030:954:423 55782:9998:954:423 57227:14010:980:443 60348:10663:980:423 56401:13344:954:443
their	48196:12639:1496:423 6630:9293:1548:423
then	29980:7881:1419:443
they	27168:10603:1393:524 23788:9252:1393:544 55446:28080:1367:524 59936:9998:1367:544 57691:12679:1599:544 53176:11994:1367:544 6269:12659:1625:544
they'll	51473:14010:2012:524
this	11765:25681:1393:423 26497:7902:1186:423 5237:9958:1161:423
though	56323:8647:2167:524
throughout	22576:12619:3560:544 30755:29874:3766:544
tickets	31812:56342:3302:544 31812:56342:3302:544
time.	55807:12679:1599:423
to	10836:9333:593:403 11662:32495:593:383 20898:29149:593:403 13132:30459:593:423 20460:3749:3766:1975 22963:13344:593:403 31348:13324:593:403 22859:7942:593:403 26575:27193:593:423 25826:31225:593:423 40017:32656:593:423 25904:21126:593:403 38108:25943:593:403 29077:21750:593:423 35296:11329:593:423 46235:8083:567:403 42546:6692:593:403 52634:24734:593:403
to,	53279:32797:748:483
tone	45590:31447:1367:403
too	23014:16146:980:423
top	28200:21146:1006:524
traffic	14732:30439:2012:423
trained	7017:15340:2347:443
tried	22911:10583:1522:443
tries	32767:25863:1444:423
two	14190:12014:1135:443
unattractive?)	48067:22678:4618:443
understanding	3792:29007:4670:584
unsophisticated	3741:28302:4412:544 20511:27858:696:302
unusual	13545:25701:2476:443
up	39062:26709:799:423 45100:7478:722:423 52634:11449:748:403
upbeat,	56349:14675:2322:564
used	33593:11308:1470:443
w3s&tlehsp\	13623:34732:45023:7115 13623:34732:45023:7115
wanted	20279:7902:2296:443 43552:8043:2347:403
was	22292:6692:1238:302 3844:15461:1264:322 53073:10764:1212:302
wasn't	20460:16126:2115:443
ways	33567:29330:1625:443
weird	35992:10663:1831:423
well,	37514:9998:1470:503
went	43242:13445:1548:403
were	28123:10038:1573:302 31761:23282:1599:302
were,	57046:28181:1754:362
what	39140:22557:1573:443
what's	10062:14695:2218:423
when	51679:27395:1651:423 43397:20662:1728:423
whether	26188:13304:2657:423
which	34676:27213:1909:443 38005:12014:1883:443 49693:24028:1883:443 47138:31406:1857:443
while	23711:24431:1806:443
who	22963:9917:1264:443 53950:28080:1290:423 7766:13344:1290:423
whole	3844:16025:1909:423
whose	16925:28383:2012:443
will	55033:11994:1135:423
wins	57304:22678:1470:423
with	40869:10704:1367:423 33541:16046:1367:423 50002:21367:1393:403 53305:20702:1367:423 57639:32757:1393:443 45281:26730:1367:423
woman,	57691:21488:2528:362
women	33618:26649:2322:322 46106:30862:2270:322
words	57407:30076:1909:443
workaholic,	14113:33120:3766:524
world	10604:29048:1831:463 47990:26730:1831:423 58388:26730:1857:443
would	21982:8567:1935:463 59445:8668:1857:423
written	3818:27677:2373:443
yale	14242:9978:1496:423 35115:3568:8333:2358
years	21337:12074:1806:423
years,	18009:27173:1986:423
york	28407:12619:1548:423 3741:32434:1625:443 15764:24351:1599:423
