rowell	1950:29668:1773:282
the	14339:18342:731:297 19591:17390:775:282 14871:19769:997:282 22118:19754:775:297 19059:18327:753:297 15026:13585:753:297 25221:13585:731:282 23714:15488:753:282 16577:14551:753:282 20190:16439:753:282 23847:15948:753:297 15004:26428:997:282
125-pound	14937:21656:2526:371 16067:13585:2548:356 15070:27840:2526:356
class.	18860:13585:1307:297
captain	20744:13585:1905:341 24777:14997:864:356 14317:15488:930:297 17973:15963:1905:356
levy	22938:13585:1263:341
of	15646:17390:487:282 22916:15473:487:297 25464:17851:487:297 24467:13585:487:282
perm	14339:14061:1241:297 20168:18327:1263:297
team,	15868:14120:1329:297
who	17508:14061:1019:297
was	18838:14150:930:208
runner-up	20079:14150:2482:252
this	23603:14061:886:282
division	14339:14536:975:297 24800:14046:908:297
intercollegiates	17774:14536:3878:341
last	23115:16439:886:282 22074:14536:864:282
year,	23359:14626:1218:252
will	21143:26428:930:282 24999:14522:930:297
have	14294:15012:1130:297
his	15691:15012:709:282
hands	16644:15012:1440:297
full	18350:15012:820:282
when	19458:15012:1285:297
he	20988:15027:554:267
encounters	21808:15057:2681:237
w.	15558:15488:731:297
l.	20877:26903:487:297 21276:25476:487:282 20389:24525:509:297 16644:15488:509:297 21386:21656:509:282
graham,	22339:21656:2127:356 17508:15488:2127:356
jr.,	25176:21656:797:356 23603:22608:775:356 19968:15488:797:356
1928s	21143:15488:1418:297
university	23292:19754:2659:356 14294:15948:1728:371 24800:15473:864:297
team.	16289:16008:1329:252
graham	20212:15963:1994:297
won	22517:16053:1019:193
only	22628:17851:1041:356 24910:15948:1041:356
bout	14294:16439:1085:297
for	20965:19754:731:297 15669:16439:731:297
vale	20699:17390:1174:282 16666:16439:1174:297
against	18129:16439:1773:356
army,	21231:16439:1595:341
week.	24268:16439:1374:282
neither	14893:16915:1905:282
freshman	16311:26428:2504:282 17198:16915:2526:282
team	20079:16959:1174:237 21785:18386:1196:237
has	23315:18327:797:297 21608:16915:820:282
had	22783:16915:908:282
a	24046:17004:265:193
great	24667:16944:1285:312
deal	14294:17390:997:282
experience,	16466:17390:2770:356
yearlings	22206:17375:2282:356
having	24844:17390:842:282 14339:17851:753:371
defeated	15403:17866:2061:297
m.	17796:17866:642:297
i.	18793:17866:332:297
t.	19480:17866:554:297
their	21121:17851:1174:312
meet	24002:17911:1174:237
season	15425:18431:1595:208
while	17353:18327:1351:312
boxed	24489:18327:1462:297
two,	15092:18862:1063:297
winning	16511:18817:2016:341
from	18860:18817:1218:282
peddie	20433:18817:1684:282
and	22450:18817:886:282
losing	23669:18802:1484:356
to	25487:18847:465:252
staunton	14339:19293:2238:297
military	16954:19293:2105:356
academy.	19414:19293:2460:341
probable	16289:19754:2149:371
line-up	19104:26428:1728:356 18838:19754:1728:371
teams	14339:20289:1418:252
is	16112:20229:376:312
as	16843:20333:487:208 23226:26517:487:193
follows:	24002:26413:2061:371 17685:20229:2038:312
115-pound	14915:20705:2526:371 15048:26888:2526:371
class—j.	17752:20705:2194:356 17973:29742:2149:356 17863:24510:2171:371
j.	20478:27854:421:341 20278:20705:398:356
smick,	21032:20705:1662:356
1928,	23071:20705:1174:356 23093:24510:1174:356
(y)	24667:20705:930:356 24733:24510:952:371 24844:28791:930:371 24800:26888:930:371 18173:22132:930:371 14516:25952:930:356 23226:27854:908:341 22827:31645:930:371 23359:29742:930:356 14450:23098:930:356
;	19348:22236:110:252 24002:31734:110:267 15691:26041:110:252 25863:24510:155:371 25775:20705:177:371 25930:28791:155:371 15624:23187:110:252 24378:27840:221:356 25974:26978:110:267 24534:29742:243:356
hamilton,	14339:21195:2526:341
(perm.)	14627:32120:1928:356 16621:24986:1928:371 23425:22132:1928:371 16932:27364:1928:371 16887:28330:1928:356 16489:29267:1928:371 19259:24049:1928:356 19259:23098:1928:341 19126:25952:1950:341 16067:30233:1928:356 17264:21195:1950:356 16444:31169:1928:371
class—w.	18151:21671:2526:282
19285,	14383:22147:1551:356
capt.,	16311:22147:1440:356 21564:22132:1418:356
levy,	19835:22132:1351:356
135-pound	15070:28791:2570:371 14937:22608:2526:371
class—s.	17840:22608:2238:312
r.	20478:22622:554:282
prince,	21431:22608:1773:356
1929,	24822:22608:1152:341
rosenblith,	16045:23098:2814:341
145-pound	15092:29742:2548:356 14959:23559:2548:356
class—f.	18173:23574:2282:282
a.	20877:23574:554:282
gatyas,	22162:23574:1839:341
1930,	24822:23574:1174:341
(y);	14450:24049:1307:356
winarsky,	16156:24049:2637:356
158-pound	14981:24510:2526:371 15114:30693:2526:356
high,	21276:24510:1418:371
home,	14427:25001:1728:341
175-pound	15137:31645:2526:371 15026:25461:2526:356
class—d.	18239:25476:2327:282 17863:27854:2349:282
ferris,	22472:25476:1662:341
1920,	24866:25476:1196:327
broselow,	16200:25952:2482:341
be	22384:26428:531:282
class	17996:26903:1196:297
—h.	19192:26903:1218:282
hartman,	21830:26903:2415:341
gordon,	14450:27364:1994:371
burns,	21187:27854:1640:341
mac-	24844:27854:1263:282
donald,	14494:28330:1928:341
class—l.	17996:28791:2260:297 18040:30708:2282:282
h.	21010:30708:620:282 20677:28806:620:282
cornellier,	21697:28791:2659:356
balm,	14538:29267:1440:356
b.	20478:29742:509:297
boyle,	21364:29742:1529:356
parlato,	14516:30233:1041:341 25021:29742:864:297
nichols,	22029:30693:2061:356
(v)';	24866:30693:1285:356
kops,	14538:31184:1418:356
class—x.	18062:31645:2349:312
dunn,	20832:31660:1507:341
boyce,	24556:31645:1617:356
fifty	26794:2184:1263:341
prints	28390:2184:1573:267
of	30318:2199:509:267
year	31182:2199:1218:282
to	32468:2675:687:252
be	33487:2690:642:237
shown	34418:2660:1773:267
at	36479:2705:509:222
vale	37299:2660:1130:267
j.	28456:31823:398:341 28501:32299:398:341 28124:4399:376:341 27415:15324:376:327 28368:8056:376:341 27393:4399:376:341
lankes,	28877:4384:1905:356
the	36102:18609:709:282 32069:35599:952:267 33997:17197:709:282 36368:33220:709:282 33798:29935:709:267 34130:7030:709:267 31182:4414:930:267
lane,	32446:4414:1374:327
(woodcut).	37011:34157:1462:356 35260:28494:2792:371 26949:14834:2792:341 33421:35108:2792:356 36812:22370:1462:341 26971:7506:2770:341 34263:4384:2792:356 33731:31808:2770:356 33842:24257:2770:356 26927:22860:1196:341 27149:34662:1196:341
katharine	27415:4964:2526:282
merrill,	30318:4964:1905:327
recreation	32579:4964:2726:282
hour	35637:4964:1374:267
(dry	26927:10122:1085:341 26927:6465:1085:327 37432:4949:1063:341 37432:13303:1085:356 35460:18119:1085:371 37432:10657:1085:356
point).	26883:11133:1684:356 26861:5425:1684:356 28368:6465:1706:341 26883:13793:1684:356 28390:10107:1728:356 36812:18119:1706:356
charles	27681:30872:1883:297 27415:5990:1883:297
l.	27681:31823:465:282 29764:5990:487:282
morgan,	30739:5990:2127:356
barcelona	33731:5990:2482:297
wharf,	34462:15294:1750:356 36723:5975:1795:341
thomas	27614:27572:1972:282 27415:7030:2016:282
w.	28235:15324:731:267 29786:7030:731:282
nason,	30939:7030:1684:341
on	33022:7030:731:282 34728:11801:554:193
maine	35194:7015:1573:282
coast	37144:7015:1374:282
b.	27437:8056:487:282
o.	29210:8056:509:297 28190:17197:531:282
nordfeldt,	30163:8056:2593:341
man	33509:8056:1174:297
from	35061:8041:1196:356
arroyo	36679:8041:1839:341
hondo	26861:8531:1684:282
(etching).	35704:12738:2526:371 34196:9066:2504:356 35415:35569:2504:356 37055:20482:1218:341 26905:20972:1218:341 26949:15770:2526:356 28966:8517:2504:371
roi	27437:9081:842:282
partridge,	28678:9081:2548:341
shuksan	31603:9081:2149:297
george	27415:9646:1795:341 27459:18609:1773:341
resler,	29653:9646:1706:341
fruit	31803:9661:1307:282
stand	33554:9646:1462:282
in	35460:9646:421:282
florence	36324:9631:2194:282
chauncey	27437:10672:2393:356
f.	30252:10672:487:297
ryder,	31160:10672:1640:356
winter	33266:10672:1773:297
brook	35393:10672:1551:282
birger	27437:11712:1640:341
sandzen,	29454:11712:2194:341
moonrise	32002:11712:2371:297
blue	35659:11712:1108:282
river	37122:11697:1396:297 37100:14343:1418:297
(lithograph).	26861:17673:1905:341 37188:32269:1329:371 26949:19085:3324:341 26927:12188:3324:341 27016:23797:3324:356 36967:21418:1374:356 27171:31333:3324:371 27127:32774:1905:341 37188:36044:1351:356 26905:21909:1883:356 36945:17182:1351:356 27149:36550:1905:341 28722:29445:3324:356 35349:26145:3302:341
lee	27437:12753:864:282
sturges,	28744:12753:2016:356
moutain	31182:12768:2105:282
trails	33731:12753:1507:282
diana	27437:13318:1484:282
thorne,	29299:13332:1972:341
pan	31692:13332:975:282
of	35349:30857:487:356 33288:17182:465:356 33066:13332:465:341 36790:23306:465:356 35593:33220:487:341
puck's	33908:13318:1684:282
hill	35947:13318:1019:282
chas.	27437:14358:1307:297
a.	29099:14358:576:297
wildmosvsky,	30008:14358:3568:356
along	33908:14358:1551:356
fox	35770:14358:1041:282
winkler,	29365:15309:2238:341
simon's	32047:15309:1950:297
london	36634:15294:1883:282
franklin	27437:16246:2171:297
t.	29897:16246:531:297
wood,	30717:16246:1640:341
mariotli,	32645:16231:2260:356
artist	35172:16231:1529:297
(etching)	37055:16231:1218:356 26883:16721:1196:341
c.	29720:25209:487:297 27415:17197:487:282 29299:23321:487:297
woodbury,	28988:17197:2792:341
top	32047:17197:975:341
world	34994:17182:1595:297
peggy	27459:18133:1551:356
bacon,	29299:18133:1640:327
penguin	31249:18133:2061:356
island	33554:18133:1551:297
biddle,	29587:18609:1706:341
bringing	31670:18609:2216:341
home	34241:18609:1507:282
cows	37188:18609:1351:282
pauline	27459:19560:1883:282
blake,	29808:19546:1529:356
leona	31803:19560:1529:282
gabriel	33798:19546:1839:297
(linoleum	36346:29921:2371:341 36169:19531:2371:371 37299:26606:1130:312 27016:27096:1174:297
cut).	26905:20021:1174:356 28545:27096:1174:356 27060:30411:1218:327
fiske	27459:20497:1351:282
boyd,	29276:20497:1418:341
new	31138:20497:1196:282
york	32822:20497:1241:282
harbor,	34507:20497:2038:327
vincent	27481:21433:1928:297
canade,	30074:21433:1950:356
self	32202:23321:1019:356 32667:21433:997:356
portrait	32845:30857:2061:312 34152:21418:2061:312
howard	27503:22385:2038:282
n.	29941:22385:554:282
cook,	30894:22385:1396:341
boat	32645:22385:1196:282
building	34196:22370:2127:341
lewis	27503:23321:1462:297
daniel,	30119:23321:1773:356
destruction	33509:23306:2947:312
evil	37543:23306:1041:297
isami	27526:24272:1351:282
doi,	29232:24272:997:327
east	30562:24272:1152:282
wind	32047:24272:1374:282
mabel	27548:24748:1529:282
dwight,	29432:24733:1994:356
guignoletle	31825:24733:2881:356
(litograph).	35149:24718:2991:371
eugene	27548:25224:1839:341
fitch,	30540:25209:1418:341
gay	32291:25209:975:356
white	33642:25194:1484:312
way	35482:25209:1174:341
(lithograph	37055:25194:1351:356 26971:25684:1440:341
).	28523:25684:354:341
wanda	27570:26160:1773:282
gag,	29808:26160:1130:327
gumbo	31404:26160:1728:282
lane	33576:26160:1241:267
franz	27592:26636:1462:267
geritz,	29432:26621:1640:356
craters,	31470:26621:1994:356
mono	33798:26621:1440:282
lake	35593:26621:1218:282
handforth,	30096:27557:2792:356
sfax,	33399:27557:1329:356
tunis	35216:27557:1462:297
(etchin?).	27060:28048:1196:341 37211:27557:1218:341
rockwell	27614:28508:2349:282
kent,	30340:28508:1351:341
august	32069:28508:1839:356
23	34263:28508:531:282
yasuo	27636:28984:1551:282
kuniyoshi,	29609:28969:2726:356
girl	32822:28969:997:312
leaning	34263:28969:2038:356
against	36745:28969:1972:356
tree	27127:29460:1130:282
lois	27659:29921:1063:297
lenski,	29143:29921:1795:341
tovtiard	31404:29935:1972:282
sea	34950:29921:886:297
locke,	30385:30872:1640:341
a	36235:30961:265:193
banker	36923:30857:1839:297
meissner,	29188:31808:2371:341
shoes	31869:31823:1462:282
i.	27681:32299:332:267
sanger,	29476:32284:1861:356
house	31847:32284:1595:282
and	34219:34172:886:282 33953:32284:886:282
barn	35305:32284:1263:282
.	32202:32774:3147:341
roderick	27681:33220:2282:312
seidenberg,	30296:33220:2858:341
church	33487:33220:1817:297
paulist	27149:33711:554:297 37388:33220:1108:282
fathers	28035:33711:1950:282
(etching),	30451:33696:2482:341
leon	27703:34187:1241:282
underwood,	29343:34187:3014:327
bird	32734:34172:1130:282
fish	35438:34157:1108:297
paul	27725:35123:1130:297
wenck,	29210:35108:1883:356
geese,	31470:35108:1529:341
harry	27725:35599:1573:327
wickey,	29631:35599:2061:327
jungle	33332:35584:1640:341
william	27725:36074:2016:282
wolfson,	30052:36074:2238:327
young	32645:36059:1617:356
acrobats	34551:36044:2282:297
i	37920:41202:864:1932 1972:41202:908:1932 2327:57835:864:995 38008:48575:797:2140 2083:48575:952:2036
van	8798:41812:5562:1322
dyck	15646:41827:7158:1590
&	24112:41827:2548:1337
co.	28013:41812:4144:1322
incorporated	15713:43789:9507:416
printers	13541:48976:13984:1694
we	8975:56795:1994:654
are	11413:57032:1684:416
now	13541:57017:2393:445
located	16422:56795:3989:683
in	20855:56839:1130:639
our	22450:57077:1905:416
new	24822:57077:2327:401
quarters	27636:56958:4543:683
grand	10771:58162:4432:698
aye.	16090:58177:3213:698
cor.	20190:58207:2925:683
olive	23980:58207:3789:683
st.	28678:58207:1839:683
telephone	13474:59589:5562:832
liberty	19924:59604:3878:817
4310	24667:59619:3257:832
ask	43084:2601:1750:431
for	45499:2601:1750:431
jhafe	53013:2393:4166:966
s^atani	57866:2318:5163:758
harris-hart	40757:3359:8820:639
restaurant	58465:3344:4188:297
fc,	56005:4057:199:163
'	58021:44621:177:505 40491:45097:3080:431 63363:27364:421:252 56204:4132:132:74 44945:10597:509:6227
=:	56337:4057:265:133
5	56603:4087:243:148 49666:14715:243:282
i	52747:45988:354:549 52060:31927:421:490 63363:28538:421:520 52968:44621:132:505 52724:41975:332:445 63363:27795:443:535 52747:45097:354:431 63340:19055:421:609 52215:37308:288:549 56847:4028:155:104 52303:43135:775:921 52658:38988:376:356 52170:37412:820:1620
church	58110:3998:1994:297
at	49467:63394:664:312 60437:4087:487:208
crown	61279:4013:1773:297
ice	41621:4325:1950:609
cream	44281:4325:4432:609
"always	52835:4563:2460:416
something	55628:4563:2792:416
good	58819:4563:1484:356
to	60681:4652:443:267 47383:21314:509:297
eat"	61479:4578:1374:356
palace	52924:6450:9618:1322
,1	40358:8056:487:386
.	41266:8234:221:89 44857:38988:1950:445 46630:45097:3058:431 44901:24688:110:44
two	45477:7952:1440:356
nights	47250:7937:2371:356 46364:27825:2947:579
v&gt;\	40358:8294:2371:475
only!	46519:8517:1972:341
now	56093:36981:1507:282 55473:8427:1484:297
playing	57312:8427:2726:297 57401:20437:2703:312 57933:36951:2726:297
ri\\	40535:8933:3191:891
h	45455:9081:421:416 52281:41232:753:490
"	45898:9245:443:252 60481:19293:332:163 57866:39463:265:163 46962:24436:132:74
r-	46364:9245:487:252
'a!l	46918:9081:797:743
;lar	47738:9081:1130:416
'}}	48913:9081:1351:743
rose's	53478:9245:2947:445
25	56913:9289:886:401
midgets	58265:9260:3878:431
f	41422:10211:310:193 60260:39374:155:222
ai	42042:10077:1041:327
o\\	43372:10211:620:267
ed.	53833:10107:842:282
east	55074:10122:1130:267
and	56581:10122:952:282 60082:41336:842:222 59351:39092:842:222 57977:31288:864:222 55384:51964:1861:416 44657:33503:1728:490 53456:31288:842:222 47694:20140:975:356 42818:58103:1573:431 55229:46093:820:237 46585:46211:952:297
ralph	57888:10122:1573:341
dumke	59839:10137:1928:267
-v	40313:10568:775:282
as*	41865:10375:1573:475
\	43815:10375:199:475
"a	45965:10479:687:297
delightful	47073:10479:2593:356
:	51550:10375:1861:475
iv'vjh	39383:10597:5053:6227
*	51993:20036:398:549 51993:19664:398:237 63363:22667:398:594 45965:11103:354:267
comedy"	47029:10939:2260:356
walter	53810:10761:2637:297
laddie	56780:10776:2327:282
&	46231:28761:642:431 58332:11905:465:282 59440:10791:465:267 59218:59173:664:431 59063:40310:487:371
rose	60238:10791:1573:267 56160:61046:5208:891
\*c\	42175:11192:2637:713
/	45699:11103:642:802
green	56825:11237:2016:297
w/	42352:11638:2016:787
\/	44945:11638:1130:787
miss	45632:26829:2083:505 53522:11891:1351:282
z!egler	55318:11891:2570:282
partner	59218:11905:2925:297
"nameless	54010:12589:4964:431
men"	59307:12619:2304:416
\j)	43793:13273:1617:386
portrayed	53101:13258:2327:252
by	40291:15027:576:267 55783:13258:554:267
a	42773:45780:288:163 53412:39151:310:222 52370:33651:576:386 56669:13347:221:133 47051:31006:332:222
clever	57224:13273:1462:208
cast	55406:62354:1994:490 49001:58117:1551:431 59019:13273:997:222
including	60348:13273:2171:252
tickets:	40247:13630:2415:252
a&lt;-'	43793:13496:1595:386
y3iskk3;&!%	45765:13496:4188:579
claire	52835:13630:1595:282
windsor,	54985:13645:2393:327
antonio	57933:13659:2149:267
moreno,	60614:13674:2194:312
$1.00,	40291:14105:1329:267
31.5-1.	41931:14105:1329:237
✓	44857:14016:576:267
ray	52835:14016:997:327
rial'	54298:14016:1063:267
ol-	55428:14135:554:148
,	56027:14239:110:104
eddie	56758:14031:1462:282 54630:31288:1307:222
gribbon,	58642:14046:2304:312
saily	61567:14046:1285:327
$2.00	40247:14492:1241:252
rand,	52835:14403:1529:327
charles	55318:14403:2038:267
clary,	58265:14417:1640:327
steppin	60814:14417:2038:341
mail	41222:15027:975:222
until	42552:15027:1041:208
""--^s^^	46297:14670:3368:654
fetchit,	53855:14774:2016:341
carolynne	56271:14789:2770:327
snowden	59418:14804:2371:282
arena	41222:18119:8067:921
j	47738:41410:465:312 63340:19887:421:1203 52015:26517:443:1040 51949:17836:443:1337 51993:19293:398:490 52015:22191:421:1114
1	48624:31139:288:371 53190:17955:110:564
fftutmb,	54763:17792:8975:1129
skating—soc	42264:19263:6028:460
°	52902:19144:310:237 59972:39448:243:148 56913:28821:221:148 58686:39463:243:148 53722:44799:354:222 55783:39493:243:133
p	52015:26101:421:312 53279:19233:221:193 52015:23856:398:356 56647:44844:243:193
'""	53567:19233:731:163
*p'	54608:19189:930:222
"■	55783:19189:576:222
sho	59595:19204:842:237
9p""•	61080:19233:1795:237
four	53212:19754:1706:282
stage	55295:19754:2016:312 56426:29326:2038:282
shows	57711:19783:2216:297
today	60304:19813:2238:282 46186:39627:2238:312
4	63363:19783:376:371
bto	49068:20170:1218:327
nqw	55561:20423:1507:297
_tomorrow-2:30	40867:21225:6116:549
5:00	48292:21270:1329:356
george	53478:21270:3656:445
bancroft	57512:21314:4764:445
$	52037:28702:421:579 63363:21225:398:579
gg	52015:22191:421:252
■	54808:22132:2349:312
—	57157:22251:487:44 52481:56527:709:44 60725:39760:775:29 59484:45409:576:44 55606:37650:554:44 61833:39731:997:59 58088:22266:554:44 50641:56527:664:29 56891:45438:576:44
in	58731:43060:443:208 57645:22132:443:237 58509:42599:509:327 45145:42050:487:282
tomorrow	42596:22370:5429:460
-the	53700:22682:2171:431
showdown"	56226:22697:5828:475
pro	43239:23217:1263:282
hockey	45876:24703:2016:341 44812:23232:2593:297
v	52015:23232:421:282
...	57778:23455:443:133
•—	56847:23455:531:222
with—	57379:23455:1595:222
providence	41333:23767:4100:356
vs.	45788:23930:687:208
eagles	46851:23797:2437:371
evelyn	53146:23990:2171:222
brent—neil	55739:24005:3590:252
hamilton	59728:24020:2881:252
cl	40690:24659:443:118
~!	41687:24406:288:327
t~!	43150:24421:509:312
„	45876:24703:421:74 45211:24688:288:89
~	55716:28865:554:44 48248:24451:310:74
better	54431:24466:1440:237
than	56359:24480:1174:222
"underworld"	58044:24495:3280:237
skating	40668:24674:2016:341
after	42995:24688:1418:267
all	41488:59158:1684:401 44746:24688:775:282
games	48203:24718:1750:297
w	52015:24763:421:193 45278:31006:265:133
—on	54808:25447:1573:282 55783:39969:1329:222 55074:42228:1307:222
the	44724:53688:1374:431 57379:39954:1085:237 57201:37516:1085:222 50508:63290:1041:431 56669:42213:1085:222 52946:30530:820:222 56669:25447:1263:297 47450:54639:6116:1352 54786:45736:1241:282 53478:43090:820:222 44524:42585:1728:460
stage—	58731:39939:2282:237 58221:25461:2726:282
~~"~~	47760:26205:1595:89
———	49356:26219:1795:89
jack	54298:26175:1085:237
partington's	55872:26175:2925:297
spectacle	59262:26205:2216:282
gf	63363:26279:398:282
don't*	42796:26814:2504:505
"hey!	55052:26755:2526:445
hey!"	58176:26784:2548:431
—with—■	56802:27364:4321:371
theatrical	41266:27765:4720:535
|	63385:31927:421:490 52015:27959:421:609
al	55672:27973:820:356
mitchell	56891:27988:3213:356
on	40424:28702:1063:431
wednesday	41798:28717:4122:549
saturday	47206:28761:3169:520
c	56581:28746:288:222
ndu&lt;:,in	57179:28746:1773:222
s	58199:44829:177:133 58974:28835:243:193
-	59551:28865:554:59
,-	52037:29415:398:237
olympia	56913:32061:2814:267 53301:29326:2814:282
orchestra	58775:29341:3789:267
—including—	56226:29965:3346:297
rogkr	40358:30292:3745:535
sherman	44945:30352:5407:505
ri	52060:30485:421:371
gibson	54143:30530:1595:222
sisters—john	56093:30530:3257:237
boyle's	59706:30545:1684:267
hey!	61767:30545:1108:267 52924:30916:1108:252
g	57933:46137:243:193 63363:30471:421:505
|3f-»r&gt;i»tn	41643:30976:2748:282
»	44702:31006:243:133
|n	45788:31006:908:252
ivtt	47671:31020:1440:237
girls—jack	54409:30916:2770:222
powell—frank	57534:30916:3501:222
devoe	61412:30916:1462:237
™	63363:30842:443:133
ivtij	41621:31139:2016:356
lau	43904:31139:2061:356
k.ain	46120:31139:2194:371
d	52060:31214:421:327
willis	56271:31288:1374:222
many	59152:31288:1285:282
others	60792:31288:1529:237
tonight	43305:31972:3989:475
regular	53589:32061:2947:267
prices	60105:32061:2105:267
special	41710:32789:2570:327
engagement	44657:32849:4277:312
buckley	40624:33428:3679:624
russo's	46718:33518:3324:520
~tr	42818:37605:975:252
-m-	44458:37635:1019:222
s*~-**.	46120:37650:1440:208
