classified	2738:2324:3540:281
y	16233:8719:289:222
wr	17079:8719:668:162
jtj	17814:8630:489:251
ng	18371:8719:623:222
r	20575:8719:200:162
missives	21176:8615:2160:251
mailing,	6034:8896:2004:355
60	8417:8896:534:281
grove	9330:8896:1514:281
st.,	11200:8896:823:325
col-	12425:8882:1046:296
hampshire	15231:16535:4097:429 16277:13767:3072:281 17213:8970:2961:340
stationery.	20531:8985:2917:325
ony	1759:9385:890:251
6819.	2983:9281:1202:296
|	8083:9281:3896:414 1670:22560:1135:740
when	15877:9355:1581:281
ultra	17992:9355:1247:281
quality	19796:9355:1848:340
costs	22201:9429:1247:192
so	24005:9459:489:162
wanted—thesis	1781:9755:4230:281
other	7058:9755:1313:281
copying	8617:9755:1959:325
work.	10822:9755:1425:266
ap-	12536:9740:957:340
little	15877:9740:1224:266 5277:63610:1981:222
more,	17547:9844:1469:192
ply	1759:10140:757:340
myra	2828:10140:1380:340
a.	4498:10140:556:266
merriam,	5411:10125:2338:325
615	8038:10125:801:281
malley	9174:10125:1714:340
building.	11200:10110:2271:340
run	15877:10229:912:162
risks—especially	17057:10095:4564:340
with	21867:10110:1135:266 6390:29814:1135:281
gentleman's	1781:10599:3050:296
raccoon	5166:10599:2115:281
coat.	7615:10658:1113:222
bargain,	9374:10584:2137:340
$85.00.	11824:10569:1647:355
c^-	15543:10702:935:340
—&gt;	16478:10688:668:207
&lt;	21711:10673:222:207
—	25697:19481:356:14 25652:15647:378:74 25630:16002:445:44 17101:13589:489:74 21956:10836:289:59
&gt;&lt;	22245:10673:578:207
\i	22847:10821:311:222
-*	23648:10673:334:222
lewis,	1759:11028:1625:340
400	3674:11028:823:281
west	4787:11028:1313:281
57	6390:11013:512:296
street,	7237:11013:1625:340
new	8105:31812:1180:266 8795:20399:1157:296 9196:11013:1135:281 12091:50923:1380:281 6858:16727:979:192
york.	10666:11013:1425:281
fmtfv	15164:10910:2182:621
ilu&lt;srr»y*l	18126:10880:4320:651
j	22446:11147:400:222 17280:23952:400:503 23047:13219:356:370
]utlvl	22847:10880:2360:651
for	6947:13515:712:281 1781:12775:912:281 5544:16254:734:281 10978:61760:957:458 11690:60324:1425:606 10443:13515:890:281 3384:30598:779:266 1781:11546:935:281
sale—l	3072:11546:1937:281
922	5010:11546:801:266
harley-davidson	6168:11531:4409:340
"74".	10933:11517:1224:281
ex-	12536:11531:957:266
uiu	15164:11309:2182:547
loauipsrilrc	18126:11309:7125:695
cellent	1759:11916:1603:296
condition.	3718:11916:2427:296
sidecar,	6836:11916:1981:296
special	9486:11901:1647:355 2271:34832:1647:251
saddle,	11802:11901:1670:325
1	21533:11813:200:310 23737:34462:2204:370
o	22134:11813:734:355
ammeter,	1759:12360:2293:251
etc..	4431:12360:957:236
$50.	5767:12286:912:340
box	7370:12286:1024:281
155,	8751:12286:935:325
y.	10042:12286:556:281
s.	11000:12286:445:281
&z.	16968:12198:1469:577
2	18816:12198:111:577
1-	19217:12272:801:444
sale—rollins	3006:12775:3407:281
coupe,	6769:12775:1647:340
1925	8773:12760:1046:281
model.	10154:12760:1647:281
fully	12158:12760:1336:325
z?3&gt;t&lt;iltlott£pu	16856:12582:6591:651
equipped	1736:13145:2204:355
excellent	5411:13145:2204:296 3741:30199:2494:281
condition	7927:13130:2293:296
throughout.	10555:13130:2917:340
r*l	16834:13115:868:296
sickness	1781:13515:2137:296
is	10332:14344:534:296 4275:13515:356:296
reason	4988:13619:1603:192
selling.	8038:13515:1736:325
further	11713:13515:1759:281
~	16344:13767:378:88 19016:34699:623:133
_	19796:16446:512:59 21689:15069:423:74 21666:30435:334:29 19818:13752:334:29
nv^	21889:13426:1380:429
information,	1759:13900:3050:296
call	11378:30184:1068:281 5166:13915:868:251
liberty	6390:13900:1848:266
6627-3.	8595:13885:1714:281
paper	19818:13752:1558:266
company	21867:13722:2471:281
senior	5121:14359:2471:296
who	1692:18904:1024:281 5411:18149:979:266 7793:18889:1068:281 8127:14359:1603:281
plan-	11468:14344:1981:281
south	16723:14240:1469:296
hadley	18571:14226:1825:355
falls.	20776:14211:1358:325
mass.	22490:14196:1447:296
ning	3228:14744:1692:296
thrilling	6123:14744:3718:281
life!	10221:14744:1714:266
bond	15943:32375:1402:355 16188:14803:1447:236
vellum	19150:14759:2249:236
lawn	22913:14744:1603:236
well	23470:28733:1091:355 12381:19644:1024:281 2293:15129:1202:281
established	10866:45298:4431:281 3963:15129:2738:281
book-publisher	7125:15114:3741:355
(of	11423:15114:712:296
low	12559:15099:890:296
priced	1714:15499:1536:355
books	5500:19644:1425:281 3562:15499:1425:296
progressive,	7170:15484:3006:355
liberal,	10532:15484:1714:325
adult-education	1714:15884:3874:296
field)	5967:15884:1291:340
offers	1736:17764:868:296 12737:17364:467:296 7704:15884:1402:266
half	9463:15869:979:281
interest	10800:15869:1848:281
business	2961:16254:2048:296
additional	6769:16239:2494:296
capital	9775:16239:1647:340
,	17881:16431:200:177
oij	22513:16461:1581:222
used	1714:16639:1068:296
publishing	3941:16624:2583:355
titles	8172:16624:1224:281
extending	10978:16624:2449:325
.taper	19796:16624:2204:340
oold	22490:16535:1603:355
at	15342:41805:1514:488 19462:32478:489:251 24561:16550:712:340
distribution.	1692:17009:3028:296
full	5477:17009:1024:281
details,	6925:16994:1736:355
records	9107:17009:1848:281
accounts	1692:17453:1581:236 12670:17098:512:177
frankly	5856:17379:1825:355
presented.	8061:17379:2494:355
this	11223:17379:1135:281
beginning	4075:17764:2382:340
satisfying	8305:17764:2382:325
career	11067:17852:1514:192
'	15097:17690:133:118
jgj^gfrj&i	15275:17704:3562:532
e	16522:31960:267:192 18861:17749:200:177
-"mjt	19172:17764:1937:473
"	21399:17764:244:177
al	21755:17778:556:177
!jl?v	23092:17793:1336:444
v	24650:17808:244:148
young	2226:18237:1491:251
man	4052:18252:1002:162
has	6724:18163:779:251
hand,	8573:18149:1291:281
draw	12180:18134:1224:281
«ap	15120:18045:912:384
&s\&£-&3£'&lt;t'&pjff'j?&lt;£	16233:18045:7682:458
+s	24071:18089:957:384
upon	1714:18622:1113:251
fifty	3317:18519:1002:281
seventy-five	5656:18519:2961:281
thousand	9040:18519:2271:281
dollars	11713:18504:1692:296
store.wc	21332:18504:3696:340
likes	3072:18904:1135:281
books,	4587:18904:1558:325
would	9218:18889:1514:281
inter-	12047:18889:1358:281
"«•""	15075:18844:1692:162
»■•	16968:18859:623:148
*»-«■	18148:18844:1714:192
elmst.	20041:18874:1469:177
new-maven.ct	21934:18844:3072:236
ested	1670:19288:1247:281
various	5411:19259:1848:296
problems	7704:19274:2249:340
involved	10443:19259:2093:296
getting	1670:19644:1759:355
good	3852:19659:1202:340
written,	7370:19644:1959:340
designed	9775:19644:2160:340
distributed	2961:20029:2694:296
widely.	6056:20029:1781:340
answer	8550:20029:1959:281
m.	10933:35143:601:236 11802:20014:645:281 8038:35158:556:236
ernst,	1670:20413:1536:340
285	3518:20384:801:310
madison	6034:50524:3028:281 4698:20399:2115:296
aye.,	7170:20413:1269:325
york	19016:34714:1825:429 13739:50923:1759:266 10287:20399:1313:281
city.	11935:20384:1180:355
fine	16923:20384:1558:429
gentlemen's	18927:20384:4475:429
furnishings	18037:21228:4208:532
miss	3072:21805:2315:621
irma	5700:21805:2538:621
dailey	8573:21790:3429:799
&lt;^4,a^m	18348:22057:4230:621
dancing	8083:22649:2983:518
llifliis^w	19373:22560:4542:740
hotel	5522:23404:2115:296
taft	7927:23404:1670:281
iejijiin	19128:23123:4275:666
\\	17257:23581:846:473
\s	18571:23611:846:444
iff	19684:23670:779:384
lli	20776:23581:534:473
vv	21733:23685:1647:370
telephone	4075:23981:2850:355
7400	9664:23996:1336:266
§|j	19662:23952:846:503
§	20776:23952:267:503
&	21243:24055:311:296
|fl	21733:24055:712:399
lil	22646:23952:712:503
■=-	6903:24721:1514:133
~~	12180:24707:1224:44
ii	12915:63980:244:177 19440:24307:1091:1006
up"	20731:24307:2672:917
class	2404:25210:1915:296
pins,	4698:25210:1491:325
fraternity	6569:25210:3985:266
rings	10911:25195:1781:281
*vi&»fcsl/»*	18527:25091:3763:592
cups	7682:25684:1558:266
watches	3473:26157:3139:281
diamonds	6279:27652:2694:281 8328:26142:3362:281
expert	4498:26631:2427:281
repairing	7281:26616:3384:281
imported	15298:26498:4186:592
tab-collar	20263:26498:4965:488
raphael,	4475:27090:4431:503
shirts	18883:27134:2672:518
1002	4898:28067:1291:251
shjrt	17369:28171:1180:340
ap	23737:28319:601:266
vai	5166:29059:1558:207
r"	7014:29059:467:207
h/icivt	8239:29044:1870:222
pearing	15877:28733:2070:414
collar	18772:28733:1514:340
vale	5166:29088:2360:384
men	8239:29088:1870:384
groomed	15854:29296:2360:414
englishmen	19172:29296:3117:429
have	23247:29296:1269:355
wanted	1781:29829:2026:281
help	4988:29814:1091:340
educational	7882:29799:3095:296
proposi-	11312:29829:2182:310
taken	15899:29858:1514:340
body,	20531:29858:1491:429
notably	22513:29858:2048:429
tion.	1759:30228:1157:266
compensation.	6702:30213:3852:310
write	1781:30598:1291:266
complete	4475:30583:2404:340
information.	7214:30583:3295:266
\	12202:30687:178:207
among	15921:30569:1803:281
them	18326:30480:1313:296
prince	21666:30480:1736:296
mckeown	1937:31235:3206:340
secretarial	5678:31220:4453:355
school	10666:31205:2605:370
wales	15899:30998:1625:340
962	1781:31827:935:266
haven,	9619:31812:1870:310
conn.	11846:31797:1581:281
w/	15921:31812:578:355
are	17213:31960:823:192
showing	18460:31812:2204:429
them,	21065:31827:1491:399
as	23002:31975:534:192
===^^^^=	1781:32641:4008:162
street	21154:34714:2070:429 19083:50435:2449:281 17591:32390:1603:340
present,	20174:32478:2115:325
close	23292:32390:1291:340
set	15966:33026:712:251
stripes,	17079:32952:1870:414
suggesting	19350:32952:2850:414
touches	22557:32952:2048:340
far	2226:33589:1781:444
east	4475:33559:2249:444
restaurant	7214:33529:6012:473
purple	18504:33500:1714:429
pink.	21911:33500:1336:444
luncheon	2293:34240:2249:222
11-2	4921:34240:979:222
&lt;««	12403:34196:779:222
regular	2293:34536:1803:266
supper	4475:34521:1647:251
5-8	6480:34521:757:222
»»&lt;:	12403:34492:757:207
„	21154:34714:378:118
sunday	4253:34802:1759:266
dinner	6324:34788:1603:222
»1.00	11935:34773:1247:266
262	17369:34743:1313:399
served	3941:35187:1558:236
from	5834:35173:1091:236
12	7259:35187:489:222
s	7125:63107:512:355 9664:35173:267:222
p.	10198:35158:445:222
,-	2583:35883:801:222
z£"	8840:35469:2115:592
h-l*	11312:35794:1603:281
opp.	18193:35557:1313:429
harkness	19885:35557:2538:355
k	1736:37156:467:1051
find	9129:39836:1625:414
finest	12960:39836:2182:414
selection	15721:39836:3184:414
spring	13628:60294:3562:799 20776:39836:2338:503
materials	8172:40665:3273:429
our	12915:40679:1402:429
establishment.	14719:40679:5188:429
polo	7548:41775:2939:503
coats	11089:41790:3674:503
$90.00	17458:41790:3006:577
made-to-order	10555:42722:6925:503
■wwwwwwbwwwwhwwwwwwwwwwwwwwwwwwwwwwhi	2293:43625:23492:310
1818	15676:45283:1469:281
avenue	9285:50494:2583:296 20887:63921:1491:192
cor.	12158:50509:1536:281
forty-fourth	13939:50465:4921:296
clothes	7303:60324:3919:621
term	17658:60324:2917:592
brooks's	12470:61745:2783:370
miscellany	15743:61745:3206:473
bo	5277:63092:1491:370
t	8016:63107:534:355
palm	11200:63077:2249:384
beach	13761:63077:2672:384
newport	17168:63062:5233:370
building	13405:63580:3072:251 19840:63566:2538:222 7593:63625:2872:207
plaza	11200:63595:1959:251
audrain	17213:63595:2360:192
tbi«oi.i	5277:63951:1892:192
cob.	7393:64025:846:133
boruron	8484:63951:1981:222
doi	11200:63891:1425:266
t»	13449:63980:645:177
ro	14541:63936:890:207
•	15721:63980:200:133
d	16233:63980:244:177
220	17213:63921:1068:207
bcluvuc	18616:63921:1915:192
taf	28191:36905:1915:621
t	30128:36993:400:547
barber	32578:39081:1759:296 30885:36919:3718:636
shop	34960:36934:2672:784 34671:39095:1224:355
you	28503:38133:1046:281
will	35406:40517:957:281 29883:38133:957:281 30373:40013:957:296
find	31175:38133:957:281
on	29015:51575:623:148 32466:38266:645:162
the	33023:48436:801:266 34315:50687:1002:281 33446:38133:823:296 31019:38622:823:266 31843:54639:2226:503 30017:46927:823:281
grill	34604:38148:1046:340
room	36007:38266:1380:177
floor	28525:38607:1224:281
of	31999:47682:512:281 30128:38607:512:281
taft	32221:38607:1113:296
hotel	33713:38622:1469:296
a	35539:38755:289:162 30819:50065:267:162
high	36230:38637:1157:340
class	28525:39066:1224:296
sanitary	30084:39110:2160:325
with	29282:49946:1157:281 36230:39110:1157:281
ten	28525:39614:801:222
artists	29683:39569:1625:266
in	31665:39584:467:266 32088:48451:489:266
attendance	32489:39569:2917:281
where	28503:40502:1625:266 35762:39569:1625:281
there	28525:40013:1358:296
be	36786:40517:601:296 31776:40028:623:281
no	32867:40161:645:162
waiting	33981:40058:1981:325
and	27990:47297:935:281 28013:48436:912:266 36408:40043:979:296
your	30574:40605:1224:236
patronage	32266:40591:2694:266
graciously	28525:40976:2738:340
appreciated.	31642:40990:3295:340
mainf-	30485:43951:4943:488
new	30596:48821:1113:266 28035:44588:2471:488
brunswick	27968:51826:1224:281 36252:51442:1447:281 31063:44543:6947:518
a«j&gt;ia¥oui	29705:45224:6324:532
500	28102:46556:912:266
miles	29505:46556:1336:251
by	31308:46556:578:325
canoe	32355:46675:1514:133
s|hpß&sjy	34626:46542:2872:429
down	27946:46912:1425:296
allagash	31442:46927:2360:340
jjt	34626:46882:534:458
st.	29238:47297:645:281
john's	30173:47297:1692:340
rivers.	32155:47326:1670:251
if	34604:47371:489:281
iti..	35361:47326:801:266
~	36497:47548:244:88
j&\	36942:47385:556:251
eight	28013:47682:1380:340
weeks	29883:47682:1625:281
ad-	33001:47667:823:296
venture,	28035:48126:2160:236
paddling	31464:48052:2293:340
pffflfipyisps	34626:48037:2872:414
camping	29393:48451:2271:325
[vlaine	28035:48807:1581:281
-	30017:48999:133:14
bruns-	32110:48821:1714:266
wick	27990:49177:1759:296
wilderness.	30863:49177:2939:296
jt	34894:49206:512:296
jflcsi-	35695:49147:1803:429
body-building	28013:49562:3741:355
exer-	32466:49680:1313:162
sse	34649:49547:823:310
-—--	35962:49665:846:59
iir*	37009:49665:489:162
cisc	27946:49961:957:266
real	31487:49946:1002:281
thrill.	32889:49932:1425:296
boys	35094:49932:1224:340
from	36720:49932:1247:281
15	28035:50317:489:281
to	29015:50405:489:192
20	29995:50317:601:281
years.	31041:50435:1536:222
careful	33379:50317:2004:281
supervision,	27946:50716:1202:296 35807:50331:1870:310
expert	29616:50775:1692:266
guides	31732:50701:1647:340
vacation	35718:50716:2271:251
never	27968:51190:1447:162
forgotten.	29883:51072:2605:340
illustrated	33335:51072:2694:281
booklet	27968:51456:623:266 36475:51057:1224:296
request.	30039:51530:2093:266
maine-new	32845:51456:3006:281
aqua	29527:51826:1469:355
tour,	31353:51841:1469:296
box	33201:51826:979:281
78,	34582:51826:734:310
skowhegan,	27968:52330:1068:207 35695:51826:1959:281
maine.	29505:52211:1736:281
"detroiters"	28458:55616:9152:1287
are	31798:57718:2226:488
coming!!	28347:58977:9040:695
ask	30752:61567:1759:429
for	33157:61552:1781:444
harris-hart	28414:62307:8884:636
ice	29260:63240:1981:636
cream	31887:63240:4498:636
vww]	39570:2235:912:148
wwk!hwmwwwwwwwwwr*bwwwwwwwwwwwwnapwwwwwwwwwwwwwivwwwkwwwßwwwwwnjvtßßr^wwwwwwww	40772:2235:17903:148
wwwwwwwwwubhwwwwwwbwhwwwwbwwwwwwwwwwow^wawwwwwwwwwwwhmfih	39971:2309:13227:236
twenty	40772:3523:7170:888
years	48833:3582:5500:873
—	54846:4070:1447:236
of	46963:51590:601:325 44692:9918:823:266 53176:5906:823:266 48700:52034:578:325 43578:5299:823:281 43667:48629:623:325 57652:47667:556:325 50192:16579:712:399 51127:7697:801:266 58988:8230:801:281
catering	44781:5314:3184:281
to	43578:7653:868:281 58899:8793:868:296 61237:46838:601:266 48344:5329:868:281 45627:49147:601:266 49323:30569:846:340 41841:48229:601:251 44647:28215:2338:888
the	47742:51590:979:310 43556:16565:1068:399 52330:7683:1247:266 60791:48614:1002:325 50214:8260:1247:266 49167:5906:1247:281 42866:48170:935:310 52530:34166:779:266 51951:29532:801:281 54178:9370:1247:266 48811:6469:1247:281 49591:5344:1247:281
student	51238:5329:2872:296
needs	54490:5329:1981:266
at	49568:9385:868:281 42888:12819:1425:577 58364:61582:668:340 56828:5314:890:281
vale	58654:58088:1157:340 51305:17216:1581:414 58119:5314:1647:266 53510:34728:1670:281
has	43578:5876:1269:266
taught	45159:5876:2649:281
us	48099:5891:734:281
value	50704:5906:2160:281
continued	54311:5891:3651:281
patronage	43556:6439:2605:281 58297:5876:1113:281
after	46495:6454:2004:266
men	53398:17216:1581:414 50348:6469:1313:281
have	51996:6469:1759:266 48700:52966:1603:310
graduated.	54111:6454:4097:281
acquaint	45026:7653:3362:355
more	48967:7697:1736:266
present	54156:7668:2716:281
undergraduates	57451:7668:1959:281 43600:8215:3807:296
with	49702:50465:1358:310 47987:8245:1670:266 47987:49088:1402:296 59656:33411:1313:281 44758:46778:1358:325 57206:58088:1113:340
unusual	52040:8230:2961:296
quality	55603:8230:2805:340
alderman	41218:11058:11623:1110 43556:8778:3518:296
clothes,	47408:8808:3028:340
we	50793:8822:935:266 43556:15898:1224:414
are	52062:8822:1269:266
now	53643:8808:1514:281
offering	55492:8793:3072:296
students	43534:9340:3162:296
while	43556:17867:2137:414 47475:14018:2115:444 47141:9370:2004:281
college	51083:14033:2627:503 44580:48644:2026:384 50904:9370:2850:296
opportunity	43600:9918:801:266 55892:9355:3429:296
having	45760:9918:2471:296
clothes	47141:29532:1981:281 53777:11087:8372:1080
seventy-five	45181:12745:9129:828
dollars	55224:12745:5233:695 54066:16550:2516:429
in	49501:50020:556:296 51127:29562:467:251 49991:14048:690:414 58097:49073:556:310
only	54133:14018:1803:518 59656:51397:1514:370 56850:50938:1336:370
feel	45181:15869:1469:444
certain	47052:15898:2583:429
that	50036:15898:1670:429
this	52107:15898:1558:414
reduction	54089:15898:3629:414
from	58186:15898:1670:414
former	45026:16550:2605:414
price	48010:16565:1759:414
ninety	51305:16565:2360:503
will	57006:16565:1536:414 46941:52981:1291:296
be	58965:16565:890:399 45137:50020:668:310 54245:58103:578:325
appreciated	43556:17216:4342:518
by	48344:17216:890:518
all	49702:17231:1113:414
as	45248:50583:623:207 55469:17394:712:236
a	50771:53070:289:207 56672:17394:378:236 41864:47341:289:192 49835:26054:467:281
worth	57540:17216:2315:414
opportunity.	46050:17882:4609:518
slberman	44202:20413:15053:1776
tailor	46540:22900:2160:414
-	49078:23152:222:74
english	49702:22900:2649:503
accessories	52753:22900:4119:414
opp.	47742:23833:1870:429
hotel	50036:23818:2939:444
taft	53487:35498:1670:296 53354:23818:2315:429
■■■■■■wwwwwwwwwwwwwwdwwwwwwwwwwwwwwwi	39993:25210:23470:444
■	59611:29503:222:458 41596:32464:1603:325 42621:26083:289:148
w	48967:26054:578:281
l	50637:26054:356:281
dor	51283:26054:1915:281
f"	53510:26039:1068:296
———	57919:26068:3295:207
.^	63107:26187:757:355
new	41975:26853:3941:873 57162:59776:1135:340 41708:35173:1157:281 46584:35217:1157:281
tuxedos	46874:26823:7927:888
hire	50682:30569:1514:340 48099:28215:4075:873
mjtifc.	57451:28008:4787:1657
"largest	42220:29547:2315:340
formal	44892:29547:1892:266
shop	58208:35528:1647:296 59233:35158:1647:281 49457:29547:1313:325
city"	53109:29532:1380:340
jj	57318:29503:690:458
mm!	58253:29503:1358:355
jhhmj	60034:29503:1603:458
also	41886:30095:1670:340
dress	44068:30095:2048:325
shirts,	46651:30095:2449:414
collars,	49657:30095:3095:414
ties,	53265:30095:1558:414
wbmiijnm	57095:29829:4230:740
shoes,	44558:30569:2226:399
etc.,	47341:30569:1491:414
waldorf	41596:31324:4542:414
clothing	46495:31324:4676:429
co.,	51550:31338:1558:503
inc.	60747:59199:979:340 53487:31353:1692:414
ft	58654:31368:1291:532
839	40861:31901:1002:266
chapel	42220:31886:2560:281
st.	52842:64025:846:266 45115:31901:890:281
2nd	47609:31901:1024:281
floor	48967:31901:1447:281
tel.	51973:31901:1313:296
p.	53643:31901:534:296
8468	54534:31931:1358:266
